8
epoch [1/2000], loss:2.1886 Accuracy: 9589/50000
epoch [2/2000], loss:1.8611 Accuracy: 16312/50000
epoch [3/2000], loss:1.7209 Accuracy: 18786/50000
epoch [4/2000], loss:1.6544 Accuracy: 19804/50000
epoch [5/2000], loss:1.6090 Accuracy: 20699/50000
epoch [6/2000], loss:1.5735 Accuracy: 21384/50000
epoch [7/2000], loss:1.5454 Accuracy: 21912/50000
epoch [8/2000], loss:1.5229 Accuracy: 22316/50000
epoch [9/2000], loss:1.5034 Accuracy: 22692/50000
epoch [10/2000], loss:1.4872 Accuracy: 23023/50000
epoch [11/2000], loss:1.4730 Accuracy: 23291/50000
epoch [12/2000], loss:1.4582 Accuracy: 23743/50000
epoch [13/2000], loss:1.4468 Accuracy: 23936/50000
epoch [14/2000], loss:1.4354 Accuracy: 24204/50000
epoch [15/2000], loss:1.4245 Accuracy: 24429/50000
epoch [16/2000], loss:1.4140 Accuracy: 24592/50000
epoch [17/2000], loss:1.4045 Accuracy: 24808/50000
epoch [18/2000], loss:1.3946 Accuracy: 25023/50000
epoch [19/2000], loss:1.3862 Accuracy: 25188/50000
epoch [20/2000], loss:1.3768 Accuracy: 25324/50000
epoch [21/2000], loss:1.3687 Accuracy: 25507/50000
epoch [22/2000], loss:1.3611 Accuracy: 25651/50000
epoch [23/2000], loss:1.3541 Accuracy: 25712/50000
epoch [24/2000], loss:1.3470 Accuracy: 25954/50000
epoch [25/2000], loss:1.3413 Accuracy: 26121/50000
epoch [26/2000], loss:1.3323 Accuracy: 26272/50000
epoch [27/2000], loss:1.3261 Accuracy: 26349/50000
epoch [28/2000], loss:1.3198 Accuracy: 26462/50000
epoch [29/2000], loss:1.3153 Accuracy: 26582/50000
epoch [30/2000], loss:1.3077 Accuracy: 26725/50000
epoch [31/2000], loss:1.3026 Accuracy: 26805/50000
epoch [32/2000], loss:1.2970 Accuracy: 26922/50000
epoch [33/2000], loss:1.2929 Accuracy: 26958/50000
epoch [34/2000], loss:1.2862 Accuracy: 27154/50000
epoch [35/2000], loss:1.2813 Accuracy: 27241/50000
epoch [36/2000], loss:1.2760 Accuracy: 27322/50000
