6
epoch [1/2000], loss:2.0604 Accuracy: 12700/50000
epoch [2/2000], loss:1.7773 Accuracy: 18323/50000
epoch [3/2000], loss:1.6513 Accuracy: 20240/50000
epoch [4/2000], loss:1.5804 Accuracy: 21275/50000
epoch [5/2000], loss:1.5342 Accuracy: 22288/50000
epoch [6/2000], loss:1.4995 Accuracy: 22950/50000
epoch [7/2000], loss:1.4736 Accuracy: 23406/50000
epoch [8/2000], loss:1.4516 Accuracy: 23869/50000
epoch [9/2000], loss:1.4320 Accuracy: 24278/50000
epoch [10/2000], loss:1.4146 Accuracy: 24597/50000
epoch [11/2000], loss:1.3970 Accuracy: 24905/50000
epoch [12/2000], loss:1.3824 Accuracy: 25246/50000
epoch [13/2000], loss:1.3674 Accuracy: 25573/50000
epoch [14/2000], loss:1.3514 Accuracy: 25946/50000
epoch [15/2000], loss:1.3370 Accuracy: 26120/50000
epoch [16/2000], loss:1.3220 Accuracy: 26392/50000
epoch [17/2000], loss:1.3075 Accuracy: 26655/50000
epoch [18/2000], loss:1.2943 Accuracy: 26943/50000
epoch [19/2000], loss:1.2809 Accuracy: 27176/50000
epoch [20/2000], loss:1.2682 Accuracy: 27396/50000
epoch [21/2000], loss:1.2560 Accuracy: 27673/50000
epoch [22/2000], loss:1.2473 Accuracy: 27827/50000
epoch [23/2000], loss:1.2343 Accuracy: 28091/50000
epoch [24/2000], loss:1.2240 Accuracy: 28288/50000
epoch [25/2000], loss:1.2151 Accuracy: 28395/50000
epoch [26/2000], loss:1.2046 Accuracy: 28689/50000
epoch [27/2000], loss:1.1958 Accuracy: 28826/50000
epoch [28/2000], loss:1.1859 Accuracy: 29009/50000
epoch [29/2000], loss:1.1783 Accuracy: 29174/50000
epoch [30/2000], loss:1.1699 Accuracy: 29371/50000
epoch [31/2000], loss:1.1613 Accuracy: 29503/50000
epoch [32/2000], loss:1.1538 Accuracy: 29666/50000
epoch [33/2000], loss:1.1450 Accuracy: 29918/50000
epoch [34/2000], loss:1.1391 Accuracy: 29971/50000
epoch [35/2000], loss:1.1324 Accuracy: 30151/50000
epoch [36/2000], loss:1.1234 Accuracy: 30201/50000
epoch [37/2000], loss:1.1177 Accuracy: 30319/50000
epoch [38/2000], loss:1.1123 Accuracy: 30508/50000
epoch [39/2000], loss:1.1044 Accuracy: 30572/50000
epoch [40/2000], loss:1.0987 Accuracy: 30714/50000
epoch [41/2000], loss:1.0920 Accuracy: 30822/50000
epoch [42/2000], loss:1.0869 Accuracy: 30979/50000
epoch [43/2000], loss:1.0824 Accuracy: 31040/50000
epoch [44/2000], loss:1.0762 Accuracy: 31143/50000
epoch [45/2000], loss:1.0699 Accuracy: 31239/50000
epoch [46/2000], loss:1.0664 Accuracy: 31372/50000
epoch [47/2000], loss:1.0614 Accuracy: 31394/50000
epoch [48/2000], loss:1.0554 Accuracy: 31585/50000
epoch [49/2000], loss:1.0513 Accuracy: 31533/50000
epoch [50/2000], loss:1.0461 Accuracy: 31705/50000
epoch [51/2000], loss:1.0447 Accuracy: 31655/50000
epoch [52/2000], loss:1.0384 Accuracy: 31755/50000
epoch [53/2000], loss:1.0353 Accuracy: 31925/50000
epoch [54/2000], loss:1.0316 Accuracy: 31914/50000
epoch [55/2000], loss:1.0256 Accuracy: 32046/50000
epoch [56/2000], loss:1.0215 Accuracy: 32156/50000
epoch [57/2000], loss:1.0194 Accuracy: 32199/50000
epoch [58/2000], loss:1.0144 Accuracy: 32235/50000
epoch [59/2000], loss:1.0108 Accuracy: 32346/50000
epoch [60/2000], loss:1.0057 Accuracy: 32443/50000
epoch [61/2000], loss:1.0046 Accuracy: 32442/50000
epoch [62/2000], loss:1.0000 Accuracy: 32575/50000
epoch [63/2000], loss:0.9975 Accuracy: 32655/50000
epoch [64/2000], loss:0.9928 Accuracy: 32672/50000
epoch [65/2000], loss:0.9887 Accuracy: 32670/50000
epoch [66/2000], loss:0.9874 Accuracy: 32699/50000
epoch [67/2000], loss:0.9839 Accuracy: 32774/50000
epoch [68/2000], loss:0.9798 Accuracy: 32896/50000
