26
epoch [1/500], loss:2.1882 Accuracy: 9495/50000
epoch [2/500], loss:1.9431 Accuracy: 15427/50000
epoch [3/500], loss:1.8117 Accuracy: 17722/50000
epoch [4/500], loss:1.7281 Accuracy: 19032/50000
epoch [5/500], loss:1.6751 Accuracy: 19781/50000
epoch [6/500], loss:1.6394 Accuracy: 20457/50000
epoch [7/500], loss:1.6108 Accuracy: 21020/50000
epoch [8/500], loss:1.5846 Accuracy: 21611/50000
epoch [9/500], loss:1.5637 Accuracy: 22028/50000
epoch [10/500], loss:1.5452 Accuracy: 22445/50000
epoch [11/500], loss:1.5313 Accuracy: 22763/50000
epoch [12/500], loss:1.5179 Accuracy: 22911/50000
epoch [13/500], loss:1.5057 Accuracy: 23216/50000
epoch [14/500], loss:1.4959 Accuracy: 23232/50000
epoch [15/500], loss:1.4856 Accuracy: 23561/50000
epoch [16/500], loss:1.4766 Accuracy: 23650/50000
epoch [17/500], loss:1.4666 Accuracy: 23788/50000
epoch [18/500], loss:1.4578 Accuracy: 23983/50000
epoch [19/500], loss:1.4504 Accuracy: 24107/50000
epoch [20/500], loss:1.4415 Accuracy: 24186/50000
epoch [21/500], loss:1.4337 Accuracy: 24357/50000
epoch [22/500], loss:1.4249 Accuracy: 24511/50000
epoch [23/500], loss:1.4165 Accuracy: 24585/50000
epoch [24/500], loss:1.4096 Accuracy: 24779/50000
epoch [25/500], loss:1.4026 Accuracy: 24912/50000
epoch [26/500], loss:1.3945 Accuracy: 25035/50000
epoch [27/500], loss:1.3867 Accuracy: 25206/50000
epoch [28/500], loss:1.3803 Accuracy: 25335/50000
epoch [29/500], loss:1.3749 Accuracy: 25338/50000
epoch [30/500], loss:1.3670 Accuracy: 25554/50000
epoch [31/500], loss:1.3609 Accuracy: 25671/50000
epoch [32/500], loss:1.3549 Accuracy: 25809/50000
epoch [33/500], loss:1.3498 Accuracy: 25917/50000
epoch [34/500], loss:1.3431 Accuracy: 25984/50000
epoch [35/500], loss:1.3386 Accuracy: 26024/50000
epoch [36/500], loss:1.3342 Accuracy: 26185/50000
epoch [37/500], loss:1.3272 Accuracy: 26275/50000
epoch [38/500], loss:1.3229 Accuracy: 26414/50000
epoch [39/500], loss:1.3179 Accuracy: 26568/50000
epoch [40/500], loss:1.3131 Accuracy: 26588/50000
epoch [41/500], loss:1.3090 Accuracy: 26703/50000
epoch [42/500], loss:1.3046 Accuracy: 26773/50000
epoch [43/500], loss:1.2994 Accuracy: 26849/50000
epoch [44/500], loss:1.2957 Accuracy: 26952/50000
epoch [45/500], loss:1.2899 Accuracy: 27030/50000
epoch [46/500], loss:1.2860 Accuracy: 27166/50000
epoch [47/500], loss:1.2813 Accuracy: 27201/50000
epoch [48/500], loss:1.2783 Accuracy: 27304/50000
epoch [49/500], loss:1.2755 Accuracy: 27294/50000
epoch [50/500], loss:1.2695 Accuracy: 27474/50000
epoch [51/500], loss:1.2658 Accuracy: 27539/50000
epoch [52/500], loss:1.2626 Accuracy: 27603/50000
epoch [53/500], loss:1.2582 Accuracy: 27625/50000
epoch [54/500], loss:1.2538 Accuracy: 27714/50000
epoch [55/500], loss:1.2506 Accuracy: 27752/50000
epoch [56/500], loss:1.2471 Accuracy: 27892/50000
epoch [57/500], loss:1.2433 Accuracy: 27887/50000
epoch [58/500], loss:1.2396 Accuracy: 27884/50000
epoch [59/500], loss:1.2370 Accuracy: 28092/50000
epoch [60/500], loss:1.2322 Accuracy: 28133/50000
epoch [61/500], loss:1.2286 Accuracy: 28152/50000
epoch [62/500], loss:1.2253 Accuracy: 28321/50000
epoch [63/500], loss:1.2223 Accuracy: 28277/50000
epoch [64/500], loss:1.2182 Accuracy: 28381/50000
epoch [65/500], loss:1.2155 Accuracy: 28450/50000
epoch [66/500], loss:1.2118 Accuracy: 28574/50000
epoch [67/500], loss:1.2092 Accuracy: 28606/50000
epoch [68/500], loss:1.2055 Accuracy: 28587/50000
epoch [69/500], loss:1.2026 Accuracy: 28714/50000
epoch [70/500], loss:1.1993 Accuracy: 28767/50000
epoch [71/500], loss:1.1962 Accuracy: 28766/50000
epoch [72/500], loss:1.1933 Accuracy: 28829/50000
epoch [73/500], loss:1.1900 Accuracy: 28937/50000
epoch [74/500], loss:1.1876 Accuracy: 28958/50000
epoch [75/500], loss:1.1860 Accuracy: 28989/50000
epoch [76/500], loss:1.1820 Accuracy: 28999/50000
epoch [77/500], loss:1.1790 Accuracy: 29096/50000
epoch [78/500], loss:1.1771 Accuracy: 29127/50000
epoch [79/500], loss:1.1748 Accuracy: 29176/50000
epoch [80/500], loss:1.1703 Accuracy: 29281/50000
epoch [81/500], loss:1.1678 Accuracy: 29374/50000
epoch [82/500], loss:1.1657 Accuracy: 29376/50000
epoch [83/500], loss:1.1636 Accuracy: 29421/50000
epoch [84/500], loss:1.1609 Accuracy: 29463/50000
