epoch [1/5000], loss:1.9479 Accuracy: 14878/50000
epoch [2/5000], loss:1.6306 Accuracy: 20635/50000
epoch [3/5000], loss:1.5075 Accuracy: 22654/50000
epoch [4/5000], loss:1.4404 Accuracy: 23955/50000
epoch [5/5000], loss:1.3905 Accuracy: 24903/50000
epoch [6/5000], loss:1.3496 Accuracy: 25781/50000
epoch [7/5000], loss:1.3185 Accuracy: 26407/50000
epoch [8/5000], loss:1.2883 Accuracy: 26971/50000
epoch [9/5000], loss:1.2637 Accuracy: 27610/50000
epoch [10/5000], loss:1.2364 Accuracy: 27948/50000
epoch [11/5000], loss:1.2139 Accuracy: 28485/50000
epoch [12/5000], loss:1.1933 Accuracy: 28885/50000
epoch [13/5000], loss:1.1749 Accuracy: 29173/50000
epoch [14/5000], loss:1.1554 Accuracy: 29567/50000
epoch [15/5000], loss:1.1351 Accuracy: 29989/50000
epoch [16/5000], loss:1.1167 Accuracy: 30295/50000
epoch [17/5000], loss:1.1017 Accuracy: 30499/50000
epoch [18/5000], loss:1.0844 Accuracy: 30940/50000
epoch [19/5000], loss:1.0715 Accuracy: 31218/50000
epoch [20/5000], loss:1.0566 Accuracy: 31444/50000
epoch [21/5000], loss:1.0437 Accuracy: 31593/50000
epoch [22/5000], loss:1.0326 Accuracy: 31905/50000
epoch [23/5000], loss:1.0191 Accuracy: 32110/50000
epoch [24/5000], loss:1.0073 Accuracy: 32355/50000
epoch [25/5000], loss:0.9983 Accuracy: 32516/50000
epoch [26/5000], loss:0.9879 Accuracy: 32777/50000
epoch [27/5000], loss:0.9801 Accuracy: 32864/50000
epoch [28/5000], loss:0.9695 Accuracy: 32995/50000
epoch [29/5000], loss:0.9588 Accuracy: 33288/50000
epoch [30/5000], loss:0.9509 Accuracy: 33392/50000
epoch [31/5000], loss:0.9438 Accuracy: 33500/50000
epoch [32/5000], loss:0.9354 Accuracy: 33681/50000
epoch [33/5000], loss:0.9279 Accuracy: 33834/50000
epoch [34/5000], loss:0.9211 Accuracy: 33917/50000
epoch [35/5000], loss:0.9115 Accuracy: 34109/50000
epoch [36/5000], loss:0.9042 Accuracy: 34221/50000
epoch [37/5000], loss:0.8997 Accuracy: 34330/50000
epoch [38/5000], loss:0.8926 Accuracy: 34415/50000
epoch [39/5000], loss:0.8854 Accuracy: 34607/50000
epoch [40/5000], loss:0.8790 Accuracy: 34699/50000
epoch [41/5000], loss:0.8730 Accuracy: 34727/50000
epoch [42/5000], loss:0.8671 Accuracy: 34867/50000
epoch [43/5000], loss:0.8610 Accuracy: 34971/50000
epoch [44/5000], loss:0.8555 Accuracy: 35069/50000
epoch [45/5000], loss:0.8506 Accuracy: 35138/50000
epoch [46/5000], loss:0.8457 Accuracy: 35333/50000
epoch [47/5000], loss:0.8388 Accuracy: 35330/50000
epoch [48/5000], loss:0.8338 Accuracy: 35505/50000
epoch [49/5000], loss:0.8319 Accuracy: 35528/50000
epoch [50/5000], loss:0.8243 Accuracy: 35634/50000
epoch [51/5000], loss:0.8198 Accuracy: 35728/50000
epoch [52/5000], loss:0.8154 Accuracy: 35822/50000
epoch [53/5000], loss:0.8099 Accuracy: 35899/50000
epoch [54/5000], loss:0.8070 Accuracy: 35893/50000
epoch [55/5000], loss:0.8003 Accuracy: 36075/50000
epoch [56/5000], loss:0.7991 Accuracy: 36044/50000
epoch [57/5000], loss:0.7907 Accuracy: 36183/50000
epoch [58/5000], loss:0.7885 Accuracy: 36245/50000
epoch [59/5000], loss:0.7831 Accuracy: 36396/50000
epoch [60/5000], loss:0.7789 Accuracy: 36426/50000
epoch [61/5000], loss:0.7756 Accuracy: 36441/50000
epoch [62/5000], loss:0.7710 Accuracy: 36496/50000
epoch [63/5000], loss:0.7672 Accuracy: 36633/50000
epoch [64/5000], loss:0.7645 Accuracy: 36651/50000
epoch [65/5000], loss:0.7596 Accuracy: 36733/50000
epoch [66/5000], loss:0.7556 Accuracy: 36832/50000
epoch [67/5000], loss:0.7511 Accuracy: 36924/50000
epoch [68/5000], loss:0.7494 Accuracy: 36958/50000
epoch [69/5000], loss:0.7451 Accuracy: 37056/50000
epoch [70/5000], loss:0.7408 Accuracy: 37111/50000
epoch [71/5000], loss:0.7377 Accuracy: 37123/50000
epoch [72/5000], loss:0.7326 Accuracy: 37220/50000
epoch [73/5000], loss:0.7306 Accuracy: 37255/50000
epoch [74/5000], loss:0.7258 Accuracy: 37354/50000
epoch [75/5000], loss:0.7240 Accuracy: 37375/50000
epoch [76/5000], loss:0.7221 Accuracy: 37396/50000
epoch [77/5000], loss:0.7158 Accuracy: 37518/50000
epoch [78/5000], loss:0.7128 Accuracy: 37571/50000
epoch [79/5000], loss:0.7102 Accuracy: 37653/50000
epoch [80/5000], loss:0.7071 Accuracy: 37710/50000
epoch [81/5000], loss:0.7043 Accuracy: 37754/50000
epoch [82/5000], loss:0.6998 Accuracy: 37806/50000
epoch [83/5000], loss:0.6980 Accuracy: 37848/50000
epoch [84/5000], loss:0.6945 Accuracy: 37868/50000
epoch [85/5000], loss:0.6912 Accuracy: 37938/50000
epoch [86/5000], loss:0.6872 Accuracy: 38021/50000
epoch [87/5000], loss:0.6841 Accuracy: 38029/50000
epoch [88/5000], loss:0.6822 Accuracy: 38161/50000
epoch [89/5000], loss:0.6785 Accuracy: 38172/50000
epoch [90/5000], loss:0.6780 Accuracy: 38176/50000
epoch [91/5000], loss:0.6729 Accuracy: 38234/50000
epoch [92/5000], loss:0.6700 Accuracy: 38275/50000
epoch [93/5000], loss:0.6682 Accuracy: 38339/50000
epoch [94/5000], loss:0.6663 Accuracy: 38402/50000
epoch [95/5000], loss:0.6622 Accuracy: 38455/50000
epoch [96/5000], loss:0.6576 Accuracy: 38504/50000
epoch [97/5000], loss:0.6572 Accuracy: 38540/50000
epoch [98/5000], loss:0.6540 Accuracy: 38619/50000
epoch [99/5000], loss:0.6507 Accuracy: 38603/50000
epoch [100/5000], loss:0.6482 Accuracy: 38739/50000
epoch [101/5000], loss:0.6458 Accuracy: 38708/50000
epoch [102/5000], loss:0.6445 Accuracy: 38745/50000
epoch [103/5000], loss:0.6414 Accuracy: 38800/50000
epoch [104/5000], loss:0.6400 Accuracy: 38791/50000
epoch [105/5000], loss:0.6363 Accuracy: 38912/50000
epoch [106/5000], loss:0.6351 Accuracy: 38924/50000
epoch [107/5000], loss:0.6317 Accuracy: 38978/50000
epoch [108/5000], loss:0.6289 Accuracy: 39046/50000
epoch [109/5000], loss:0.6264 Accuracy: 39044/50000
epoch [110/5000], loss:0.6233 Accuracy: 39170/50000
epoch [111/5000], loss:0.6198 Accuracy: 39205/50000
epoch [112/5000], loss:0.6218 Accuracy: 39205/50000
epoch [113/5000], loss:0.6163 Accuracy: 39299/50000
epoch [114/5000], loss:0.6149 Accuracy: 39331/50000
epoch [115/5000], loss:0.6106 Accuracy: 39376/50000
epoch [116/5000], loss:0.6078 Accuracy: 39475/50000
epoch [117/5000], loss:0.6084 Accuracy: 39433/50000
epoch [118/5000], loss:0.6062 Accuracy: 39380/50000
epoch [119/5000], loss:0.6040 Accuracy: 39492/50000
epoch [120/5000], loss:0.6016 Accuracy: 39596/50000
epoch [121/5000], loss:0.6003 Accuracy: 39574/50000
epoch [122/5000], loss:0.5961 Accuracy: 39638/50000
epoch [123/5000], loss:0.5964 Accuracy: 39587/50000
epoch [124/5000], loss:0.5931 Accuracy: 39706/50000
epoch [125/5000], loss:0.5910 Accuracy: 39706/50000
epoch [126/5000], loss:0.5891 Accuracy: 39711/50000
epoch [127/5000], loss:0.5886 Accuracy: 39778/50000
epoch [128/5000], loss:0.5859 Accuracy: 39876/50000
epoch [129/5000], loss:0.5839 Accuracy: 39826/50000
epoch [130/5000], loss:0.5807 Accuracy: 39882/50000
epoch [131/5000], loss:0.5799 Accuracy: 39835/50000
epoch [132/5000], loss:0.5790 Accuracy: 39927/50000
epoch [133/5000], loss:0.5764 Accuracy: 39927/50000
epoch [134/5000], loss:0.5746 Accuracy: 39977/50000
epoch [135/5000], loss:0.5731 Accuracy: 40017/50000
epoch [136/5000], loss:0.5697 Accuracy: 40140/50000
epoch [137/5000], loss:0.5674 Accuracy: 40209/50000
