epoch [1/5000], loss:2.0356 Accuracy: 13359/50000
epoch [2/5000], loss:1.7693 Accuracy: 18221/50000
epoch [3/5000], loss:1.6406 Accuracy: 20388/50000
epoch [4/5000], loss:1.5626 Accuracy: 21618/50000
epoch [5/5000], loss:1.5065 Accuracy: 22660/50000
epoch [6/5000], loss:1.4636 Accuracy: 23571/50000
epoch [7/5000], loss:1.4300 Accuracy: 24204/50000
epoch [8/5000], loss:1.4029 Accuracy: 24691/50000
epoch [9/5000], loss:1.3797 Accuracy: 25191/50000
epoch [10/5000], loss:1.3592 Accuracy: 25712/50000
epoch [11/5000], loss:1.3418 Accuracy: 25921/50000
epoch [12/5000], loss:1.3266 Accuracy: 26284/50000
epoch [13/5000], loss:1.3130 Accuracy: 26591/50000
epoch [14/5000], loss:1.2984 Accuracy: 26793/50000
epoch [15/5000], loss:1.2853 Accuracy: 27085/50000
epoch [16/5000], loss:1.2722 Accuracy: 27349/50000
epoch [17/5000], loss:1.2632 Accuracy: 27414/50000
epoch [18/5000], loss:1.2524 Accuracy: 27768/50000
epoch [19/5000], loss:1.2419 Accuracy: 27878/50000
epoch [20/5000], loss:1.2333 Accuracy: 28134/50000
epoch [21/5000], loss:1.2219 Accuracy: 28284/50000
epoch [22/5000], loss:1.2155 Accuracy: 28473/50000
epoch [23/5000], loss:1.2064 Accuracy: 28605/50000
epoch [24/5000], loss:1.1971 Accuracy: 28840/50000
epoch [25/5000], loss:1.1899 Accuracy: 28958/50000
epoch [26/5000], loss:1.1813 Accuracy: 29064/50000
epoch [27/5000], loss:1.1753 Accuracy: 29213/50000
epoch [28/5000], loss:1.1676 Accuracy: 29376/50000
epoch [29/5000], loss:1.1607 Accuracy: 29415/50000
epoch [30/5000], loss:1.1540 Accuracy: 29662/50000
epoch [31/5000], loss:1.1474 Accuracy: 29658/50000
epoch [32/5000], loss:1.1402 Accuracy: 29942/50000
epoch [33/5000], loss:1.1359 Accuracy: 29983/50000
epoch [34/5000], loss:1.1300 Accuracy: 30005/50000
epoch [35/5000], loss:1.1254 Accuracy: 30058/50000
epoch [36/5000], loss:1.1176 Accuracy: 30296/50000
epoch [37/5000], loss:1.1116 Accuracy: 30371/50000
epoch [38/5000], loss:1.1061 Accuracy: 30525/50000
epoch [39/5000], loss:1.1016 Accuracy: 30598/50000
epoch [40/5000], loss:1.0963 Accuracy: 30634/50000
epoch [41/5000], loss:1.0918 Accuracy: 30849/50000
epoch [42/5000], loss:1.0865 Accuracy: 30859/50000
epoch [43/5000], loss:1.0806 Accuracy: 30977/50000
epoch [44/5000], loss:1.0764 Accuracy: 31084/50000
epoch [45/5000], loss:1.0714 Accuracy: 31195/50000
epoch [46/5000], loss:1.0663 Accuracy: 31295/50000
epoch [47/5000], loss:1.0628 Accuracy: 31302/50000
epoch [48/5000], loss:1.0580 Accuracy: 31434/50000
epoch [49/5000], loss:1.0530 Accuracy: 31543/50000
epoch [50/5000], loss:1.0496 Accuracy: 31571/50000
epoch [51/5000], loss:1.0455 Accuracy: 31660/50000
epoch [52/5000], loss:1.0428 Accuracy: 31714/50000
epoch [53/5000], loss:1.0372 Accuracy: 31860/50000
epoch [54/5000], loss:1.0333 Accuracy: 31939/50000
epoch [55/5000], loss:1.0290 Accuracy: 31983/50000
epoch [56/5000], loss:1.0257 Accuracy: 32080/50000
epoch [57/5000], loss:1.0217 Accuracy: 32228/50000
epoch [58/5000], loss:1.0189 Accuracy: 32211/50000
epoch [59/5000], loss:1.0138 Accuracy: 32254/50000
epoch [60/5000], loss:1.0097 Accuracy: 32360/50000
epoch [61/5000], loss:1.0060 Accuracy: 32458/50000
epoch [62/5000], loss:1.0026 Accuracy: 32459/50000
epoch [63/5000], loss:0.9995 Accuracy: 32477/50000
epoch [64/5000], loss:0.9977 Accuracy: 32581/50000
epoch [65/5000], loss:0.9933 Accuracy: 32619/50000
epoch [66/5000], loss:0.9877 Accuracy: 32761/50000
epoch [67/5000], loss:0.9858 Accuracy: 32820/50000
epoch [68/5000], loss:0.9827 Accuracy: 32835/50000
epoch [69/5000], loss:0.9784 Accuracy: 32889/50000
epoch [70/5000], loss:0.9759 Accuracy: 32952/50000
epoch [71/5000], loss:0.9726 Accuracy: 33032/50000
epoch [72/5000], loss:0.9695 Accuracy: 33070/50000
epoch [73/5000], loss:0.9659 Accuracy: 33129/50000
epoch [74/5000], loss:0.9632 Accuracy: 33222/50000
epoch [75/5000], loss:0.9585 Accuracy: 33284/50000
epoch [76/5000], loss:0.9574 Accuracy: 33299/50000
epoch [77/5000], loss:0.9529 Accuracy: 33414/50000
epoch [78/5000], loss:0.9499 Accuracy: 33424/50000
epoch [79/5000], loss:0.9481 Accuracy: 33462/50000
epoch [80/5000], loss:0.9444 Accuracy: 33500/50000
epoch [81/5000], loss:0.9420 Accuracy: 33585/50000
epoch [82/5000], loss:0.9395 Accuracy: 33659/50000
epoch [83/5000], loss:0.9359 Accuracy: 33711/50000
epoch [84/5000], loss:0.9336 Accuracy: 33706/50000
epoch [85/5000], loss:0.9312 Accuracy: 33758/50000
epoch [86/5000], loss:0.9277 Accuracy: 33807/50000
epoch [87/5000], loss:0.9259 Accuracy: 33879/50000
epoch [88/5000], loss:0.9222 Accuracy: 33958/50000
epoch [89/5000], loss:0.9199 Accuracy: 33976/50000
epoch [90/5000], loss:0.9173 Accuracy: 33998/50000
epoch [91/5000], loss:0.9141 Accuracy: 34051/50000
epoch [92/5000], loss:0.9122 Accuracy: 34123/50000
epoch [93/5000], loss:0.9089 Accuracy: 34167/50000
epoch [94/5000], loss:0.9074 Accuracy: 34156/50000
epoch [95/5000], loss:0.9069 Accuracy: 34192/50000
epoch [96/5000], loss:0.9012 Accuracy: 34260/50000
epoch [97/5000], loss:0.8993 Accuracy: 34343/50000
epoch [98/5000], loss:0.8980 Accuracy: 34297/50000
epoch [99/5000], loss:0.8954 Accuracy: 34404/50000
epoch [100/5000], loss:0.8921 Accuracy: 34362/50000
epoch [101/5000], loss:0.8921 Accuracy: 34425/50000
epoch [102/5000], loss:0.8900 Accuracy: 34502/50000
epoch [103/5000], loss:0.8865 Accuracy: 34673/50000
epoch [104/5000], loss:0.8849 Accuracy: 34553/50000
epoch [105/5000], loss:0.8834 Accuracy: 34575/50000
epoch [106/5000], loss:0.8807 Accuracy: 34672/50000
epoch [107/5000], loss:0.8791 Accuracy: 34678/50000
epoch [108/5000], loss:0.8768 Accuracy: 34762/50000
epoch [109/5000], loss:0.8743 Accuracy: 34773/50000
epoch [110/5000], loss:0.8731 Accuracy: 34832/50000
epoch [111/5000], loss:0.8713 Accuracy: 34825/50000
epoch [112/5000], loss:0.8698 Accuracy: 34797/50000
epoch [113/5000], loss:0.8673 Accuracy: 34954/50000
epoch [114/5000], loss:0.8654 Accuracy: 34972/50000
epoch [115/5000], loss:0.8644 Accuracy: 34985/50000
epoch [116/5000], loss:0.8614 Accuracy: 34946/50000
epoch [117/5000], loss:0.8602 Accuracy: 35050/50000
epoch [118/5000], loss:0.8584 Accuracy: 35071/50000
epoch [119/5000], loss:0.8577 Accuracy: 35135/50000
epoch [120/5000], loss:0.8575 Accuracy: 35030/50000
epoch [121/5000], loss:0.8537 Accuracy: 35179/50000
epoch [122/5000], loss:0.8518 Accuracy: 35191/50000
epoch [123/5000], loss:0.8506 Accuracy: 35174/50000
epoch [124/5000], loss:0.8481 Accuracy: 35206/50000
epoch [125/5000], loss:0.8469 Accuracy: 35247/50000
epoch [126/5000], loss:0.8450 Accuracy: 35298/50000
epoch [127/5000], loss:0.8436 Accuracy: 35304/50000
epoch [128/5000], loss:0.8417 Accuracy: 35383/50000
epoch [129/5000], loss:0.8395 Accuracy: 35420/50000
epoch [130/5000], loss:0.8395 Accuracy: 35421/50000
epoch [131/5000], loss:0.8368 Accuracy: 35441/50000
epoch [132/5000], loss:0.8353 Accuracy: 35403/50000
epoch [133/5000], loss:0.8347 Accuracy: 35456/50000
epoch [134/5000], loss:0.8335 Accuracy: 35472/50000
epoch [135/5000], loss:0.8316 Accuracy: 35541/50000
epoch [136/5000], loss:0.8299 Accuracy: 35566/50000
epoch [137/5000], loss:0.8285 Accuracy: 35605/50000
epoch [138/5000], loss:0.8281 Accuracy: 35539/50000
epoch [139/5000], loss:0.8264 Accuracy: 35615/50000
epoch [140/5000], loss:0.8243 Accuracy: 35670/50000
epoch [141/5000], loss:0.8231 Accuracy: 35732/50000
epoch [142/5000], loss:0.8211 Accuracy: 35753/50000
epoch [143/5000], loss:0.8201 Accuracy: 35738/50000
epoch [144/5000], loss:0.8188 Accuracy: 35791/50000
epoch [145/5000], loss:0.8173 Accuracy: 35777/50000
epoch [146/5000], loss:0.8162 Accuracy: 35817/50000
epoch [147/5000], loss:0.8155 Accuracy: 35732/50000
epoch [148/5000], loss:0.8140 Accuracy: 35884/50000
epoch [149/5000], loss:0.8126 Accuracy: 35780/50000
epoch [150/5000], loss:0.8111 Accuracy: 35951/50000
epoch [151/5000], loss:0.8103 Accuracy: 35894/50000
epoch [152/5000], loss:0.8092 Accuracy: 35897/50000
epoch [153/5000], loss:0.8067 Accuracy: 36026/50000
epoch [154/5000], loss:0.8048 Accuracy: 36033/50000
epoch [155/5000], loss:0.8053 Accuracy: 35897/50000
epoch [156/5000], loss:0.8026 Accuracy: 36007/50000
epoch [157/5000], loss:0.8019 Accuracy: 36071/50000
epoch [158/5000], loss:0.8016 Accuracy: 36059/50000
epoch [159/5000], loss:0.7998 Accuracy: 35989/50000
epoch [160/5000], loss:0.7986 Accuracy: 36107/50000
epoch [161/5000], loss:0.7963 Accuracy: 36150/50000
epoch [162/5000], loss:0.7961 Accuracy: 36140/50000
epoch [163/5000], loss:0.7952 Accuracy: 36206/50000
epoch [164/5000], loss:0.7929 Accuracy: 36143/50000
epoch [165/5000], loss:0.7921 Accuracy: 36265/50000
epoch [166/5000], loss:0.7910 Accuracy: 36275/50000
epoch [167/5000], loss:0.7902 Accuracy: 36248/50000
epoch [168/5000], loss:0.7889 Accuracy: 36320/50000
epoch [169/5000], loss:0.7898 Accuracy: 36235/50000
epoch [170/5000], loss:0.7878 Accuracy: 36272/50000
epoch [171/5000], loss:0.7861 Accuracy: 36372/50000
epoch [172/5000], loss:0.7856 Accuracy: 36388/50000
epoch [173/5000], loss:0.7846 Accuracy: 36332/50000
epoch [174/5000], loss:0.7829 Accuracy: 36462/50000
epoch [175/5000], loss:0.7835 Accuracy: 36354/50000
epoch [176/5000], loss:0.7801 Accuracy: 36386/50000
epoch [177/5000], loss:0.7800 Accuracy: 36494/50000
epoch [178/5000], loss:0.7788 Accuracy: 36456/50000
epoch [179/5000], loss:0.7775 Accuracy: 36445/50000
epoch [180/5000], loss:0.7773 Accuracy: 36451/50000
epoch [181/5000], loss:0.7757 Accuracy: 36551/50000
epoch [182/5000], loss:0.7735 Accuracy: 36575/50000
epoch [183/5000], loss:0.7734 Accuracy: 36560/50000
epoch [184/5000], loss:0.7722 Accuracy: 36552/50000
epoch [185/5000], loss:0.7707 Accuracy: 36598/50000
epoch [186/5000], loss:0.7698 Accuracy: 36609/50000
epoch [187/5000], loss:0.7690 Accuracy: 36605/50000
epoch [188/5000], loss:0.7683 Accuracy: 36710/50000
epoch [189/5000], loss:0.7665 Accuracy: 36658/50000
epoch [190/5000], loss:0.7657 Accuracy: 36706/50000
epoch [191/5000], loss:0.7645 Accuracy: 36712/50000
epoch [192/5000], loss:0.7632 Accuracy: 36774/50000
epoch [193/5000], loss:0.7618 Accuracy: 36728/50000
epoch [194/5000], loss:0.7629 Accuracy: 36722/50000
epoch [195/5000], loss:0.7596 Accuracy: 36813/50000
epoch [196/5000], loss:0.7585 Accuracy: 36827/50000
epoch [197/5000], loss:0.7594 Accuracy: 36848/50000
epoch [198/5000], loss:0.7585 Accuracy: 36875/50000
epoch [199/5000], loss:0.7579 Accuracy: 36833/50000
epoch [200/5000], loss:0.7564 Accuracy: 36864/50000
epoch [201/5000], loss:0.7550 Accuracy: 36866/50000
epoch [202/5000], loss:0.7542 Accuracy: 36893/50000
epoch [203/5000], loss:0.7545 Accuracy: 36921/50000
