18 18 16
epoch [1/5000], loss:2.0819 Accuracy: 11883/50000
epoch [2/5000], loss:1.8150 Accuracy: 17282/50000
epoch [3/5000], loss:1.6266 Accuracy: 20673/50000
epoch [4/5000], loss:1.5279 Accuracy: 22513/50000
epoch [5/5000], loss:1.4754 Accuracy: 23556/50000
epoch [6/5000], loss:1.4425 Accuracy: 24176/50000
epoch [7/5000], loss:1.4170 Accuracy: 24620/50000
epoch [8/5000], loss:1.3948 Accuracy: 25113/50000
epoch [9/5000], loss:1.3760 Accuracy: 25424/50000
epoch [10/5000], loss:1.3597 Accuracy: 25724/50000
epoch [11/5000], loss:1.3458 Accuracy: 26026/50000
epoch [12/5000], loss:1.3302 Accuracy: 26232/50000
epoch [13/5000], loss:1.3194 Accuracy: 26422/50000
epoch [14/5000], loss:1.3064 Accuracy: 26709/50000
epoch [15/5000], loss:1.2951 Accuracy: 26931/50000
epoch [16/5000], loss:1.2839 Accuracy: 27173/50000
epoch [17/5000], loss:1.2725 Accuracy: 27380/50000
epoch [18/5000], loss:1.2606 Accuracy: 27538/50000
epoch [19/5000], loss:1.2504 Accuracy: 27742/50000
epoch [20/5000], loss:1.2398 Accuracy: 27982/50000
epoch [21/5000], loss:1.2302 Accuracy: 28219/50000
epoch [22/5000], loss:1.2205 Accuracy: 28384/50000
epoch [23/5000], loss:1.2102 Accuracy: 28622/50000
epoch [24/5000], loss:1.1997 Accuracy: 28771/50000
epoch [25/5000], loss:1.1915 Accuracy: 28929/50000
epoch [26/5000], loss:1.1817 Accuracy: 29129/50000
epoch [27/5000], loss:1.1719 Accuracy: 29292/50000
epoch [28/5000], loss:1.1650 Accuracy: 29431/50000
epoch [29/5000], loss:1.1568 Accuracy: 29521/50000
epoch [30/5000], loss:1.1499 Accuracy: 29676/50000
epoch [31/5000], loss:1.1409 Accuracy: 29916/50000
epoch [32/5000], loss:1.1348 Accuracy: 29998/50000
epoch [33/5000], loss:1.1254 Accuracy: 30214/50000
epoch [34/5000], loss:1.1166 Accuracy: 30354/50000
epoch [35/5000], loss:1.1125 Accuracy: 30416/50000
epoch [36/5000], loss:1.1054 Accuracy: 30526/50000
epoch [37/5000], loss:1.1003 Accuracy: 30582/50000
epoch [38/5000], loss:1.0926 Accuracy: 30856/50000
epoch [39/5000], loss:1.0859 Accuracy: 30946/50000
epoch [40/5000], loss:1.0793 Accuracy: 31001/50000
epoch [41/5000], loss:1.0727 Accuracy: 31116/50000
epoch [42/5000], loss:1.0685 Accuracy: 31242/50000
epoch [43/5000], loss:1.0630 Accuracy: 31326/50000
epoch [44/5000], loss:1.0578 Accuracy: 31419/50000
epoch [45/5000], loss:1.0514 Accuracy: 31482/50000
epoch [46/5000], loss:1.0466 Accuracy: 31601/50000
epoch [47/5000], loss:1.0416 Accuracy: 31660/50000
epoch [48/5000], loss:1.0358 Accuracy: 31739/50000
epoch [49/5000], loss:1.0310 Accuracy: 31967/50000
epoch [50/5000], loss:1.0266 Accuracy: 31944/50000
epoch [51/5000], loss:1.0213 Accuracy: 32105/50000
epoch [52/5000], loss:1.0166 Accuracy: 32139/50000
epoch [53/5000], loss:1.0130 Accuracy: 32251/50000
epoch [54/5000], loss:1.0082 Accuracy: 32385/50000
epoch [55/5000], loss:1.0033 Accuracy: 32484/50000
epoch [56/5000], loss:0.9993 Accuracy: 32479/50000
epoch [57/5000], loss:0.9944 Accuracy: 32597/50000
epoch [58/5000], loss:0.9922 Accuracy: 32656/50000
epoch [59/5000], loss:0.9867 Accuracy: 32698/50000
epoch [60/5000], loss:0.9832 Accuracy: 32759/50000
epoch [61/5000], loss:0.9795 Accuracy: 32868/50000
epoch [62/5000], loss:0.9752 Accuracy: 32922/50000
epoch [63/5000], loss:0.9723 Accuracy: 33034/50000
epoch [64/5000], loss:0.9661 Accuracy: 33081/50000
epoch [65/5000], loss:0.9635 Accuracy: 33114/50000
epoch [66/5000], loss:0.9610 Accuracy: 33172/50000
epoch [67/5000], loss:0.9575 Accuracy: 33189/50000
epoch [68/5000], loss:0.9554 Accuracy: 33268/50000
epoch [69/5000], loss:0.9508 Accuracy: 33386/50000
epoch [70/5000], loss:0.9474 Accuracy: 33447/50000
epoch [71/5000], loss:0.9454 Accuracy: 33528/50000
epoch [72/5000], loss:0.9418 Accuracy: 33569/50000
epoch [73/5000], loss:0.9379 Accuracy: 33626/50000
epoch [74/5000], loss:0.9342 Accuracy: 33678/50000
epoch [75/5000], loss:0.9323 Accuracy: 33758/50000
epoch [76/5000], loss:0.9289 Accuracy: 33850/50000
epoch [77/5000], loss:0.9269 Accuracy: 33748/50000
epoch [78/5000], loss:0.9250 Accuracy: 33857/50000
epoch [79/5000], loss:0.9203 Accuracy: 33888/50000
epoch [80/5000], loss:0.9180 Accuracy: 33976/50000
epoch [81/5000], loss:0.9163 Accuracy: 34052/50000
epoch [82/5000], loss:0.9135 Accuracy: 34078/50000
epoch [83/5000], loss:0.9090 Accuracy: 34181/50000
epoch [84/5000], loss:0.9077 Accuracy: 34166/50000
epoch [85/5000], loss:0.9054 Accuracy: 34087/50000
epoch [86/5000], loss:0.9028 Accuracy: 34273/50000
epoch [87/5000], loss:0.8990 Accuracy: 34362/50000
epoch [88/5000], loss:0.8995 Accuracy: 34378/50000
epoch [89/5000], loss:0.8954 Accuracy: 34402/50000
epoch [90/5000], loss:0.8928 Accuracy: 34456/50000
epoch [91/5000], loss:0.8920 Accuracy: 34456/50000
epoch [92/5000], loss:0.8884 Accuracy: 34587/50000
epoch [93/5000], loss:0.8860 Accuracy: 34599/50000
epoch [94/5000], loss:0.8849 Accuracy: 34656/50000
epoch [95/5000], loss:0.8813 Accuracy: 34702/50000
epoch [96/5000], loss:0.8799 Accuracy: 34731/50000
epoch [97/5000], loss:0.8782 Accuracy: 34741/50000
epoch [98/5000], loss:0.8750 Accuracy: 34804/50000
epoch [99/5000], loss:0.8726 Accuracy: 34917/50000
epoch [100/5000], loss:0.8720 Accuracy: 34874/50000
epoch [101/5000], loss:0.8706 Accuracy: 34862/50000
epoch [102/5000], loss:0.8679 Accuracy: 34965/50000
epoch [103/5000], loss:0.8649 Accuracy: 34951/50000
epoch [104/5000], loss:0.8624 Accuracy: 35041/50000
epoch [105/5000], loss:0.8613 Accuracy: 35055/50000
epoch [106/5000], loss:0.8597 Accuracy: 35111/50000
epoch [107/5000], loss:0.8567 Accuracy: 35151/50000
epoch [108/5000], loss:0.8555 Accuracy: 35121/50000
epoch [109/5000], loss:0.8527 Accuracy: 35301/50000
epoch [110/5000], loss:0.8517 Accuracy: 35264/50000
epoch [111/5000], loss:0.8497 Accuracy: 35260/50000
epoch [112/5000], loss:0.8489 Accuracy: 35320/50000
epoch [113/5000], loss:0.8475 Accuracy: 35276/50000
epoch [114/5000], loss:0.8454 Accuracy: 35361/50000
epoch [115/5000], loss:0.8428 Accuracy: 35469/50000
epoch [116/5000], loss:0.8414 Accuracy: 35493/50000
epoch [117/5000], loss:0.8391 Accuracy: 35514/50000
epoch [118/5000], loss:0.8390 Accuracy: 35387/50000
epoch [119/5000], loss:0.8377 Accuracy: 35476/50000
epoch [120/5000], loss:0.8354 Accuracy: 35536/50000
epoch [121/5000], loss:0.8328 Accuracy: 35587/50000
epoch [122/5000], loss:0.8337 Accuracy: 35555/50000
epoch [123/5000], loss:0.8297 Accuracy: 35659/50000
epoch [124/5000], loss:0.8314 Accuracy: 35563/50000
epoch [125/5000], loss:0.8272 Accuracy: 35637/50000
epoch [126/5000], loss:0.8258 Accuracy: 35719/50000
epoch [127/5000], loss:0.8262 Accuracy: 35696/50000
epoch [128/5000], loss:0.8229 Accuracy: 35827/50000
epoch [129/5000], loss:0.8220 Accuracy: 35776/50000
epoch [130/5000], loss:0.8197 Accuracy: 35854/50000
epoch [131/5000], loss:0.8197 Accuracy: 35834/50000
epoch [132/5000], loss:0.8171 Accuracy: 35867/50000
epoch [133/5000], loss:0.8158 Accuracy: 35908/50000
epoch [134/5000], loss:0.8163 Accuracy: 35847/50000
epoch [135/5000], loss:0.8126 Accuracy: 35977/50000
epoch [136/5000], loss:0.8120 Accuracy: 35920/50000
epoch [137/5000], loss:0.8098 Accuracy: 36007/50000
epoch [138/5000], loss:0.8096 Accuracy: 35937/50000
epoch [139/5000], loss:0.8073 Accuracy: 36035/50000
epoch [140/5000], loss:0.8052 Accuracy: 36065/50000
epoch [141/5000], loss:0.8051 Accuracy: 36140/50000
epoch [142/5000], loss:0.8053 Accuracy: 36087/50000
epoch [143/5000], loss:0.8009 Accuracy: 36168/50000
epoch [144/5000], loss:0.8016 Accuracy: 36098/50000
epoch [145/5000], loss:0.7995 Accuracy: 36163/50000
epoch [146/5000], loss:0.7977 Accuracy: 36199/50000
