8 9 9
epoch [1/4000], loss:2.1519 Accuracy: 10570/50000
epoch [2/4000], loss:1.8920 Accuracy: 15694/50000
epoch [3/4000], loss:1.7867 Accuracy: 17969/50000
epoch [4/4000], loss:1.7130 Accuracy: 19330/50000
epoch [5/4000], loss:1.6587 Accuracy: 20219/50000
epoch [6/4000], loss:1.6193 Accuracy: 20914/50000
epoch [7/4000], loss:1.5901 Accuracy: 21317/50000
epoch [8/4000], loss:1.5662 Accuracy: 21682/50000
epoch [9/4000], loss:1.5467 Accuracy: 22085/50000
epoch [10/4000], loss:1.5291 Accuracy: 22411/50000
epoch [11/4000], loss:1.5148 Accuracy: 22609/50000
epoch [12/4000], loss:1.5002 Accuracy: 22971/50000
epoch [13/4000], loss:1.4890 Accuracy: 23154/50000
epoch [14/4000], loss:1.4768 Accuracy: 23397/50000
epoch [15/4000], loss:1.4664 Accuracy: 23655/50000
epoch [16/4000], loss:1.4548 Accuracy: 23914/50000
epoch [17/4000], loss:1.4464 Accuracy: 24044/50000
epoch [18/4000], loss:1.4360 Accuracy: 24206/50000
epoch [19/4000], loss:1.4290 Accuracy: 24336/50000
epoch [20/4000], loss:1.4194 Accuracy: 24559/50000
epoch [21/4000], loss:1.4108 Accuracy: 24793/50000
epoch [22/4000], loss:1.4046 Accuracy: 24867/50000
epoch [23/4000], loss:1.3946 Accuracy: 25085/50000
epoch [24/4000], loss:1.3884 Accuracy: 25119/50000
epoch [25/4000], loss:1.3809 Accuracy: 25315/50000
epoch [26/4000], loss:1.3737 Accuracy: 25486/50000
epoch [27/4000], loss:1.3665 Accuracy: 25705/50000
epoch [28/4000], loss:1.3600 Accuracy: 25726/50000
epoch [29/4000], loss:1.3525 Accuracy: 25868/50000
epoch [30/4000], loss:1.3451 Accuracy: 25977/50000
epoch [31/4000], loss:1.3380 Accuracy: 26159/50000
epoch [32/4000], loss:1.3311 Accuracy: 26284/50000
epoch [33/4000], loss:1.3255 Accuracy: 26384/50000
epoch [34/4000], loss:1.3179 Accuracy: 26529/50000
epoch [35/4000], loss:1.3116 Accuracy: 26642/50000
epoch [36/4000], loss:1.3054 Accuracy: 26703/50000
epoch [37/4000], loss:1.2998 Accuracy: 26871/50000
epoch [38/4000], loss:1.2942 Accuracy: 26917/50000
epoch [39/4000], loss:1.2880 Accuracy: 27116/50000
epoch [40/4000], loss:1.2825 Accuracy: 27176/50000
epoch [41/4000], loss:1.2770 Accuracy: 27369/50000
epoch [42/4000], loss:1.2717 Accuracy: 27394/50000
epoch [43/4000], loss:1.2663 Accuracy: 27526/50000
epoch [44/4000], loss:1.2624 Accuracy: 27563/50000
epoch [45/4000], loss:1.2572 Accuracy: 27630/50000
epoch [46/4000], loss:1.2522 Accuracy: 27746/50000
epoch [47/4000], loss:1.2488 Accuracy: 27805/50000
epoch [48/4000], loss:1.2437 Accuracy: 27860/50000
epoch [49/4000], loss:1.2401 Accuracy: 27929/50000
epoch [50/4000], loss:1.2360 Accuracy: 28040/50000
epoch [51/4000], loss:1.2320 Accuracy: 28120/50000
epoch [52/4000], loss:1.2291 Accuracy: 28179/50000
epoch [53/4000], loss:1.2236 Accuracy: 28147/50000
epoch [54/4000], loss:1.2201 Accuracy: 28373/50000
epoch [55/4000], loss:1.2176 Accuracy: 28341/50000
epoch [56/4000], loss:1.2124 Accuracy: 28480/50000
epoch [57/4000], loss:1.2094 Accuracy: 28542/50000
epoch [58/4000], loss:1.2057 Accuracy: 28667/50000
epoch [59/4000], loss:1.2035 Accuracy: 28626/50000
epoch [60/4000], loss:1.1996 Accuracy: 28663/50000
epoch [61/4000], loss:1.1962 Accuracy: 28770/50000
