epoch [1/5000], loss:2.1384 Accuracy: 10163/50000
epoch [2/5000], loss:1.8885 Accuracy: 15494/50000
epoch [3/5000], loss:1.7930 Accuracy: 17398/50000
epoch [4/5000], loss:1.7330 Accuracy: 18462/50000
epoch [5/5000], loss:1.6872 Accuracy: 19208/50000
epoch [6/5000], loss:1.6504 Accuracy: 19869/50000
epoch [7/5000], loss:1.6203 Accuracy: 20479/50000
epoch [8/5000], loss:1.5967 Accuracy: 20900/50000
epoch [9/5000], loss:1.5768 Accuracy: 21272/50000
epoch [10/5000], loss:1.5585 Accuracy: 21599/50000
epoch [11/5000], loss:1.5416 Accuracy: 21912/50000
epoch [12/5000], loss:1.5252 Accuracy: 22209/50000
epoch [13/5000], loss:1.5097 Accuracy: 22475/50000
epoch [14/5000], loss:1.4967 Accuracy: 22728/50000
epoch [15/5000], loss:1.4834 Accuracy: 22954/50000
epoch [16/5000], loss:1.4698 Accuracy: 23314/50000
epoch [17/5000], loss:1.4576 Accuracy: 23537/50000
epoch [18/5000], loss:1.4472 Accuracy: 23675/50000
epoch [19/5000], loss:1.4378 Accuracy: 23861/50000
epoch [20/5000], loss:1.4280 Accuracy: 24102/50000
epoch [21/5000], loss:1.4192 Accuracy: 24271/50000
epoch [22/5000], loss:1.4108 Accuracy: 24321/50000
epoch [23/5000], loss:1.4033 Accuracy: 24547/50000
epoch [24/5000], loss:1.3955 Accuracy: 24603/50000
epoch [25/5000], loss:1.3872 Accuracy: 24868/50000
epoch [26/5000], loss:1.3802 Accuracy: 25068/50000
epoch [27/5000], loss:1.3735 Accuracy: 25137/50000
epoch [28/5000], loss:1.3666 Accuracy: 25310/50000
epoch [29/5000], loss:1.3598 Accuracy: 25458/50000
epoch [30/5000], loss:1.3532 Accuracy: 25648/50000
epoch [31/5000], loss:1.3479 Accuracy: 25749/50000
epoch [32/5000], loss:1.3426 Accuracy: 25775/50000
epoch [33/5000], loss:1.3359 Accuracy: 25958/50000
epoch [34/5000], loss:1.3318 Accuracy: 25955/50000
epoch [35/5000], loss:1.3266 Accuracy: 26039/50000
epoch [36/5000], loss:1.3202 Accuracy: 26153/50000
epoch [37/5000], loss:1.3156 Accuracy: 26336/50000
epoch [38/5000], loss:1.3097 Accuracy: 26465/50000
epoch [39/5000], loss:1.3049 Accuracy: 26603/50000
epoch [40/5000], loss:1.2998 Accuracy: 26656/50000
epoch [41/5000], loss:1.2961 Accuracy: 26682/50000
epoch [42/5000], loss:1.2912 Accuracy: 26887/50000
epoch [43/5000], loss:1.2858 Accuracy: 26878/50000
epoch [44/5000], loss:1.2831 Accuracy: 27031/50000
epoch [45/5000], loss:1.2765 Accuracy: 27117/50000
epoch [46/5000], loss:1.2724 Accuracy: 27131/50000
epoch [47/5000], loss:1.2690 Accuracy: 27234/50000
epoch [48/5000], loss:1.2662 Accuracy: 27330/50000
epoch [49/5000], loss:1.2607 Accuracy: 27455/50000
epoch [50/5000], loss:1.2558 Accuracy: 27476/50000
epoch [51/5000], loss:1.2531 Accuracy: 27587/50000
epoch [52/5000], loss:1.2493 Accuracy: 27562/50000
epoch [53/5000], loss:1.2447 Accuracy: 27712/50000
epoch [54/5000], loss:1.2412 Accuracy: 27776/50000
epoch [55/5000], loss:1.2375 Accuracy: 27838/50000
epoch [56/5000], loss:1.2340 Accuracy: 27893/50000
epoch [57/5000], loss:1.2302 Accuracy: 28024/50000
epoch [58/5000], loss:1.2256 Accuracy: 28111/50000
epoch [59/5000], loss:1.2228 Accuracy: 28162/50000
epoch [60/5000], loss:1.2198 Accuracy: 28171/50000
epoch [61/5000], loss:1.2153 Accuracy: 28244/50000
epoch [62/5000], loss:1.2126 Accuracy: 28336/50000
epoch [63/5000], loss:1.2090 Accuracy: 28522/50000
epoch [64/5000], loss:1.2060 Accuracy: 28503/50000
epoch [65/5000], loss:1.2030 Accuracy: 28530/50000
epoch [66/5000], loss:1.2000 Accuracy: 28633/50000
epoch [67/5000], loss:1.1963 Accuracy: 28700/50000
epoch [68/5000], loss:1.1941 Accuracy: 28661/50000
epoch [69/5000], loss:1.1902 Accuracy: 28818/50000
epoch [70/5000], loss:1.1878 Accuracy: 28722/50000
epoch [71/5000], loss:1.1842 Accuracy: 28845/50000
epoch [72/5000], loss:1.1818 Accuracy: 28937/50000
epoch [73/5000], loss:1.1800 Accuracy: 28993/50000
epoch [74/5000], loss:1.1766 Accuracy: 29043/50000
epoch [75/5000], loss:1.1744 Accuracy: 29123/50000
epoch [76/5000], loss:1.1720 Accuracy: 29174/50000
epoch [77/5000], loss:1.1673 Accuracy: 29130/50000
epoch [78/5000], loss:1.1657 Accuracy: 29302/50000
epoch [79/5000], loss:1.1637 Accuracy: 29270/50000
epoch [80/5000], loss:1.1609 Accuracy: 29348/50000
epoch [81/5000], loss:1.1574 Accuracy: 29427/50000
epoch [82/5000], loss:1.1554 Accuracy: 29412/50000
epoch [83/5000], loss:1.1536 Accuracy: 29458/50000
epoch [84/5000], loss:1.1522 Accuracy: 29462/50000
epoch [85/5000], loss:1.1477 Accuracy: 29624/50000
epoch [86/5000], loss:1.1456 Accuracy: 29640/50000
epoch [87/5000], loss:1.1451 Accuracy: 29595/50000
epoch [88/5000], loss:1.1413 Accuracy: 29694/50000
epoch [89/5000], loss:1.1397 Accuracy: 29770/50000
epoch [90/5000], loss:1.1361 Accuracy: 29812/50000
epoch [91/5000], loss:1.1338 Accuracy: 29920/50000
epoch [92/5000], loss:1.1322 Accuracy: 29855/50000
epoch [93/5000], loss:1.1293 Accuracy: 29940/50000
epoch [94/5000], loss:1.1278 Accuracy: 30010/50000
epoch [95/5000], loss:1.1249 Accuracy: 30009/50000
epoch [96/5000], loss:1.1217 Accuracy: 30164/50000
epoch [97/5000], loss:1.1204 Accuracy: 30120/50000
epoch [98/5000], loss:1.1191 Accuracy: 30216/50000
epoch [99/5000], loss:1.1164 Accuracy: 30219/50000
epoch [100/5000], loss:1.1149 Accuracy: 30168/50000
epoch [101/5000], loss:1.1123 Accuracy: 30251/50000
epoch [102/5000], loss:1.1105 Accuracy: 30432/50000
epoch [103/5000], loss:1.1078 Accuracy: 30329/50000
epoch [104/5000], loss:1.1072 Accuracy: 30432/50000
epoch [105/5000], loss:1.1046 Accuracy: 30455/50000
epoch [106/5000], loss:1.1017 Accuracy: 30508/50000
epoch [107/5000], loss:1.1005 Accuracy: 30545/50000
epoch [108/5000], loss:1.0989 Accuracy: 30428/50000
epoch [109/5000], loss:1.0966 Accuracy: 30637/50000
epoch [110/5000], loss:1.0943 Accuracy: 30645/50000
