12
epoch [1/1800], loss:2.1437 Accuracy: 10666/50000
epoch [2/1800], loss:1.9100 Accuracy: 15761/50000
epoch [3/1800], loss:1.8261 Accuracy: 17222/50000
epoch [4/1800], loss:1.7725 Accuracy: 18139/50000
epoch [5/1800], loss:1.7288 Accuracy: 18935/50000
epoch [6/1800], loss:1.6906 Accuracy: 19611/50000
epoch [7/1800], loss:1.6560 Accuracy: 20145/50000
epoch [8/1800], loss:1.6251 Accuracy: 20671/50000
epoch [9/1800], loss:1.5967 Accuracy: 21188/50000
epoch [10/1800], loss:1.5706 Accuracy: 21642/50000
epoch [11/1800], loss:1.5478 Accuracy: 22060/50000
epoch [12/1800], loss:1.5275 Accuracy: 22360/50000
epoch [13/1800], loss:1.5095 Accuracy: 22717/50000
epoch [14/1800], loss:1.4938 Accuracy: 22928/50000
epoch [15/1800], loss:1.4789 Accuracy: 23249/50000
epoch [16/1800], loss:1.4646 Accuracy: 23461/50000
epoch [17/1800], loss:1.4528 Accuracy: 23675/50000
epoch [18/1800], loss:1.4407 Accuracy: 23925/50000
epoch [19/1800], loss:1.4306 Accuracy: 24044/50000
epoch [20/1800], loss:1.4197 Accuracy: 24320/50000
epoch [21/1800], loss:1.4116 Accuracy: 24418/50000
epoch [22/1800], loss:1.4028 Accuracy: 24601/50000
epoch [23/1800], loss:1.3932 Accuracy: 24836/50000
epoch [24/1800], loss:1.3859 Accuracy: 24991/50000
epoch [25/1800], loss:1.3776 Accuracy: 25165/50000
epoch [26/1800], loss:1.3707 Accuracy: 25359/50000
epoch [27/1800], loss:1.3629 Accuracy: 25466/50000
epoch [28/1800], loss:1.3559 Accuracy: 25577/50000
epoch [29/1800], loss:1.3503 Accuracy: 25723/50000
epoch [30/1800], loss:1.3436 Accuracy: 25852/50000
epoch [31/1800], loss:1.3363 Accuracy: 25951/50000
epoch [32/1800], loss:1.3314 Accuracy: 26088/50000
epoch [33/1800], loss:1.3242 Accuracy: 26244/50000
epoch [34/1800], loss:1.3181 Accuracy: 26354/50000
epoch [35/1800], loss:1.3124 Accuracy: 26513/50000
epoch [36/1800], loss:1.3072 Accuracy: 26632/50000
epoch [37/1800], loss:1.3010 Accuracy: 26742/50000
epoch [38/1800], loss:1.2953 Accuracy: 26815/50000
epoch [39/1800], loss:1.2901 Accuracy: 26909/50000
epoch [40/1800], loss:1.2853 Accuracy: 27025/50000
epoch [41/1800], loss:1.2802 Accuracy: 27114/50000
epoch [42/1800], loss:1.2752 Accuracy: 27209/50000
epoch [43/1800], loss:1.2707 Accuracy: 27288/50000
epoch [44/1800], loss:1.2668 Accuracy: 27368/50000
epoch [45/1800], loss:1.2606 Accuracy: 27528/50000
epoch [46/1800], loss:1.2572 Accuracy: 27573/50000
epoch [47/1800], loss:1.2524 Accuracy: 27655/50000
epoch [48/1800], loss:1.2482 Accuracy: 27747/50000
epoch [49/1800], loss:1.2445 Accuracy: 27902/50000
epoch [50/1800], loss:1.2400 Accuracy: 28000/50000
epoch [51/1800], loss:1.2354 Accuracy: 28117/50000
epoch [52/1800], loss:1.2318 Accuracy: 28135/50000
epoch [53/1800], loss:1.2289 Accuracy: 28152/50000
epoch [54/1800], loss:1.2246 Accuracy: 28312/50000
epoch [55/1800], loss:1.2208 Accuracy: 28343/50000
epoch [56/1800], loss:1.2179 Accuracy: 28416/50000
epoch [57/1800], loss:1.2135 Accuracy: 28516/50000
epoch [58/1800], loss:1.2101 Accuracy: 28631/50000
epoch [59/1800], loss:1.2068 Accuracy: 28622/50000
epoch [60/1800], loss:1.2032 Accuracy: 28726/50000
epoch [61/1800], loss:1.1989 Accuracy: 28811/50000
epoch [62/1800], loss:1.1966 Accuracy: 28894/50000
epoch [63/1800], loss:1.1929 Accuracy: 28996/50000
epoch [64/1800], loss:1.1896 Accuracy: 28983/50000
epoch [65/1800], loss:1.1866 Accuracy: 29046/50000
epoch [66/1800], loss:1.1839 Accuracy: 29102/50000
epoch [67/1800], loss:1.1821 Accuracy: 29164/50000
epoch [68/1800], loss:1.1782 Accuracy: 29262/50000
epoch [69/1800], loss:1.1755 Accuracy: 29297/50000
epoch [70/1800], loss:1.1726 Accuracy: 29330/50000
epoch [71/1800], loss:1.1691 Accuracy: 29396/50000
epoch [72/1800], loss:1.1665 Accuracy: 29377/50000
epoch [73/1800], loss:1.1642 Accuracy: 29427/50000
epoch [74/1800], loss:1.1613 Accuracy: 29505/50000
epoch [75/1800], loss:1.1592 Accuracy: 29543/50000
epoch [76/1800], loss:1.1558 Accuracy: 29632/50000
epoch [77/1800], loss:1.1535 Accuracy: 29676/50000
epoch [78/1800], loss:1.1508 Accuracy: 29654/50000
epoch [79/1800], loss:1.1492 Accuracy: 29814/50000
epoch [80/1800], loss:1.1460 Accuracy: 29805/50000
epoch [81/1800], loss:1.1427 Accuracy: 29900/50000
epoch [82/1800], loss:1.1414 Accuracy: 29914/50000
epoch [83/1800], loss:1.1389 Accuracy: 29999/50000
epoch [84/1800], loss:1.1371 Accuracy: 29977/50000
epoch [85/1800], loss:1.1341 Accuracy: 30079/50000
epoch [86/1800], loss:1.1319 Accuracy: 30170/50000
epoch [87/1800], loss:1.1301 Accuracy: 30104/50000
epoch [88/1800], loss:1.1272 Accuracy: 30233/50000
epoch [89/1800], loss:1.1256 Accuracy: 30285/50000
epoch [90/1800], loss:1.1233 Accuracy: 30247/50000
epoch [91/1800], loss:1.1214 Accuracy: 30325/50000
epoch [92/1800], loss:1.1186 Accuracy: 30406/50000
epoch [93/1800], loss:1.1169 Accuracy: 30386/50000
epoch [94/1800], loss:1.1141 Accuracy: 30439/50000
epoch [95/1800], loss:1.1129 Accuracy: 30501/50000
epoch [96/1800], loss:1.1101 Accuracy: 30528/50000
epoch [97/1800], loss:1.1093 Accuracy: 30473/50000
epoch [98/1800], loss:1.1064 Accuracy: 30603/50000
epoch [99/1800], loss:1.1050 Accuracy: 30562/50000
epoch [100/1800], loss:1.1032 Accuracy: 30671/50000
epoch [101/1800], loss:1.1010 Accuracy: 30685/50000
epoch [102/1800], loss:1.0998 Accuracy: 30758/50000
epoch [103/1800], loss:1.0967 Accuracy: 30776/50000
epoch [104/1800], loss:1.0959 Accuracy: 30801/50000
epoch [105/1800], loss:1.0941 Accuracy: 30864/50000
epoch [106/1800], loss:1.0920 Accuracy: 30896/50000
epoch [107/1800], loss:1.0899 Accuracy: 30923/50000
epoch [108/1800], loss:1.0885 Accuracy: 30930/50000
epoch [109/1800], loss:1.0867 Accuracy: 30888/50000
epoch [110/1800], loss:1.0844 Accuracy: 31060/50000
epoch [111/1800], loss:1.0833 Accuracy: 31028/50000
epoch [112/1800], loss:1.0811 Accuracy: 31082/50000
epoch [113/1800], loss:1.0806 Accuracy: 31093/50000
epoch [114/1800], loss:1.0772 Accuracy: 31208/50000
epoch [115/1800], loss:1.0762 Accuracy: 31180/50000
epoch [116/1800], loss:1.0739 Accuracy: 31234/50000
epoch [117/1800], loss:1.0732 Accuracy: 31265/50000
epoch [118/1800], loss:1.0708 Accuracy: 31197/50000
epoch [119/1800], loss:1.0700 Accuracy: 31269/50000
epoch [120/1800], loss:1.0676 Accuracy: 31311/50000
epoch [121/1800], loss:1.0668 Accuracy: 31328/50000
epoch [122/1800], loss:1.0659 Accuracy: 31298/50000
epoch [123/1800], loss:1.0638 Accuracy: 31365/50000
epoch [124/1800], loss:1.0606 Accuracy: 31409/50000
epoch [125/1800], loss:1.0600 Accuracy: 31410/50000
epoch [126/1800], loss:1.0592 Accuracy: 31514/50000
epoch [127/1800], loss:1.0569 Accuracy: 31500/50000
epoch [128/1800], loss:1.0554 Accuracy: 31555/50000
epoch [129/1800], loss:1.0536 Accuracy: 31569/50000
epoch [130/1800], loss:1.0524 Accuracy: 31611/50000
epoch [131/1800], loss:1.0497 Accuracy: 31655/50000
epoch [132/1800], loss:1.0493 Accuracy: 31645/50000
epoch [133/1800], loss:1.0471 Accuracy: 31674/50000
epoch [134/1800], loss:1.0459 Accuracy: 31701/50000
epoch [135/1800], loss:1.0450 Accuracy: 31677/50000
epoch [136/1800], loss:1.0439 Accuracy: 31737/50000
epoch [137/1800], loss:1.0420 Accuracy: 31778/50000
epoch [138/1800], loss:1.0390 Accuracy: 31835/50000
epoch [139/1800], loss:1.0390 Accuracy: 31835/50000
epoch [140/1800], loss:1.0382 Accuracy: 31808/50000
epoch [141/1800], loss:1.0359 Accuracy: 31882/50000
epoch [142/1800], loss:1.0341 Accuracy: 31878/50000
epoch [143/1800], loss:1.0334 Accuracy: 31992/50000
epoch [144/1800], loss:1.0319 Accuracy: 31992/50000
epoch [145/1800], loss:1.0308 Accuracy: 31992/50000
epoch [146/1800], loss:1.0285 Accuracy: 32076/50000
epoch [147/1800], loss:1.0276 Accuracy: 31974/50000
epoch [148/1800], loss:1.0272 Accuracy: 31997/50000
epoch [149/1800], loss:1.0246 Accuracy: 32159/50000
epoch [150/1800], loss:1.0236 Accuracy: 32203/50000
epoch [151/1800], loss:1.0226 Accuracy: 32076/50000
epoch [152/1800], loss:1.0211 Accuracy: 32139/50000
epoch [153/1800], loss:1.0196 Accuracy: 32178/50000
epoch [154/1800], loss:1.0185 Accuracy: 32171/50000
epoch [155/1800], loss:1.0179 Accuracy: 32249/50000
epoch [156/1800], loss:1.0155 Accuracy: 32261/50000
epoch [157/1800], loss:1.0143 Accuracy: 32230/50000
epoch [158/1800], loss:1.0129 Accuracy: 32358/50000
epoch [159/1800], loss:1.0125 Accuracy: 32360/50000
epoch [160/1800], loss:1.0113 Accuracy: 32404/50000
epoch [161/1800], loss:1.0106 Accuracy: 32322/50000
epoch [162/1800], loss:1.0084 Accuracy: 32330/50000
epoch [163/1800], loss:1.0070 Accuracy: 32469/50000
epoch [164/1800], loss:1.0066 Accuracy: 32406/50000
epoch [165/1800], loss:1.0049 Accuracy: 32436/50000
epoch [166/1800], loss:1.0046 Accuracy: 32490/50000
epoch [167/1800], loss:1.0029 Accuracy: 32538/50000
epoch [168/1800], loss:1.0024 Accuracy: 32517/50000
epoch [169/1800], loss:1.0018 Accuracy: 32544/50000
epoch [170/1800], loss:0.9992 Accuracy: 32575/50000
epoch [171/1800], loss:0.9996 Accuracy: 32625/50000
epoch [172/1800], loss:0.9980 Accuracy: 32580/50000
epoch [173/1800], loss:0.9969 Accuracy: 32583/50000
epoch [174/1800], loss:0.9962 Accuracy: 32646/50000
epoch [175/1800], loss:0.9955 Accuracy: 32682/50000
epoch [176/1800], loss:0.9941 Accuracy: 32641/50000
epoch [177/1800], loss:0.9938 Accuracy: 32685/50000
epoch [178/1800], loss:0.9935 Accuracy: 32753/50000
epoch [179/1800], loss:0.9912 Accuracy: 32707/50000
epoch [180/1800], loss:0.9906 Accuracy: 32670/50000
epoch [181/1800], loss:0.9892 Accuracy: 32793/50000
epoch [182/1800], loss:0.9880 Accuracy: 32745/50000
epoch [183/1800], loss:0.9872 Accuracy: 32787/50000
