30
epoch [1/1800], loss:2.1529 Accuracy: 10616/50000
epoch [2/1800], loss:1.9342 Accuracy: 15267/50000
epoch [3/1800], loss:1.8537 Accuracy: 16693/50000
epoch [4/1800], loss:1.7804 Accuracy: 18025/50000
epoch [5/1800], loss:1.7149 Accuracy: 19273/50000
epoch [6/1800], loss:1.6557 Accuracy: 20244/50000
epoch [7/1800], loss:1.6098 Accuracy: 20967/50000
epoch [8/1800], loss:1.5768 Accuracy: 21415/50000
epoch [9/1800], loss:1.5531 Accuracy: 21833/50000
epoch [10/1800], loss:1.5324 Accuracy: 22207/50000
epoch [11/1800], loss:1.5148 Accuracy: 22549/50000
epoch [12/1800], loss:1.4982 Accuracy: 22934/50000
epoch [13/1800], loss:1.4839 Accuracy: 23235/50000
epoch [14/1800], loss:1.4701 Accuracy: 23448/50000
epoch [15/1800], loss:1.4583 Accuracy: 23644/50000
epoch [16/1800], loss:1.4472 Accuracy: 23905/50000
epoch [17/1800], loss:1.4368 Accuracy: 24068/50000
epoch [18/1800], loss:1.4265 Accuracy: 24317/50000
epoch [19/1800], loss:1.4173 Accuracy: 24482/50000
epoch [20/1800], loss:1.4089 Accuracy: 24642/50000
epoch [21/1800], loss:1.4008 Accuracy: 24779/50000
epoch [22/1800], loss:1.3929 Accuracy: 24930/50000
epoch [23/1800], loss:1.3846 Accuracy: 25096/50000
epoch [24/1800], loss:1.3778 Accuracy: 25151/50000
epoch [25/1800], loss:1.3698 Accuracy: 25282/50000
epoch [26/1800], loss:1.3634 Accuracy: 25428/50000
epoch [27/1800], loss:1.3577 Accuracy: 25499/50000
epoch [28/1800], loss:1.3502 Accuracy: 25623/50000
epoch [29/1800], loss:1.3444 Accuracy: 25863/50000
epoch [30/1800], loss:1.3375 Accuracy: 25919/50000
epoch [31/1800], loss:1.3321 Accuracy: 26009/50000
epoch [32/1800], loss:1.3266 Accuracy: 26093/50000
epoch [33/1800], loss:1.3210 Accuracy: 26210/50000
epoch [34/1800], loss:1.3158 Accuracy: 26368/50000
epoch [35/1800], loss:1.3099 Accuracy: 26414/50000
epoch [36/1800], loss:1.3045 Accuracy: 26562/50000
epoch [37/1800], loss:1.3002 Accuracy: 26701/50000
epoch [38/1800], loss:1.2942 Accuracy: 26769/50000
epoch [39/1800], loss:1.2902 Accuracy: 26886/50000
epoch [40/1800], loss:1.2856 Accuracy: 26967/50000
epoch [41/1800], loss:1.2812 Accuracy: 27024/50000
epoch [42/1800], loss:1.2768 Accuracy: 27162/50000
epoch [43/1800], loss:1.2724 Accuracy: 27241/50000
epoch [44/1800], loss:1.2677 Accuracy: 27290/50000
epoch [45/1800], loss:1.2636 Accuracy: 27367/50000
epoch [46/1800], loss:1.2603 Accuracy: 27470/50000
epoch [47/1800], loss:1.2557 Accuracy: 27584/50000
epoch [48/1800], loss:1.2531 Accuracy: 27618/50000
epoch [49/1800], loss:1.2486 Accuracy: 27713/50000
epoch [50/1800], loss:1.2451 Accuracy: 27743/50000
epoch [51/1800], loss:1.2413 Accuracy: 27851/50000
epoch [52/1800], loss:1.2380 Accuracy: 27919/50000
epoch [53/1800], loss:1.2335 Accuracy: 28022/50000
epoch [54/1800], loss:1.2320 Accuracy: 28087/50000
epoch [55/1800], loss:1.2272 Accuracy: 28176/50000
epoch [56/1800], loss:1.2248 Accuracy: 28255/50000
epoch [57/1800], loss:1.2208 Accuracy: 28277/50000
epoch [58/1800], loss:1.2177 Accuracy: 28354/50000
epoch [59/1800], loss:1.2150 Accuracy: 28482/50000
epoch [60/1800], loss:1.2116 Accuracy: 28460/50000
epoch [61/1800], loss:1.2090 Accuracy: 28512/50000
epoch [62/1800], loss:1.2056 Accuracy: 28591/50000
epoch [63/1800], loss:1.2027 Accuracy: 28642/50000
epoch [64/1800], loss:1.2003 Accuracy: 28768/50000
epoch [65/1800], loss:1.1975 Accuracy: 28759/50000
epoch [66/1800], loss:1.1950 Accuracy: 28822/50000
epoch [67/1800], loss:1.1921 Accuracy: 28872/50000
epoch [68/1800], loss:1.1886 Accuracy: 28909/50000
epoch [69/1800], loss:1.1869 Accuracy: 29033/50000
epoch [70/1800], loss:1.1843 Accuracy: 29044/50000
epoch [71/1800], loss:1.1827 Accuracy: 29124/50000
epoch [72/1800], loss:1.1787 Accuracy: 29160/50000
epoch [73/1800], loss:1.1775 Accuracy: 29214/50000
epoch [74/1800], loss:1.1749 Accuracy: 29248/50000
epoch [75/1800], loss:1.1729 Accuracy: 29335/50000
epoch [76/1800], loss:1.1694 Accuracy: 29403/50000
epoch [77/1800], loss:1.1681 Accuracy: 29402/50000
epoch [78/1800], loss:1.1643 Accuracy: 29475/50000
epoch [79/1800], loss:1.1622 Accuracy: 29516/50000
epoch [80/1800], loss:1.1607 Accuracy: 29466/50000
epoch [81/1800], loss:1.1584 Accuracy: 29611/50000
epoch [82/1800], loss:1.1561 Accuracy: 29646/50000
epoch [83/1800], loss:1.1529 Accuracy: 29680/50000
epoch [84/1800], loss:1.1513 Accuracy: 29741/50000
epoch [85/1800], loss:1.1483 Accuracy: 29795/50000
epoch [86/1800], loss:1.1473 Accuracy: 29847/50000
epoch [87/1800], loss:1.1444 Accuracy: 29849/50000
epoch [88/1800], loss:1.1434 Accuracy: 29937/50000
epoch [89/1800], loss:1.1397 Accuracy: 29937/50000
epoch [90/1800], loss:1.1381 Accuracy: 29955/50000
epoch [91/1800], loss:1.1359 Accuracy: 29982/50000
epoch [92/1800], loss:1.1341 Accuracy: 30067/50000
epoch [93/1800], loss:1.1309 Accuracy: 30153/50000
epoch [94/1800], loss:1.1295 Accuracy: 30093/50000
epoch [95/1800], loss:1.1273 Accuracy: 30202/50000
epoch [96/1800], loss:1.1254 Accuracy: 30177/50000
epoch [97/1800], loss:1.1234 Accuracy: 30255/50000
epoch [98/1800], loss:1.1212 Accuracy: 30281/50000
epoch [99/1800], loss:1.1195 Accuracy: 30306/50000
epoch [100/1800], loss:1.1182 Accuracy: 30334/50000
epoch [101/1800], loss:1.1160 Accuracy: 30355/50000
epoch [102/1800], loss:1.1150 Accuracy: 30400/50000
epoch [103/1800], loss:1.1129 Accuracy: 30511/50000
epoch [104/1800], loss:1.1112 Accuracy: 30439/50000
epoch [105/1800], loss:1.1095 Accuracy: 30534/50000
epoch [106/1800], loss:1.1073 Accuracy: 30458/50000
epoch [107/1800], loss:1.1058 Accuracy: 30610/50000
epoch [108/1800], loss:1.1048 Accuracy: 30572/50000
epoch [109/1800], loss:1.1025 Accuracy: 30646/50000
epoch [110/1800], loss:1.1007 Accuracy: 30681/50000
epoch [111/1800], loss:1.0989 Accuracy: 30717/50000
epoch [112/1800], loss:1.0976 Accuracy: 30802/50000
epoch [113/1800], loss:1.0961 Accuracy: 30810/50000
epoch [114/1800], loss:1.0940 Accuracy: 30823/50000
epoch [115/1800], loss:1.0930 Accuracy: 30869/50000
epoch [116/1800], loss:1.0910 Accuracy: 30865/50000
epoch [117/1800], loss:1.0884 Accuracy: 30913/50000
epoch [118/1800], loss:1.0874 Accuracy: 30949/50000
epoch [119/1800], loss:1.0868 Accuracy: 30957/50000
epoch [120/1800], loss:1.0855 Accuracy: 30965/50000
epoch [121/1800], loss:1.0841 Accuracy: 31012/50000
epoch [122/1800], loss:1.0824 Accuracy: 31050/50000
epoch [123/1800], loss:1.0801 Accuracy: 31038/50000
epoch [124/1800], loss:1.0790 Accuracy: 31082/50000
epoch [125/1800], loss:1.0784 Accuracy: 31112/50000
epoch [126/1800], loss:1.0769 Accuracy: 31172/50000
epoch [127/1800], loss:1.0747 Accuracy: 31237/50000
epoch [128/1800], loss:1.0739 Accuracy: 31230/50000
epoch [129/1800], loss:1.0729 Accuracy: 31239/50000
epoch [130/1800], loss:1.0709 Accuracy: 31261/50000
epoch [131/1800], loss:1.0704 Accuracy: 31230/50000
epoch [132/1800], loss:1.0692 Accuracy: 31319/50000
epoch [133/1800], loss:1.0668 Accuracy: 31406/50000
epoch [134/1800], loss:1.0663 Accuracy: 31332/50000
epoch [135/1800], loss:1.0649 Accuracy: 31466/50000
epoch [136/1800], loss:1.0633 Accuracy: 31434/50000
epoch [137/1800], loss:1.0623 Accuracy: 31480/50000
epoch [138/1800], loss:1.0613 Accuracy: 31504/50000
epoch [139/1800], loss:1.0603 Accuracy: 31473/50000
epoch [140/1800], loss:1.0591 Accuracy: 31485/50000
epoch [141/1800], loss:1.0573 Accuracy: 31499/50000
epoch [142/1800], loss:1.0559 Accuracy: 31551/50000
epoch [143/1800], loss:1.0563 Accuracy: 31585/50000
epoch [144/1800], loss:1.0539 Accuracy: 31538/50000
epoch [145/1800], loss:1.0534 Accuracy: 31629/50000
epoch [146/1800], loss:1.0527 Accuracy: 31585/50000
epoch [147/1800], loss:1.0509 Accuracy: 31638/50000
epoch [148/1800], loss:1.0503 Accuracy: 31673/50000
epoch [149/1800], loss:1.0499 Accuracy: 31652/50000
epoch [150/1800], loss:1.0473 Accuracy: 31724/50000
epoch [151/1800], loss:1.0468 Accuracy: 31712/50000
epoch [152/1800], loss:1.0446 Accuracy: 31755/50000
epoch [153/1800], loss:1.0444 Accuracy: 31778/50000
epoch [154/1800], loss:1.0431 Accuracy: 31795/50000
epoch [155/1800], loss:1.0427 Accuracy: 31744/50000
epoch [156/1800], loss:1.0413 Accuracy: 31821/50000
epoch [157/1800], loss:1.0412 Accuracy: 31807/50000
epoch [158/1800], loss:1.0387 Accuracy: 31847/50000
epoch [159/1800], loss:1.0387 Accuracy: 31840/50000
epoch [160/1800], loss:1.0366 Accuracy: 31930/50000
epoch [161/1800], loss:1.0361 Accuracy: 31945/50000
epoch [162/1800], loss:1.0349 Accuracy: 31939/50000
epoch [163/1800], loss:1.0341 Accuracy: 31934/50000
epoch [164/1800], loss:1.0331 Accuracy: 31951/50000
epoch [165/1800], loss:1.0333 Accuracy: 31952/50000
epoch [166/1800], loss:1.0317 Accuracy: 31956/50000
epoch [167/1800], loss:1.0309 Accuracy: 32045/50000
epoch [168/1800], loss:1.0295 Accuracy: 32013/50000
epoch [169/1800], loss:1.0284 Accuracy: 32080/50000
epoch [170/1800], loss:1.0270 Accuracy: 32053/50000
epoch [171/1800], loss:1.0267 Accuracy: 32023/50000
epoch [172/1800], loss:1.0256 Accuracy: 32062/50000
epoch [173/1800], loss:1.0249 Accuracy: 32088/50000
epoch [174/1800], loss:1.0231 Accuracy: 32106/50000
epoch [175/1800], loss:1.0225 Accuracy: 32066/50000
epoch [176/1800], loss:1.0213 Accuracy: 32157/50000
epoch [177/1800], loss:1.0219 Accuracy: 32136/50000
epoch [178/1800], loss:1.0203 Accuracy: 32188/50000
epoch [179/1800], loss:1.0187 Accuracy: 32205/50000
epoch [180/1800], loss:1.0184 Accuracy: 32217/50000
epoch [181/1800], loss:1.0183 Accuracy: 32204/50000
epoch [182/1800], loss:1.0156 Accuracy: 32229/50000
epoch [183/1800], loss:1.0159 Accuracy: 32222/50000
epoch [184/1800], loss:1.0150 Accuracy: 32224/50000
epoch [185/1800], loss:1.0134 Accuracy: 32269/50000
epoch [186/1800], loss:1.0127 Accuracy: 32267/50000
epoch [187/1800], loss:1.0120 Accuracy: 32352/50000
epoch [188/1800], loss:1.0113 Accuracy: 32325/50000
epoch [189/1800], loss:1.0110 Accuracy: 32218/50000
epoch [190/1800], loss:1.0099 Accuracy: 32389/50000
epoch [191/1800], loss:1.0078 Accuracy: 32382/50000
epoch [192/1800], loss:1.0070 Accuracy: 32340/50000
epoch [193/1800], loss:1.0069 Accuracy: 32383/50000
epoch [194/1800], loss:1.0057 Accuracy: 32433/50000
epoch [195/1800], loss:1.0052 Accuracy: 32376/50000
epoch [196/1800], loss:1.0042 Accuracy: 32392/50000
epoch [197/1800], loss:1.0035 Accuracy: 32442/50000
epoch [198/1800], loss:1.0027 Accuracy: 32454/50000
epoch [199/1800], loss:1.0019 Accuracy: 32462/50000
epoch [200/1800], loss:1.0010 Accuracy: 32532/50000
epoch [201/1800], loss:1.0004 Accuracy: 32509/50000
epoch [202/1800], loss:0.9991 Accuracy: 32579/50000
epoch [203/1800], loss:0.9992 Accuracy: 32470/50000
epoch [204/1800], loss:0.9979 Accuracy: 32565/50000
epoch [205/1800], loss:0.9970 Accuracy: 32551/50000
