tensor(6449., device='cuda:0', dtype=torch.float64)
epoch [1/1000], loss:2.1769 Accuracy: 4976/50000
epoch [2/1000], loss:2.0962 Accuracy: 4715/50000
epoch [3/1000], loss:2.0657 Accuracy: 6043/50000
epoch [4/1000], loss:2.0458 Accuracy: 6458/50000
epoch [5/1000], loss:2.0259 Accuracy: 5903/50000
epoch [6/1000], loss:2.0140 Accuracy: 5734/50000
epoch [7/1000], loss:1.9965 Accuracy: 6071/50000
epoch [8/1000], loss:1.9817 Accuracy: 6125/50000
epoch [9/1000], loss:1.9775 Accuracy: 6379/50000
epoch [10/1000], loss:1.9643 Accuracy: 6337/50000
epoch [11/1000], loss:1.9598 Accuracy: 6865/50000
epoch [12/1000], loss:1.9583 Accuracy: 6901/50000
epoch [13/1000], loss:1.9376 Accuracy: 6963/50000
epoch [14/1000], loss:1.9342 Accuracy: 7293/50000
epoch [15/1000], loss:1.9266 Accuracy: 7071/50000
epoch [16/1000], loss:1.9155 Accuracy: 7588/50000
epoch [17/1000], loss:1.9130 Accuracy: 7620/50000
epoch [18/1000], loss:1.9058 Accuracy: 7449/50000
epoch [19/1000], loss:1.9011 Accuracy: 7179/50000
epoch [20/1000], loss:1.8921 Accuracy: 7681/50000
epoch [21/1000], loss:1.8853 Accuracy: 7430/50000
epoch [22/1000], loss:1.8810 Accuracy: 7880/50000
epoch [23/1000], loss:1.8689 Accuracy: 7443/50000
epoch [24/1000], loss:1.8592 Accuracy: 7894/50000
epoch [25/1000], loss:1.8564 Accuracy: 7864/50000
epoch [26/1000], loss:1.8504 Accuracy: 8225/50000
epoch [27/1000], loss:1.8468 Accuracy: 8183/50000
epoch [28/1000], loss:1.8331 Accuracy: 8249/50000
epoch [29/1000], loss:1.8261 Accuracy: 8214/50000
epoch [30/1000], loss:1.8242 Accuracy: 7842/50000
epoch [31/1000], loss:1.8178 Accuracy: 8152/50000
epoch [32/1000], loss:1.8099 Accuracy: 8360/50000
epoch [33/1000], loss:1.8049 Accuracy: 8303/50000
epoch [34/1000], loss:1.8108 Accuracy: 8505/50000
epoch [35/1000], loss:1.7931 Accuracy: 8271/50000
epoch [36/1000], loss:1.7947 Accuracy: 8265/50000
epoch [37/1000], loss:1.7830 Accuracy: 8597/50000
epoch [38/1000], loss:1.7769 Accuracy: 8629/50000
epoch [39/1000], loss:1.7678 Accuracy: 8561/50000
