tensor(50000., device='cuda:0', dtype=torch.float64)
epoch [1/1000], loss:4.0039 Accuracy: 11140/50000
epoch [2/1000], loss:2.9852 Accuracy: 13856/50000
epoch [3/1000], loss:2.5490 Accuracy: 14963/50000
epoch [4/1000], loss:2.2869 Accuracy: 15824/50000
epoch [5/1000], loss:2.0901 Accuracy: 16285/50000
epoch [6/1000], loss:1.9775 Accuracy: 17119/50000
epoch [7/1000], loss:1.8798 Accuracy: 17531/50000
epoch [8/1000], loss:1.7996 Accuracy: 18100/50000
epoch [9/1000], loss:1.7443 Accuracy: 18558/50000
epoch [10/1000], loss:1.7043 Accuracy: 19076/50000
epoch [11/1000], loss:1.6430 Accuracy: 19578/50000
epoch [12/1000], loss:1.6197 Accuracy: 20110/50000
epoch [13/1000], loss:1.5928 Accuracy: 20483/50000
epoch [14/1000], loss:1.5625 Accuracy: 20859/50000
epoch [15/1000], loss:1.5299 Accuracy: 21360/50000
epoch [16/1000], loss:1.5170 Accuracy: 21678/50000
epoch [17/1000], loss:1.5069 Accuracy: 22005/50000
epoch [18/1000], loss:1.4829 Accuracy: 22441/50000
epoch [19/1000], loss:1.4674 Accuracy: 22646/50000
epoch [20/1000], loss:1.4542 Accuracy: 22849/50000
epoch [21/1000], loss:1.4394 Accuracy: 23117/50000
epoch [22/1000], loss:1.4285 Accuracy: 23210/50000
epoch [23/1000], loss:1.4224 Accuracy: 23570/50000
epoch [24/1000], loss:1.4142 Accuracy: 23655/50000
epoch [25/1000], loss:1.4083 Accuracy: 23887/50000
epoch [26/1000], loss:1.3969 Accuracy: 24245/50000
epoch [27/1000], loss:1.3878 Accuracy: 24189/50000
epoch [28/1000], loss:1.3795 Accuracy: 24460/50000
epoch [29/1000], loss:1.3761 Accuracy: 24616/50000
epoch [30/1000], loss:1.3694 Accuracy: 24819/50000
epoch [31/1000], loss:1.3573 Accuracy: 24783/50000
epoch [32/1000], loss:1.3578 Accuracy: 25138/50000
epoch [33/1000], loss:1.3483 Accuracy: 24697/50000
epoch [34/1000], loss:1.3486 Accuracy: 25234/50000
