tensor(12378., dtype=torch.float64)
epoch [1/200], loss:2.0135 Accuracy: 37622/50000
Test set: Average loss: 0.9700, Accuracy: 6725/10000 (67%)

epoch [2/200], loss:1.9600 Accuracy: 37059/50000
epoch [3/200], loss:1.9313 Accuracy: 36671/50000
epoch [4/200], loss:1.9053 Accuracy: 36456/50000
epoch [5/200], loss:1.8920 Accuracy: 36223/50000
epoch [6/200], loss:1.8761 Accuracy: 35955/50000
epoch [7/200], loss:1.8643 Accuracy: 35953/50000
epoch [8/200], loss:1.8472 Accuracy: 35601/50000
epoch [9/200], loss:1.8431 Accuracy: 35559/50000
epoch [10/200], loss:1.8242 Accuracy: 35405/50000
epoch [11/200], loss:1.8290 Accuracy: 35109/50000
epoch [12/200], loss:1.8249 Accuracy: 35325/50000
epoch [13/200], loss:1.8164 Accuracy: 34930/50000
epoch [14/200], loss:1.8143 Accuracy: 34988/50000
epoch [15/200], loss:1.8131 Accuracy: 34660/50000
epoch [16/200], loss:1.8033 Accuracy: 34798/50000
epoch [17/200], loss:1.8053 Accuracy: 34574/50000
epoch [18/200], loss:1.7970 Accuracy: 34484/50000
epoch [19/200], loss:1.7921 Accuracy: 34564/50000
epoch [20/200], loss:1.7879 Accuracy: 34373/50000
epoch [21/200], loss:1.7827 Accuracy: 34352/50000
epoch [22/200], loss:1.7828 Accuracy: 34351/50000
epoch [23/200], loss:1.7789 Accuracy: 34181/50000
epoch [24/200], loss:1.7779 Accuracy: 33765/50000
epoch [25/200], loss:1.7728 Accuracy: 34195/50000
epoch [26/200], loss:1.7644 Accuracy: 34136/50000
epoch [27/200], loss:1.7806 Accuracy: 34077/50000
epoch [28/200], loss:1.7714 Accuracy: 34017/50000
epoch [29/200], loss:1.7692 Accuracy: 33908/50000
epoch [30/200], loss:1.7653 Accuracy: 33925/50000
epoch [31/200], loss:1.7680 Accuracy: 33708/50000
epoch [32/200], loss:1.7617 Accuracy: 33766/50000
epoch [33/200], loss:1.7596 Accuracy: 33660/50000
epoch [34/200], loss:1.7644 Accuracy: 33782/50000
epoch [35/200], loss:1.7616 Accuracy: 33560/50000
epoch [36/200], loss:1.7594 Accuracy: 33486/50000
epoch [37/200], loss:1.7571 Accuracy: 33545/50000
epoch [38/200], loss:1.7552 Accuracy: 33299/50000
epoch [39/200], loss:1.7543 Accuracy: 33687/50000
epoch [40/200], loss:1.7590 Accuracy: 33563/50000
epoch [41/200], loss:1.7526 Accuracy: 33512/50000
epoch [42/200], loss:1.7543 Accuracy: 33304/50000
epoch [43/200], loss:1.7480 Accuracy: 33335/50000
epoch [44/200], loss:1.7510 Accuracy: 33475/50000
epoch [45/200], loss:1.7451 Accuracy: 33474/50000
epoch [46/200], loss:1.7510 Accuracy: 33448/50000
epoch [47/200], loss:1.7401 Accuracy: 33564/50000
epoch [48/200], loss:1.7433 Accuracy: 33249/50000
epoch [49/200], loss:1.7475 Accuracy: 33340/50000
epoch [50/200], loss:1.7430 Accuracy: 33485/50000
epoch [51/200], loss:1.7444 Accuracy: 33350/50000
Test set: Average loss: 1.1114, Accuracy: 6201/10000 (62%)

epoch [52/200], loss:1.7463 Accuracy: 33256/50000
epoch [53/200], loss:1.7371 Accuracy: 33074/50000
epoch [54/200], loss:1.7467 Accuracy: 33354/50000
epoch [55/200], loss:1.7440 Accuracy: 32953/50000
epoch [56/200], loss:1.7376 Accuracy: 33291/50000
epoch [57/200], loss:1.7409 Accuracy: 32968/50000
epoch [58/200], loss:1.7413 Accuracy: 32862/50000
epoch [59/200], loss:1.7389 Accuracy: 32997/50000
epoch [60/200], loss:1.7373 Accuracy: 32979/50000
epoch [61/200], loss:1.7367 Accuracy: 33050/50000
epoch [62/200], loss:1.7313 Accuracy: 32952/50000
epoch [63/200], loss:1.7298 Accuracy: 32981/50000
epoch [64/200], loss:1.7392 Accuracy: 33367/50000
epoch [65/200], loss:1.7322 Accuracy: 33121/50000
epoch [66/200], loss:1.7289 Accuracy: 32906/50000
epoch [67/200], loss:1.7301 Accuracy: 33049/50000
epoch [68/200], loss:1.7267 Accuracy: 32978/50000
epoch [69/200], loss:1.7399 Accuracy: 33280/50000
epoch [70/200], loss:1.7327 Accuracy: 32900/50000
epoch [71/200], loss:1.7287 Accuracy: 32866/50000
epoch [72/200], loss:1.7276 Accuracy: 32830/50000
epoch [73/200], loss:1.7250 Accuracy: 32737/50000
epoch [74/200], loss:1.7254 Accuracy: 32771/50000
epoch [75/200], loss:1.7278 Accuracy: 32921/50000
epoch [76/200], loss:1.7281 Accuracy: 32958/50000
epoch [77/200], loss:1.7178 Accuracy: 32954/50000
epoch [78/200], loss:1.7232 Accuracy: 33138/50000
epoch [79/200], loss:1.7225 Accuracy: 32888/50000
epoch [80/200], loss:1.7286 Accuracy: 33000/50000
epoch [81/200], loss:1.7287 Accuracy: 32823/50000
epoch [82/200], loss:1.7162 Accuracy: 32893/50000
epoch [83/200], loss:1.7254 Accuracy: 32542/50000
epoch [84/200], loss:1.7179 Accuracy: 32739/50000
epoch [85/200], loss:1.7224 Accuracy: 32717/50000
epoch [86/200], loss:1.7234 Accuracy: 32708/50000
epoch [87/200], loss:1.7271 Accuracy: 32697/50000
epoch [88/200], loss:1.7247 Accuracy: 32618/50000
epoch [89/200], loss:1.7170 Accuracy: 32788/50000
epoch [90/200], loss:1.7184 Accuracy: 32691/50000
epoch [91/200], loss:1.7175 Accuracy: 32817/50000
epoch [92/200], loss:1.7241 Accuracy: 32741/50000
epoch [93/200], loss:1.7137 Accuracy: 32582/50000
epoch [94/200], loss:1.7177 Accuracy: 32746/50000
epoch [95/200], loss:1.7217 Accuracy: 32909/50000
epoch [96/200], loss:1.7183 Accuracy: 32591/50000
epoch [97/200], loss:1.7189 Accuracy: 32764/50000
epoch [98/200], loss:1.7179 Accuracy: 32738/50000
epoch [99/200], loss:1.7139 Accuracy: 32516/50000
epoch [100/200], loss:1.7194 Accuracy: 32643/50000
epoch [101/200], loss:1.7171 Accuracy: 32530/50000
Test set: Average loss: 1.1320, Accuracy: 6169/10000 (62%)

epoch [102/200], loss:1.7140 Accuracy: 32813/50000
epoch [103/200], loss:1.7140 Accuracy: 32854/50000
epoch [104/200], loss:1.7094 Accuracy: 32678/50000
epoch [105/200], loss:1.7110 Accuracy: 32756/50000
epoch [106/200], loss:1.7158 Accuracy: 32647/50000
epoch [107/200], loss:1.7088 Accuracy: 32444/50000
epoch [108/200], loss:1.7182 Accuracy: 32605/50000
epoch [109/200], loss:1.7085 Accuracy: 32721/50000
epoch [110/200], loss:1.7128 Accuracy: 32275/50000
epoch [111/200], loss:1.7162 Accuracy: 32512/50000
epoch [112/200], loss:1.7113 Accuracy: 32693/50000
epoch [113/200], loss:1.7078 Accuracy: 32682/50000
epoch [114/200], loss:1.7049 Accuracy: 32525/50000
epoch [115/200], loss:1.7115 Accuracy: 32465/50000
epoch [116/200], loss:1.7078 Accuracy: 32488/50000
epoch [117/200], loss:1.7138 Accuracy: 32230/50000
epoch [118/200], loss:1.7089 Accuracy: 32402/50000
epoch [119/200], loss:1.7109 Accuracy: 32659/50000
epoch [120/200], loss:1.7080 Accuracy: 32605/50000
epoch [121/200], loss:1.7126 Accuracy: 32461/50000
epoch [122/200], loss:1.7053 Accuracy: 32725/50000
epoch [123/200], loss:1.7129 Accuracy: 32555/50000
epoch [124/200], loss:1.7093 Accuracy: 32273/50000
epoch [125/200], loss:1.7118 Accuracy: 32295/50000
epoch [126/200], loss:1.7092 Accuracy: 32135/50000
epoch [127/200], loss:1.7068 Accuracy: 32320/50000
epoch [128/200], loss:1.7062 Accuracy: 32513/50000
epoch [129/200], loss:1.7063 Accuracy: 32491/50000
epoch [130/200], loss:1.7059 Accuracy: 32351/50000
epoch [131/200], loss:1.7106 Accuracy: 32357/50000
epoch [132/200], loss:1.7103 Accuracy: 32453/50000
epoch [133/200], loss:1.7060 Accuracy: 32398/50000
epoch [134/200], loss:1.7087 Accuracy: 32396/50000
epoch [135/200], loss:1.7028 Accuracy: 32301/50000
epoch [136/200], loss:1.7089 Accuracy: 32510/50000
epoch [137/200], loss:1.7009 Accuracy: 32223/50000
epoch [138/200], loss:1.7075 Accuracy: 32540/50000
epoch [139/200], loss:1.7132 Accuracy: 32463/50000
epoch [140/200], loss:1.7014 Accuracy: 32533/50000
epoch [141/200], loss:1.7043 Accuracy: 32501/50000
epoch [142/200], loss:1.7039 Accuracy: 32210/50000
epoch [143/200], loss:1.7069 Accuracy: 32392/50000
epoch [144/200], loss:1.7032 Accuracy: 32244/50000
epoch [145/200], loss:1.7010 Accuracy: 32361/50000
epoch [146/200], loss:1.7023 Accuracy: 32221/50000
epoch [147/200], loss:1.7020 Accuracy: 32439/50000
epoch [148/200], loss:1.7086 Accuracy: 32388/50000
epoch [149/200], loss:1.7019 Accuracy: 32314/50000
epoch [150/200], loss:1.7008 Accuracy: 32050/50000
epoch [151/200], loss:1.7031 Accuracy: 32169/50000
Test set: Average loss: 1.1513, Accuracy: 6073/10000 (61%)

epoch [152/200], loss:1.7035 Accuracy: 32320/50000
epoch [153/200], loss:1.7013 Accuracy: 32364/50000
epoch [154/200], loss:1.7030 Accuracy: 32081/50000
epoch [155/200], loss:1.6936 Accuracy: 31947/50000
epoch [156/200], loss:1.6969 Accuracy: 32293/50000
epoch [157/200], loss:1.6972 Accuracy: 32247/50000
epoch [158/200], loss:1.6987 Accuracy: 32241/50000
epoch [159/200], loss:1.7009 Accuracy: 32251/50000
epoch [160/200], loss:1.6982 Accuracy: 32076/50000
epoch [161/200], loss:1.6962 Accuracy: 32379/50000
