tensor(43988., dtype=torch.float64)
epoch [1/200], loss:0.6874 Accuracy: 37622/50000
epoch [2/200], loss:0.6767 Accuracy: 37514/50000
epoch [3/200], loss:0.6808 Accuracy: 37549/50000
epoch [4/200], loss:0.6747 Accuracy: 37563/50000
epoch [5/200], loss:0.6841 Accuracy: 37535/50000
epoch [6/200], loss:0.6731 Accuracy: 37609/50000
epoch [7/200], loss:0.6798 Accuracy: 37569/50000
epoch [8/200], loss:0.6682 Accuracy: 37560/50000
epoch [9/200], loss:0.6781 Accuracy: 37624/50000
epoch [10/200], loss:0.6721 Accuracy: 37501/50000
epoch [11/200], loss:0.6756 Accuracy: 37547/50000
epoch [12/200], loss:0.6798 Accuracy: 37480/50000
epoch [13/200], loss:0.6727 Accuracy: 37551/50000
epoch [14/200], loss:0.6640 Accuracy: 37577/50000
epoch [15/200], loss:0.6742 Accuracy: 37566/50000
epoch [16/200], loss:0.6790 Accuracy: 37583/50000
epoch [17/200], loss:0.6767 Accuracy: 37626/50000
epoch [18/200], loss:0.6711 Accuracy: 37339/50000
epoch [19/200], loss:0.6684 Accuracy: 37568/50000
epoch [20/200], loss:0.6791 Accuracy: 37556/50000
epoch [21/200], loss:0.6738 Accuracy: 37557/50000
epoch [22/200], loss:0.6753 Accuracy: 37502/50000
epoch [23/200], loss:0.6693 Accuracy: 37534/50000
epoch [24/200], loss:0.6707 Accuracy: 37533/50000
epoch [25/200], loss:0.6768 Accuracy: 37529/50000
epoch [26/200], loss:0.6741 Accuracy: 37600/50000
epoch [27/200], loss:0.6728 Accuracy: 37476/50000
epoch [28/200], loss:0.6772 Accuracy: 37527/50000
epoch [29/200], loss:0.6733 Accuracy: 37589/50000
epoch [30/200], loss:0.6724 Accuracy: 37554/50000
epoch [31/200], loss:0.6748 Accuracy: 37574/50000
epoch [32/200], loss:0.6767 Accuracy: 37539/50000
epoch [33/200], loss:0.6781 Accuracy: 37509/50000
epoch [34/200], loss:0.6803 Accuracy: 37558/50000
epoch [35/200], loss:0.6692 Accuracy: 37519/50000
epoch [36/200], loss:0.6765 Accuracy: 37556/50000
epoch [37/200], loss:0.6812 Accuracy: 37489/50000
epoch [38/200], loss:0.6696 Accuracy: 37483/50000
epoch [39/200], loss:0.6743 Accuracy: 37548/50000
epoch [40/200], loss:0.6765 Accuracy: 37544/50000
epoch [41/200], loss:0.6723 Accuracy: 37586/50000
epoch [42/200], loss:0.6725 Accuracy: 37509/50000
epoch [43/200], loss:0.6764 Accuracy: 37433/50000
epoch [44/200], loss:0.6691 Accuracy: 37460/50000
epoch [45/200], loss:0.6804 Accuracy: 37592/50000
epoch [46/200], loss:0.6744 Accuracy: 37488/50000
epoch [47/200], loss:0.6700 Accuracy: 37562/50000
epoch [48/200], loss:0.6703 Accuracy: 37469/50000
epoch [49/200], loss:0.6804 Accuracy: 37568/50000
epoch [50/200], loss:0.6731 Accuracy: 37561/50000
epoch [51/200], loss:0.6761 Accuracy: 37560/50000
epoch [52/200], loss:0.6660 Accuracy: 37540/50000
epoch [53/200], loss:0.6744 Accuracy: 37559/50000
epoch [54/200], loss:0.6718 Accuracy: 37479/50000
epoch [55/200], loss:0.6759 Accuracy: 37512/50000
epoch [56/200], loss:0.6747 Accuracy: 37570/50000
epoch [57/200], loss:0.6688 Accuracy: 37532/50000
epoch [58/200], loss:0.6778 Accuracy: 37439/50000
epoch [59/200], loss:0.6847 Accuracy: 37458/50000
epoch [60/200], loss:0.6772 Accuracy: 37466/50000
epoch [61/200], loss:0.6693 Accuracy: 37511/50000
epoch [62/200], loss:0.6787 Accuracy: 37503/50000
epoch [63/200], loss:0.6741 Accuracy: 37546/50000
epoch [64/200], loss:0.6762 Accuracy: 37544/50000
epoch [65/200], loss:0.6768 Accuracy: 37540/50000
epoch [66/200], loss:0.6722 Accuracy: 37464/50000
epoch [67/200], loss:0.6695 Accuracy: 37583/50000
epoch [68/200], loss:0.6753 Accuracy: 37519/50000
epoch [69/200], loss:0.6737 Accuracy: 37387/50000
epoch [70/200], loss:0.6749 Accuracy: 37520/50000
epoch [71/200], loss:0.6792 Accuracy: 37507/50000
epoch [72/200], loss:0.6755 Accuracy: 37521/50000
epoch [73/200], loss:0.6702 Accuracy: 37513/50000
epoch [74/200], loss:0.6724 Accuracy: 37487/50000
epoch [75/200], loss:0.6704 Accuracy: 37462/50000
epoch [76/200], loss:0.6808 Accuracy: 37493/50000
