tensor(49273.5000, dtype=torch.float64)
epoch [1/200], loss:0.8266 Accuracy: 37622/50000
epoch [2/200], loss:0.8267 Accuracy: 37536/50000
epoch [3/200], loss:0.8288 Accuracy: 37496/50000
epoch [4/200], loss:0.8223 Accuracy: 37482/50000
epoch [5/200], loss:0.8178 Accuracy: 37456/50000
epoch [6/200], loss:0.8255 Accuracy: 37525/50000
epoch [7/200], loss:0.8232 Accuracy: 37574/50000
epoch [8/200], loss:0.8228 Accuracy: 37568/50000
epoch [9/200], loss:0.8237 Accuracy: 37568/50000
epoch [10/200], loss:0.8299 Accuracy: 37532/50000
epoch [11/200], loss:0.8266 Accuracy: 37540/50000
epoch [12/200], loss:0.8262 Accuracy: 37454/50000
epoch [13/200], loss:0.8314 Accuracy: 37492/50000
epoch [14/200], loss:0.8284 Accuracy: 37501/50000
epoch [15/200], loss:0.8180 Accuracy: 37519/50000
epoch [16/200], loss:0.8256 Accuracy: 37471/50000
epoch [17/200], loss:0.8277 Accuracy: 37508/50000
epoch [18/200], loss:0.8248 Accuracy: 37493/50000
epoch [19/200], loss:0.8210 Accuracy: 37472/50000
epoch [20/200], loss:0.8100 Accuracy: 37503/50000
epoch [21/200], loss:0.8203 Accuracy: 37428/50000
epoch [22/200], loss:0.8277 Accuracy: 37502/50000
epoch [23/200], loss:0.8306 Accuracy: 37461/50000
epoch [24/200], loss:0.8236 Accuracy: 37437/50000
epoch [25/200], loss:0.8107 Accuracy: 37449/50000
epoch [26/200], loss:0.8256 Accuracy: 37459/50000
epoch [27/200], loss:0.8345 Accuracy: 37472/50000
epoch [28/200], loss:0.8153 Accuracy: 37479/50000
epoch [29/200], loss:0.8247 Accuracy: 37457/50000
epoch [30/200], loss:0.8115 Accuracy: 37256/50000
epoch [31/200], loss:0.8195 Accuracy: 37306/50000
epoch [32/200], loss:0.8288 Accuracy: 37463/50000
epoch [33/200], loss:0.8187 Accuracy: 37465/50000
epoch [34/200], loss:0.8285 Accuracy: 37311/50000
epoch [35/200], loss:0.8110 Accuracy: 37434/50000
epoch [36/200], loss:0.8169 Accuracy: 37471/50000
epoch [37/200], loss:0.8193 Accuracy: 37438/50000
epoch [38/200], loss:0.8260 Accuracy: 37436/50000
epoch [39/200], loss:0.8101 Accuracy: 37395/50000
epoch [40/200], loss:0.8196 Accuracy: 37416/50000
epoch [41/200], loss:0.8211 Accuracy: 37336/50000
epoch [42/200], loss:0.8210 Accuracy: 37373/50000
epoch [43/200], loss:0.8142 Accuracy: 37438/50000
epoch [44/200], loss:0.8240 Accuracy: 37387/50000
epoch [45/200], loss:0.8182 Accuracy: 37431/50000
epoch [46/200], loss:0.8198 Accuracy: 37399/50000
epoch [47/200], loss:0.8154 Accuracy: 37493/50000
epoch [48/200], loss:0.8219 Accuracy: 37480/50000
epoch [49/200], loss:0.8184 Accuracy: 37332/50000
epoch [50/200], loss:0.8216 Accuracy: 37449/50000
epoch [51/200], loss:0.8294 Accuracy: 37462/50000
epoch [52/200], loss:0.8261 Accuracy: 37469/50000
epoch [53/200], loss:0.8232 Accuracy: 37385/50000
epoch [54/200], loss:0.8144 Accuracy: 37343/50000
epoch [55/200], loss:0.8241 Accuracy: 37416/50000
epoch [56/200], loss:0.8242 Accuracy: 37433/50000
epoch [57/200], loss:0.8217 Accuracy: 37464/50000
epoch [58/200], loss:0.8112 Accuracy: 37368/50000
epoch [59/200], loss:0.8145 Accuracy: 37340/50000
epoch [60/200], loss:0.8227 Accuracy: 37443/50000
epoch [61/200], loss:0.8286 Accuracy: 37414/50000
epoch [62/200], loss:0.8160 Accuracy: 37459/50000
epoch [63/200], loss:0.8262 Accuracy: 37368/50000
epoch [64/200], loss:0.8280 Accuracy: 37459/50000
epoch [65/200], loss:0.8140 Accuracy: 37391/50000
epoch [66/200], loss:0.8155 Accuracy: 37443/50000
epoch [67/200], loss:0.8192 Accuracy: 37477/50000
epoch [68/200], loss:0.8226 Accuracy: 37367/50000
epoch [69/200], loss:0.8215 Accuracy: 37444/50000
epoch [70/200], loss:0.8251 Accuracy: 37316/50000
epoch [71/200], loss:0.8199 Accuracy: 37375/50000
epoch [72/200], loss:0.8204 Accuracy: 37335/50000
epoch [73/200], loss:0.8161 Accuracy: 37330/50000
epoch [74/200], loss:0.8170 Accuracy: 37477/50000
epoch [75/200], loss:0.8101 Accuracy: 37441/50000
epoch [76/200], loss:0.8227 Accuracy: 37370/50000
epoch [77/200], loss:0.8163 Accuracy: 37463/50000
epoch [78/200], loss:0.8136 Accuracy: 37390/50000
epoch [79/200], loss:0.8201 Accuracy: 37423/50000
epoch [80/200], loss:0.8298 Accuracy: 37401/50000
epoch [81/200], loss:0.8245 Accuracy: 37425/50000
epoch [82/200], loss:0.8174 Accuracy: 37373/50000
epoch [83/200], loss:0.8090 Accuracy: 37442/50000
epoch [84/200], loss:0.8292 Accuracy: 37371/50000
epoch [85/200], loss:0.8215 Accuracy: 37208/50000
epoch [86/200], loss:0.8182 Accuracy: 37421/50000
epoch [87/200], loss:0.8295 Accuracy: 37357/50000
epoch [88/200], loss:0.8301 Accuracy: 37400/50000
epoch [89/200], loss:0.8250 Accuracy: 37417/50000
epoch [90/200], loss:0.8188 Accuracy: 37443/50000
epoch [91/200], loss:0.8240 Accuracy: 37366/50000
epoch [92/200], loss:0.8192 Accuracy: 37324/50000
epoch [93/200], loss:0.8256 Accuracy: 37354/50000
epoch [94/200], loss:0.8192 Accuracy: 37450/50000
epoch [95/200], loss:0.8256 Accuracy: 37275/50000
epoch [96/200], loss:0.8201 Accuracy: 37296/50000
epoch [97/200], loss:0.8204 Accuracy: 37437/50000
epoch [98/200], loss:0.8261 Accuracy: 37416/50000
epoch [99/200], loss:0.8207 Accuracy: 37397/50000
epoch [100/200], loss:0.8242 Accuracy: 37335/50000
