tensor(2447., dtype=torch.float64)
epoch [50/2000], loss:0.3701 Accuracy: 6678/50000
epoch [100/2000], loss:0.0028 Accuracy: 7003/50000
epoch [150/2000], loss:0.0003 Accuracy: 7022/50000
epoch [200/2000], loss:0.0001 Accuracy: 7020/50000
epoch [250/2000], loss:0.0657 Accuracy: 7037/50000
epoch [300/2000], loss:0.0002 Accuracy: 7031/50000
epoch [350/2000], loss:0.0002 Accuracy: 7053/50000
epoch [400/2000], loss:0.0007 Accuracy: 6918/50000
epoch [450/2000], loss:0.0751 Accuracy: 7042/50000
epoch [500/2000], loss:0.0010 Accuracy: 6991/50000
epoch [550/2000], loss:0.0000 Accuracy: 7080/50000
epoch [600/2000], loss:0.0000 Accuracy: 7085/50000
epoch [650/2000], loss:0.0000 Accuracy: 7090/50000
epoch [700/2000], loss:0.0000 Accuracy: 7104/50000
epoch [750/2000], loss:0.0000 Accuracy: 7085/50000
epoch [800/2000], loss:0.0000 Accuracy: 7079/50000
epoch [850/2000], loss:0.0001 Accuracy: 7087/50000
epoch [900/2000], loss:0.0001 Accuracy: 7085/50000
epoch [950/2000], loss:0.0001 Accuracy: 7032/50000
epoch [1000/2000], loss:0.0408 Accuracy: 7078/50000
epoch [1050/2000], loss:0.0000 Accuracy: 7064/50000
epoch [1100/2000], loss:0.0000 Accuracy: 7089/50000
epoch [1150/2000], loss:0.0000 Accuracy: 7076/50000
epoch [1200/2000], loss:0.0001 Accuracy: 7047/50000
epoch [1250/2000], loss:0.0001 Accuracy: 7113/50000
epoch [1300/2000], loss:0.0000 Accuracy: 7069/50000
epoch [1350/2000], loss:0.0000 Accuracy: 7099/50000
epoch [1400/2000], loss:0.0000 Accuracy: 7065/50000
epoch [1450/2000], loss:0.0001 Accuracy: 7104/50000
epoch [1500/2000], loss:0.0000 Accuracy: 7068/50000
epoch [1550/2000], loss:0.0000 Accuracy: 7064/50000
epoch [1600/2000], loss:0.0000 Accuracy: 7056/50000
epoch [1650/2000], loss:0.0001 Accuracy: 7092/50000
epoch [1700/2000], loss:0.0001 Accuracy: 7017/50000
epoch [1750/2000], loss:0.0000 Accuracy: 7024/50000
epoch [1800/2000], loss:0.0000 Accuracy: 7039/50000
epoch [1850/2000], loss:0.0001 Accuracy: 7004/50000
epoch [1900/2000], loss:0.0001 Accuracy: 6977/50000
epoch [1950/2000], loss:0.0000 Accuracy: 7015/50000
epoch [2000/2000], loss:0.0000 Accuracy: 6981/50000
tensor(50000., dtype=torch.float64)
epoch [1/2000], loss:3.2568 Accuracy: 6984/50000
epoch [2/2000], loss:2.2763 Accuracy: 6418/50000
epoch [3/2000], loss:2.2382 Accuracy: 7230/50000
epoch [4/2000], loss:2.2106 Accuracy: 8118/50000
epoch [5/2000], loss:2.1835 Accuracy: 8447/50000
epoch [6/2000], loss:2.1566 Accuracy: 9137/50000
epoch [7/2000], loss:2.1050 Accuracy: 10466/50000
epoch [8/2000], loss:2.0590 Accuracy: 11347/50000
epoch [9/2000], loss:1.9996 Accuracy: 12519/50000
epoch [10/2000], loss:1.9623 Accuracy: 13071/50000
epoch [11/2000], loss:1.9241 Accuracy: 13788/50000
epoch [12/2000], loss:1.8889 Accuracy: 13930/50000
epoch [13/2000], loss:1.8699 Accuracy: 14273/50000
epoch [14/2000], loss:1.8292 Accuracy: 14896/50000
epoch [15/2000], loss:1.7910 Accuracy: 15499/50000
epoch [16/2000], loss:1.7745 Accuracy: 15703/50000
epoch [17/2000], loss:1.7412 Accuracy: 17165/50000
epoch [18/2000], loss:1.7241 Accuracy: 17599/50000
epoch [19/2000], loss:1.7068 Accuracy: 18117/50000
epoch [20/2000], loss:1.6765 Accuracy: 18515/50000
epoch [21/2000], loss:1.6600 Accuracy: 19136/50000
epoch [22/2000], loss:1.6377 Accuracy: 19377/50000
epoch [23/2000], loss:1.6087 Accuracy: 19661/50000
epoch [24/2000], loss:1.5835 Accuracy: 20645/50000
epoch [25/2000], loss:1.5530 Accuracy: 21293/50000
epoch [26/2000], loss:1.5291 Accuracy: 21556/50000
epoch [27/2000], loss:1.5136 Accuracy: 22210/50000
epoch [28/2000], loss:1.4879 Accuracy: 22365/50000
epoch [29/2000], loss:1.4748 Accuracy: 22573/50000
epoch [30/2000], loss:1.4499 Accuracy: 22952/50000
epoch [31/2000], loss:1.4350 Accuracy: 23264/50000
epoch [32/2000], loss:1.4214 Accuracy: 23513/50000
epoch [33/2000], loss:1.4009 Accuracy: 24015/50000
epoch [34/2000], loss:1.3812 Accuracy: 24303/50000
epoch [35/2000], loss:1.3732 Accuracy: 24683/50000
epoch [36/2000], loss:1.3490 Accuracy: 24822/50000
epoch [37/2000], loss:1.3518 Accuracy: 25202/50000
epoch [38/2000], loss:1.3339 Accuracy: 25499/50000
epoch [39/2000], loss:1.3223 Accuracy: 25797/50000
epoch [40/2000], loss:1.2955 Accuracy: 25904/50000
epoch [41/2000], loss:1.2978 Accuracy: 26197/50000
epoch [42/2000], loss:1.2907 Accuracy: 26440/50000
epoch [43/2000], loss:1.2755 Accuracy: 26765/50000
epoch [44/2000], loss:1.2598 Accuracy: 26939/50000
epoch [45/2000], loss:1.2524 Accuracy: 27160/50000
epoch [46/2000], loss:1.2490 Accuracy: 27375/50000
epoch [47/2000], loss:1.2349 Accuracy: 27492/50000
epoch [48/2000], loss:1.2247 Accuracy: 27530/50000
epoch [49/2000], loss:1.2210 Accuracy: 27823/50000
epoch [50/2000], loss:1.2151 Accuracy: 28030/50000
