tensor(6819., dtype=torch.float64)
epoch [50/2000], loss:1.7424 Accuracy: 9552/50000
epoch [100/2000], loss:1.5795 Accuracy: 9909/50000
epoch [150/2000], loss:1.4449 Accuracy: 10245/50000
epoch [200/2000], loss:1.3573 Accuracy: 10554/50000
epoch [250/2000], loss:1.2722 Accuracy: 10674/50000
epoch [300/2000], loss:1.2034 Accuracy: 10759/50000
epoch [350/2000], loss:1.1575 Accuracy: 11146/50000
epoch [400/2000], loss:1.1186 Accuracy: 10953/50000
epoch [450/2000], loss:1.0671 Accuracy: 11226/50000
epoch [500/2000], loss:1.0419 Accuracy: 11336/50000
epoch [550/2000], loss:1.0084 Accuracy: 11399/50000
epoch [600/2000], loss:0.9758 Accuracy: 11330/50000
epoch [650/2000], loss:0.9468 Accuracy: 11425/50000
epoch [700/2000], loss:0.9332 Accuracy: 11464/50000
epoch [750/2000], loss:0.9063 Accuracy: 11483/50000
epoch [800/2000], loss:0.8917 Accuracy: 11647/50000
epoch [850/2000], loss:0.8707 Accuracy: 11530/50000
epoch [900/2000], loss:0.8590 Accuracy: 11752/50000
epoch [950/2000], loss:0.8420 Accuracy: 11707/50000
epoch [1000/2000], loss:0.8196 Accuracy: 11704/50000
epoch [1050/2000], loss:0.8133 Accuracy: 11813/50000
epoch [1100/2000], loss:0.7984 Accuracy: 11858/50000
epoch [1150/2000], loss:0.7868 Accuracy: 11790/50000
epoch [1200/2000], loss:0.7711 Accuracy: 11839/50000
epoch [1250/2000], loss:0.7503 Accuracy: 11916/50000
epoch [1300/2000], loss:0.7300 Accuracy: 11987/50000
epoch [1350/2000], loss:0.7074 Accuracy: 11976/50000
epoch [1400/2000], loss:0.7046 Accuracy: 12100/50000
epoch [1450/2000], loss:0.6946 Accuracy: 12063/50000
epoch [1500/2000], loss:0.6982 Accuracy: 12086/50000
epoch [1550/2000], loss:0.6838 Accuracy: 12157/50000
epoch [1600/2000], loss:0.6682 Accuracy: 12145/50000
epoch [1650/2000], loss:0.6593 Accuracy: 12022/50000
epoch [1700/2000], loss:0.6527 Accuracy: 12097/50000
epoch [1750/2000], loss:0.6448 Accuracy: 12169/50000
epoch [1800/2000], loss:0.6313 Accuracy: 12166/50000
epoch [1850/2000], loss:0.6293 Accuracy: 12245/50000
epoch [1900/2000], loss:0.6176 Accuracy: 12363/50000
epoch [1950/2000], loss:0.6038 Accuracy: 12297/50000
epoch [2000/2000], loss:0.5934 Accuracy: 12301/50000
tensor(50000., dtype=torch.float64)
epoch [1/2000], loss:3.2198 Accuracy: 12280/50000
epoch [2/2000], loss:2.5646 Accuracy: 5586/50000
epoch [3/2000], loss:2.5154 Accuracy: 6152/50000
epoch [4/2000], loss:2.4120 Accuracy: 6560/50000
epoch [5/2000], loss:2.2996 Accuracy: 6883/50000
epoch [6/2000], loss:2.2133 Accuracy: 7761/50000
epoch [7/2000], loss:2.1350 Accuracy: 8472/50000
epoch [8/2000], loss:2.0810 Accuracy: 9287/50000
epoch [9/2000], loss:2.0214 Accuracy: 10336/50000
epoch [10/2000], loss:2.0122 Accuracy: 10710/50000
epoch [11/2000], loss:1.9501 Accuracy: 11147/50000
epoch [12/2000], loss:1.9342 Accuracy: 11808/50000
epoch [13/2000], loss:1.8977 Accuracy: 12184/50000
epoch [14/2000], loss:1.8802 Accuracy: 12529/50000
epoch [15/2000], loss:1.8649 Accuracy: 12818/50000
epoch [16/2000], loss:1.8509 Accuracy: 12908/50000
epoch [17/2000], loss:1.8298 Accuracy: 13319/50000
epoch [18/2000], loss:1.8193 Accuracy: 13406/50000
epoch [19/2000], loss:1.8078 Accuracy: 13804/50000
epoch [20/2000], loss:1.7917 Accuracy: 13699/50000
epoch [21/2000], loss:1.7769 Accuracy: 14317/50000
epoch [22/2000], loss:1.7693 Accuracy: 14225/50000
epoch [23/2000], loss:1.7543 Accuracy: 14812/50000
epoch [24/2000], loss:1.7485 Accuracy: 15092/50000
epoch [25/2000], loss:1.7393 Accuracy: 15067/50000
epoch [26/2000], loss:1.7328 Accuracy: 15219/50000
epoch [27/2000], loss:1.7163 Accuracy: 15357/50000
epoch [28/2000], loss:1.7150 Accuracy: 15749/50000
epoch [29/2000], loss:1.6977 Accuracy: 16016/50000
epoch [30/2000], loss:1.6867 Accuracy: 16503/50000
epoch [31/2000], loss:1.6725 Accuracy: 16724/50000
epoch [32/2000], loss:1.6762 Accuracy: 17014/50000
epoch [33/2000], loss:1.6659 Accuracy: 16647/50000
epoch [34/2000], loss:1.6622 Accuracy: 17049/50000
epoch [35/2000], loss:1.6580 Accuracy: 17223/50000
epoch [36/2000], loss:1.6362 Accuracy: 17275/50000
epoch [37/2000], loss:1.6383 Accuracy: 17381/50000
epoch [38/2000], loss:1.6344 Accuracy: 17402/50000
epoch [39/2000], loss:1.6250 Accuracy: 17510/50000
epoch [40/2000], loss:1.6245 Accuracy: 17446/50000
epoch [41/2000], loss:1.6209 Accuracy: 17943/50000
epoch [42/2000], loss:1.6116 Accuracy: 17963/50000
epoch [43/2000], loss:1.6074 Accuracy: 18222/50000
epoch [44/2000], loss:1.6013 Accuracy: 18195/50000
epoch [45/2000], loss:1.5978 Accuracy: 18421/50000
epoch [46/2000], loss:1.5999 Accuracy: 18435/50000
epoch [47/2000], loss:1.5842 Accuracy: 18287/50000
epoch [48/2000], loss:1.5854 Accuracy: 18698/50000
epoch [49/2000], loss:1.5781 Accuracy: 18753/50000
epoch [50/2000], loss:1.5784 Accuracy: 18943/50000
epoch [51/2000], loss:1.5640 Accuracy: 19061/50000
epoch [52/2000], loss:1.5665 Accuracy: 19098/50000
epoch [53/2000], loss:1.5751 Accuracy: 19267/50000
epoch [54/2000], loss:1.5543 Accuracy: 19272/50000
epoch [55/2000], loss:1.5460 Accuracy: 19383/50000
epoch [56/2000], loss:1.5460 Accuracy: 19422/50000
epoch [57/2000], loss:1.5389 Accuracy: 19565/50000
epoch [58/2000], loss:1.5390 Accuracy: 19803/50000
epoch [59/2000], loss:1.5348 Accuracy: 19952/50000
epoch [60/2000], loss:1.5270 Accuracy: 20083/50000
epoch [61/2000], loss:1.5234 Accuracy: 20063/50000
epoch [62/2000], loss:1.5163 Accuracy: 20458/50000
epoch [63/2000], loss:1.5030 Accuracy: 20611/50000
epoch [64/2000], loss:1.5015 Accuracy: 20710/50000
epoch [65/2000], loss:1.5007 Accuracy: 20755/50000
epoch [66/2000], loss:1.4918 Accuracy: 21115/50000
epoch [67/2000], loss:1.4862 Accuracy: 21387/50000
epoch [68/2000], loss:1.4706 Accuracy: 21441/50000
epoch [69/2000], loss:1.4660 Accuracy: 21578/50000
epoch [70/2000], loss:1.4560 Accuracy: 21848/50000
epoch [71/2000], loss:1.4511 Accuracy: 22161/50000
epoch [72/2000], loss:1.4520 Accuracy: 22253/50000
epoch [73/2000], loss:1.4297 Accuracy: 22593/50000
epoch [74/2000], loss:1.4265 Accuracy: 22649/50000
epoch [75/2000], loss:1.4154 Accuracy: 22912/50000
epoch [76/2000], loss:1.4070 Accuracy: 23260/50000
epoch [77/2000], loss:1.3966 Accuracy: 23275/50000
epoch [78/2000], loss:1.3958 Accuracy: 23362/50000
epoch [79/2000], loss:1.3859 Accuracy: 23793/50000
epoch [80/2000], loss:1.3858 Accuracy: 23864/50000
epoch [81/2000], loss:1.3835 Accuracy: 24036/50000
epoch [82/2000], loss:1.3667 Accuracy: 24106/50000
epoch [83/2000], loss:1.3655 Accuracy: 24194/50000
epoch [84/2000], loss:1.3608 Accuracy: 24412/50000
epoch [85/2000], loss:1.3541 Accuracy: 24376/50000
epoch [86/2000], loss:1.3470 Accuracy: 24513/50000
epoch [87/2000], loss:1.3468 Accuracy: 24689/50000
epoch [88/2000], loss:1.3350 Accuracy: 24779/50000
epoch [89/2000], loss:1.3328 Accuracy: 24811/50000
