tensor(12378., dtype=torch.float64)
epoch [1/200], loss:1.9465 Accuracy: 37622/50000
Test set: Average loss: 1.0238, Accuracy: 6475/10000 (65%)

epoch [2/200], loss:1.8531 Accuracy: 35881/50000
epoch [3/200], loss:1.8074 Accuracy: 35415/50000
epoch [4/200], loss:1.7737 Accuracy: 35136/50000
epoch [5/200], loss:1.7596 Accuracy: 34528/50000
epoch [6/200], loss:1.7359 Accuracy: 34126/50000
epoch [7/200], loss:1.7296 Accuracy: 34501/50000
epoch [8/200], loss:1.7123 Accuracy: 33359/50000
epoch [9/200], loss:1.7091 Accuracy: 33429/50000
epoch [10/200], loss:1.6936 Accuracy: 33353/50000
epoch [11/200], loss:1.6939 Accuracy: 32882/50000
epoch [12/200], loss:1.6920 Accuracy: 33020/50000
epoch [13/200], loss:1.6845 Accuracy: 32751/50000
epoch [14/200], loss:1.6822 Accuracy: 32694/50000
epoch [15/200], loss:1.6780 Accuracy: 32085/50000
epoch [16/200], loss:1.6720 Accuracy: 32157/50000
epoch [17/200], loss:1.6695 Accuracy: 32010/50000
epoch [18/200], loss:1.6621 Accuracy: 31291/50000
epoch [19/200], loss:1.6626 Accuracy: 31324/50000
epoch [20/200], loss:1.6553 Accuracy: 31461/50000
epoch [21/200], loss:1.6531 Accuracy: 31325/50000
epoch [22/200], loss:1.6489 Accuracy: 31642/50000
epoch [23/200], loss:1.6454 Accuracy: 31334/50000
epoch [24/200], loss:1.6463 Accuracy: 30828/50000
epoch [25/200], loss:1.6436 Accuracy: 31171/50000
epoch [26/200], loss:1.6341 Accuracy: 31239/50000
epoch [27/200], loss:1.6438 Accuracy: 30638/50000
epoch [28/200], loss:1.6368 Accuracy: 30644/50000
epoch [29/200], loss:1.6341 Accuracy: 30444/50000
epoch [30/200], loss:1.6321 Accuracy: 30670/50000
epoch [31/200], loss:1.6360 Accuracy: 30503/50000
epoch [32/200], loss:1.6286 Accuracy: 29921/50000
epoch [33/200], loss:1.6243 Accuracy: 30024/50000
epoch [34/200], loss:1.6299 Accuracy: 30619/50000
epoch [35/200], loss:1.6239 Accuracy: 30399/50000
epoch [36/200], loss:1.6214 Accuracy: 29863/50000
epoch [37/200], loss:1.6223 Accuracy: 30146/50000
epoch [38/200], loss:1.6177 Accuracy: 29438/50000
epoch [39/200], loss:1.6200 Accuracy: 30081/50000
epoch [40/200], loss:1.6165 Accuracy: 30268/50000
epoch [41/200], loss:1.6111 Accuracy: 29890/50000
epoch [42/200], loss:1.6121 Accuracy: 29259/50000
epoch [43/200], loss:1.6071 Accuracy: 29659/50000
epoch [44/200], loss:1.6082 Accuracy: 29331/50000
epoch [45/200], loss:1.6083 Accuracy: 29557/50000
epoch [46/200], loss:1.6087 Accuracy: 29247/50000
epoch [47/200], loss:1.6017 Accuracy: 29730/50000
epoch [48/200], loss:1.6006 Accuracy: 29806/50000
