tensor(12378., dtype=torch.float64)
epoch [1/200], loss:2.2958 Accuracy: 5985/50000
Test set: Average loss: 2.3104, Accuracy: 1000/10000 (10%)

epoch [2/200], loss:2.2843 Accuracy: 5002/50000
epoch [3/200], loss:2.2734 Accuracy: 5658/50000
epoch [4/200], loss:2.2675 Accuracy: 6359/50000
epoch [5/200], loss:2.2589 Accuracy: 6448/50000
epoch [6/200], loss:2.2505 Accuracy: 6404/50000
epoch [7/200], loss:2.2420 Accuracy: 6558/50000
epoch [8/200], loss:2.2335 Accuracy: 6627/50000
epoch [9/200], loss:2.2255 Accuracy: 6791/50000
epoch [10/200], loss:2.2188 Accuracy: 6770/50000
epoch [11/200], loss:2.2142 Accuracy: 6687/50000
epoch [12/200], loss:2.2108 Accuracy: 6992/50000
epoch [13/200], loss:2.2076 Accuracy: 7212/50000
epoch [14/200], loss:2.2025 Accuracy: 7180/50000
epoch [15/200], loss:2.1990 Accuracy: 7340/50000
epoch [16/200], loss:2.1961 Accuracy: 7255/50000
epoch [17/200], loss:2.1960 Accuracy: 7443/50000
epoch [18/200], loss:2.1864 Accuracy: 7814/50000
epoch [19/200], loss:2.1839 Accuracy: 7607/50000
epoch [20/200], loss:2.1810 Accuracy: 7872/50000
epoch [21/200], loss:2.1799 Accuracy: 8096/50000
epoch [22/200], loss:2.1743 Accuracy: 8105/50000
epoch [23/200], loss:2.1714 Accuracy: 8091/50000
epoch [24/200], loss:2.1736 Accuracy: 8266/50000
epoch [25/200], loss:2.1647 Accuracy: 8329/50000
epoch [26/200], loss:2.1628 Accuracy: 8504/50000
epoch [27/200], loss:2.1631 Accuracy: 8613/50000
epoch [28/200], loss:2.1605 Accuracy: 8862/50000
epoch [29/200], loss:2.1581 Accuracy: 8855/50000
epoch [30/200], loss:2.1531 Accuracy: 9007/50000
epoch [31/200], loss:2.1482 Accuracy: 8978/50000
epoch [32/200], loss:2.1449 Accuracy: 9151/50000
epoch [33/200], loss:2.1419 Accuracy: 9201/50000
epoch [34/200], loss:2.1417 Accuracy: 9513/50000
epoch [35/200], loss:2.1409 Accuracy: 9558/50000
epoch [36/200], loss:2.1351 Accuracy: 9410/50000
epoch [37/200], loss:2.1330 Accuracy: 9608/50000
epoch [38/200], loss:2.1329 Accuracy: 9757/50000
epoch [39/200], loss:2.1314 Accuracy: 9698/50000
epoch [40/200], loss:2.1262 Accuracy: 9816/50000
epoch [41/200], loss:2.1263 Accuracy: 9739/50000
epoch [42/200], loss:2.1316 Accuracy: 9834/50000
epoch [43/200], loss:2.1270 Accuracy: 9730/50000
epoch [44/200], loss:2.1250 Accuracy: 9931/50000
epoch [45/200], loss:2.1243 Accuracy: 10163/50000
epoch [46/200], loss:2.1145 Accuracy: 10002/50000
epoch [47/200], loss:2.1164 Accuracy: 10113/50000
epoch [48/200], loss:2.1202 Accuracy: 10260/50000
epoch [49/200], loss:2.1229 Accuracy: 10181/50000
epoch [50/200], loss:2.1172 Accuracy: 10235/50000
epoch [51/200], loss:2.1175 Accuracy: 10228/50000
Test set: Average loss: 2.2193, Accuracy: 2082/10000 (21%)

epoch [52/200], loss:2.1128 Accuracy: 10214/50000
epoch [53/200], loss:2.1091 Accuracy: 10177/50000
epoch [54/200], loss:2.1125 Accuracy: 10229/50000
epoch [55/200], loss:2.1103 Accuracy: 10324/50000
