tensor(43988., dtype=torch.float64)
epoch [1/200], loss:0.6894 Accuracy: 37622/50000
epoch [2/200], loss:0.6798 Accuracy: 37072/50000
epoch [3/200], loss:0.6824 Accuracy: 37361/50000
epoch [4/200], loss:0.6759 Accuracy: 37402/50000
epoch [5/200], loss:0.6850 Accuracy: 37331/50000
epoch [6/200], loss:0.6744 Accuracy: 37429/50000
epoch [7/200], loss:0.6806 Accuracy: 37327/50000
epoch [8/200], loss:0.6695 Accuracy: 37319/50000
epoch [9/200], loss:0.6779 Accuracy: 37424/50000
epoch [10/200], loss:0.6722 Accuracy: 37414/50000
epoch [11/200], loss:0.6758 Accuracy: 37329/50000
epoch [12/200], loss:0.6806 Accuracy: 37298/50000
epoch [13/200], loss:0.6729 Accuracy: 37401/50000
epoch [14/200], loss:0.6638 Accuracy: 37418/50000
epoch [15/200], loss:0.6741 Accuracy: 37316/50000
epoch [16/200], loss:0.6786 Accuracy: 37338/50000
epoch [17/200], loss:0.6765 Accuracy: 37438/50000
epoch [18/200], loss:0.6705 Accuracy: 37197/50000
epoch [19/200], loss:0.6691 Accuracy: 37299/50000
epoch [20/200], loss:0.6788 Accuracy: 37405/50000
epoch [21/200], loss:0.6727 Accuracy: 37300/50000
epoch [22/200], loss:0.6740 Accuracy: 37365/50000
epoch [23/200], loss:0.6679 Accuracy: 37378/50000
epoch [24/200], loss:0.6691 Accuracy: 37300/50000
epoch [25/200], loss:0.6767 Accuracy: 37169/50000
epoch [26/200], loss:0.6735 Accuracy: 37439/50000
epoch [27/200], loss:0.6717 Accuracy: 37323/50000
epoch [28/200], loss:0.6767 Accuracy: 37219/50000
epoch [29/200], loss:0.6734 Accuracy: 37346/50000
epoch [30/200], loss:0.6712 Accuracy: 37357/50000
epoch [31/200], loss:0.6734 Accuracy: 37270/50000
epoch [32/200], loss:0.6754 Accuracy: 37203/50000
epoch [33/200], loss:0.6775 Accuracy: 37339/50000
epoch [34/200], loss:0.6792 Accuracy: 37336/50000
epoch [35/200], loss:0.6676 Accuracy: 37331/50000
epoch [36/200], loss:0.6744 Accuracy: 37290/50000
epoch [37/200], loss:0.6812 Accuracy: 37232/50000
epoch [38/200], loss:0.6680 Accuracy: 37338/50000
epoch [39/200], loss:0.6729 Accuracy: 37269/50000
epoch [40/200], loss:0.6765 Accuracy: 37369/50000
epoch [41/200], loss:0.6708 Accuracy: 37302/50000
epoch [42/200], loss:0.6710 Accuracy: 37318/50000
epoch [43/200], loss:0.6751 Accuracy: 37123/50000
