tensor(43988., dtype=torch.float64)
epoch [1/200], loss:2.1244 Accuracy: 5985/50000
epoch [2/200], loss:1.8377 Accuracy: 15386/50000
epoch [3/200], loss:1.7268 Accuracy: 17574/50000
epoch [4/200], loss:1.6458 Accuracy: 19015/50000
epoch [5/200], loss:1.5964 Accuracy: 20020/50000
epoch [6/200], loss:1.5608 Accuracy: 20565/50000
epoch [7/200], loss:1.5474 Accuracy: 20990/50000
epoch [8/200], loss:1.4993 Accuracy: 21563/50000
epoch [9/200], loss:1.4913 Accuracy: 21995/50000
epoch [10/200], loss:1.4810 Accuracy: 22132/50000
epoch [11/200], loss:1.4629 Accuracy: 22401/50000
epoch [12/200], loss:1.4450 Accuracy: 22680/50000
epoch [13/200], loss:1.4280 Accuracy: 23170/50000
epoch [14/200], loss:1.4111 Accuracy: 23185/50000
epoch [15/200], loss:1.4092 Accuracy: 23588/50000
epoch [16/200], loss:1.3947 Accuracy: 23842/50000
epoch [17/200], loss:1.3986 Accuracy: 23919/50000
epoch [18/200], loss:1.3778 Accuracy: 24065/50000
epoch [19/200], loss:1.3590 Accuracy: 24251/50000
epoch [20/200], loss:1.3585 Accuracy: 24678/50000
epoch [21/200], loss:1.3569 Accuracy: 24621/50000
epoch [22/200], loss:1.3434 Accuracy: 24714/50000
epoch [23/200], loss:1.3325 Accuracy: 25034/50000
epoch [24/200], loss:1.3258 Accuracy: 25171/50000
epoch [25/200], loss:1.3178 Accuracy: 25171/50000
epoch [26/200], loss:1.3184 Accuracy: 25400/50000
epoch [27/200], loss:1.3048 Accuracy: 25627/50000
epoch [28/200], loss:1.3030 Accuracy: 25626/50000
epoch [29/200], loss:1.2840 Accuracy: 25772/50000
epoch [30/200], loss:1.2906 Accuracy: 26002/50000
epoch [31/200], loss:1.2779 Accuracy: 25975/50000
epoch [32/200], loss:1.2690 Accuracy: 26199/50000
epoch [33/200], loss:1.2769 Accuracy: 26373/50000
epoch [34/200], loss:1.2669 Accuracy: 26423/50000
epoch [35/200], loss:1.2509 Accuracy: 26545/50000
epoch [36/200], loss:1.2503 Accuracy: 26769/50000
epoch [37/200], loss:1.2432 Accuracy: 26758/50000
epoch [38/200], loss:1.2381 Accuracy: 26834/50000
epoch [39/200], loss:1.2424 Accuracy: 26936/50000
epoch [40/200], loss:1.2266 Accuracy: 26956/50000
epoch [41/200], loss:1.2182 Accuracy: 27257/50000
epoch [42/200], loss:1.2109 Accuracy: 27310/50000
epoch [43/200], loss:1.2177 Accuracy: 27489/50000
epoch [44/200], loss:1.2017 Accuracy: 27425/50000
epoch [45/200], loss:1.2012 Accuracy: 27589/50000
epoch [46/200], loss:1.2002 Accuracy: 27619/50000
epoch [47/200], loss:1.1889 Accuracy: 27754/50000
epoch [48/200], loss:1.1849 Accuracy: 27875/50000
epoch [49/200], loss:1.1849 Accuracy: 28020/50000
epoch [50/200], loss:1.1825 Accuracy: 28025/50000
epoch [51/200], loss:1.1780 Accuracy: 27977/50000
epoch [52/200], loss:1.1697 Accuracy: 28120/50000
epoch [53/200], loss:1.1676 Accuracy: 28252/50000
epoch [54/200], loss:1.1644 Accuracy: 28245/50000
epoch [55/200], loss:1.1664 Accuracy: 28386/50000
epoch [56/200], loss:1.1533 Accuracy: 28435/50000
epoch [57/200], loss:1.1577 Accuracy: 28456/50000
epoch [58/200], loss:1.1463 Accuracy: 28414/50000
epoch [59/200], loss:1.1617 Accuracy: 28645/50000
epoch [60/200], loss:1.1457 Accuracy: 28654/50000
epoch [61/200], loss:1.1351 Accuracy: 28741/50000
epoch [62/200], loss:1.1436 Accuracy: 28926/50000
epoch [63/200], loss:1.1271 Accuracy: 28772/50000
epoch [64/200], loss:1.1340 Accuracy: 28792/50000
epoch [65/200], loss:1.1245 Accuracy: 28870/50000
epoch [66/200], loss:1.1204 Accuracy: 28857/50000
epoch [67/200], loss:1.1187 Accuracy: 29194/50000
epoch [68/200], loss:1.1166 Accuracy: 29267/50000
