tensor(17108., device='cuda:0', dtype=torch.float64)
epoch [1/200], loss:0.7518 Accuracy: 37619/50000
epoch [2/200], loss:0.7443 Accuracy: 36992/50000
epoch [3/200], loss:0.7306 Accuracy: 37038/50000
epoch [4/200], loss:0.7367 Accuracy: 36944/50000
epoch [5/200], loss:0.7251 Accuracy: 36751/50000
epoch [6/200], loss:0.7298 Accuracy: 36766/50000
epoch [7/200], loss:0.7151 Accuracy: 36577/50000
epoch [8/200], loss:0.7202 Accuracy: 36595/50000
epoch [9/200], loss:0.7126 Accuracy: 36691/50000
epoch [10/200], loss:0.7230 Accuracy: 36561/50000
epoch [11/200], loss:0.7148 Accuracy: 36429/50000
epoch [12/200], loss:0.7144 Accuracy: 36602/50000
epoch [13/200], loss:0.7066 Accuracy: 36377/50000
epoch [14/200], loss:0.7017 Accuracy: 36492/50000
epoch [15/200], loss:0.6988 Accuracy: 36571/50000
epoch [16/200], loss:0.7035 Accuracy: 36289/50000
epoch [17/200], loss:0.6936 Accuracy: 36410/50000
epoch [18/200], loss:0.7052 Accuracy: 36265/50000
epoch [19/200], loss:0.6979 Accuracy: 36065/50000
epoch [20/200], loss:0.7045 Accuracy: 36222/50000
epoch [21/200], loss:0.7012 Accuracy: 36365/50000
epoch [22/200], loss:0.6925 Accuracy: 35926/50000
epoch [23/200], loss:0.6922 Accuracy: 36135/50000
epoch [24/200], loss:0.6907 Accuracy: 35895/50000
epoch [25/200], loss:0.7045 Accuracy: 36036/50000
epoch [26/200], loss:0.6910 Accuracy: 36003/50000
epoch [27/200], loss:0.6922 Accuracy: 36003/50000
epoch [28/200], loss:0.6917 Accuracy: 35965/50000
epoch [29/200], loss:0.6963 Accuracy: 35996/50000
epoch [30/200], loss:0.6861 Accuracy: 36106/50000
epoch [31/200], loss:0.6807 Accuracy: 36082/50000
epoch [32/200], loss:0.6809 Accuracy: 35976/50000
epoch [33/200], loss:0.6809 Accuracy: 35696/50000
epoch [34/200], loss:0.6855 Accuracy: 36090/50000
epoch [35/200], loss:0.6826 Accuracy: 35750/50000
epoch [36/200], loss:0.6788 Accuracy: 35704/50000
epoch [37/200], loss:0.6793 Accuracy: 35931/50000
epoch [38/200], loss:0.6742 Accuracy: 35888/50000
epoch [39/200], loss:0.6759 Accuracy: 35828/50000
epoch [40/200], loss:0.6819 Accuracy: 35823/50000
epoch [41/200], loss:0.6716 Accuracy: 35476/50000
epoch [42/200], loss:0.6683 Accuracy: 35758/50000
epoch [43/200], loss:0.6729 Accuracy: 35781/50000
epoch [44/200], loss:0.6746 Accuracy: 35940/50000
epoch [45/200], loss:0.6748 Accuracy: 35513/50000
epoch [46/200], loss:0.6686 Accuracy: 35657/50000
epoch [47/200], loss:0.6728 Accuracy: 35897/50000
epoch [48/200], loss:0.6742 Accuracy: 35752/50000
epoch [49/200], loss:0.6719 Accuracy: 35565/50000
epoch [50/200], loss:0.6666 Accuracy: 35541/50000
epoch [51/200], loss:0.6750 Accuracy: 35603/50000
epoch [52/200], loss:0.6773 Accuracy: 35442/50000
epoch [53/200], loss:0.6643 Accuracy: 35570/50000
epoch [54/200], loss:0.6686 Accuracy: 35591/50000
epoch [55/200], loss:0.6654 Accuracy: 35662/50000
epoch [56/200], loss:0.6730 Accuracy: 35650/50000
epoch [57/200], loss:0.6657 Accuracy: 35586/50000
epoch [58/200], loss:0.6645 Accuracy: 35480/50000
epoch [59/200], loss:0.6619 Accuracy: 35594/50000
epoch [60/200], loss:0.6662 Accuracy: 35328/50000
epoch [61/200], loss:0.6672 Accuracy: 35540/50000
epoch [62/200], loss:0.6592 Accuracy: 35471/50000
epoch [63/200], loss:0.6555 Accuracy: 35447/50000
epoch [64/200], loss:0.6598 Accuracy: 35424/50000
epoch [65/200], loss:0.6575 Accuracy: 35418/50000
epoch [66/200], loss:0.6652 Accuracy: 35507/50000
epoch [67/200], loss:0.6598 Accuracy: 35443/50000
epoch [68/200], loss:0.6593 Accuracy: 35480/50000
epoch [69/200], loss:0.6593 Accuracy: 35527/50000
epoch [70/200], loss:0.6591 Accuracy: 35343/50000
epoch [71/200], loss:0.6562 Accuracy: 35253/50000
epoch [72/200], loss:0.6572 Accuracy: 35534/50000
epoch [73/200], loss:0.6539 Accuracy: 35369/50000
epoch [74/200], loss:0.6516 Accuracy: 35080/50000
epoch [75/200], loss:0.6496 Accuracy: 35373/50000
epoch [76/200], loss:0.6468 Accuracy: 35437/50000
epoch [77/200], loss:0.6513 Accuracy: 35343/50000
epoch [78/200], loss:0.6505 Accuracy: 35365/50000
epoch [79/200], loss:0.6472 Accuracy: 35414/50000
epoch [80/200], loss:0.6576 Accuracy: 35268/50000
epoch [81/200], loss:0.6479 Accuracy: 35291/50000
epoch [82/200], loss:0.6531 Accuracy: 35529/50000
epoch [83/200], loss:0.6510 Accuracy: 35303/50000
epoch [84/200], loss:0.6482 Accuracy: 35426/50000
epoch [85/200], loss:0.6537 Accuracy: 35250/50000
epoch [86/200], loss:0.6543 Accuracy: 35267/50000
epoch [87/200], loss:0.6512 Accuracy: 35274/50000
epoch [88/200], loss:0.6527 Accuracy: 35181/50000
epoch [89/200], loss:0.6470 Accuracy: 35344/50000
epoch [90/200], loss:0.6474 Accuracy: 35112/50000
epoch [91/200], loss:0.6446 Accuracy: 35283/50000
epoch [92/200], loss:0.6462 Accuracy: 35255/50000
epoch [93/200], loss:0.6451 Accuracy: 35200/50000
epoch [94/200], loss:0.6425 Accuracy: 35246/50000
epoch [95/200], loss:0.6418 Accuracy: 35292/50000
epoch [96/200], loss:0.6458 Accuracy: 35193/50000
epoch [97/200], loss:0.6469 Accuracy: 35232/50000
epoch [98/200], loss:0.6419 Accuracy: 35206/50000
epoch [99/200], loss:0.6485 Accuracy: 35222/50000
epoch [100/200], loss:0.6427 Accuracy: 35074/50000
epoch [101/200], loss:0.6367 Accuracy: 35128/50000
epoch [102/200], loss:0.6447 Accuracy: 35243/50000
epoch [103/200], loss:0.6430 Accuracy: 35120/50000
