tensor(26155., device='cuda:0', dtype=torch.float64)
epoch [1/2000], loss:0.6523 Accuracy: 37622/50000
epoch [2/2000], loss:0.6539 Accuracy: 37422/50000
epoch [3/2000], loss:0.6466 Accuracy: 37349/50000
epoch [4/2000], loss:0.6361 Accuracy: 37031/50000
epoch [5/2000], loss:0.6348 Accuracy: 37116/50000
epoch [6/2000], loss:0.6306 Accuracy: 37047/50000
epoch [7/2000], loss:0.6341 Accuracy: 36995/50000
epoch [8/2000], loss:0.6302 Accuracy: 37000/50000
epoch [9/2000], loss:0.6312 Accuracy: 36874/50000
epoch [10/2000], loss:0.6348 Accuracy: 36866/50000
epoch [11/2000], loss:0.6296 Accuracy: 36735/50000
epoch [12/2000], loss:0.6177 Accuracy: 36870/50000
epoch [13/2000], loss:0.6171 Accuracy: 36788/50000
epoch [14/2000], loss:0.6206 Accuracy: 36871/50000
epoch [15/2000], loss:0.6223 Accuracy: 36747/50000
epoch [16/2000], loss:0.6226 Accuracy: 36701/50000
epoch [17/2000], loss:0.6139 Accuracy: 36698/50000
epoch [18/2000], loss:0.6129 Accuracy: 36708/50000
epoch [19/2000], loss:0.6086 Accuracy: 36736/50000
epoch [20/2000], loss:0.6143 Accuracy: 36758/50000
epoch [21/2000], loss:0.6146 Accuracy: 36600/50000
epoch [22/2000], loss:0.6154 Accuracy: 36535/50000
epoch [23/2000], loss:0.6106 Accuracy: 36437/50000
epoch [24/2000], loss:0.6071 Accuracy: 36583/50000
epoch [25/2000], loss:0.6154 Accuracy: 36478/50000
epoch [26/2000], loss:0.6108 Accuracy: 36460/50000
epoch [27/2000], loss:0.6110 Accuracy: 36594/50000
epoch [28/2000], loss:0.6144 Accuracy: 36493/50000
epoch [29/2000], loss:0.6028 Accuracy: 36516/50000
epoch [30/2000], loss:0.6114 Accuracy: 36482/50000
epoch [31/2000], loss:0.6091 Accuracy: 36552/50000
epoch [32/2000], loss:0.6105 Accuracy: 36534/50000
epoch [33/2000], loss:0.6030 Accuracy: 36575/50000
epoch [34/2000], loss:0.6139 Accuracy: 36386/50000
epoch [35/2000], loss:0.6007 Accuracy: 36583/50000
epoch [36/2000], loss:0.6196 Accuracy: 36387/50000
epoch [37/2000], loss:0.6054 Accuracy: 36557/50000
epoch [38/2000], loss:0.6048 Accuracy: 36597/50000
epoch [39/2000], loss:0.6091 Accuracy: 36401/50000
epoch [40/2000], loss:0.6052 Accuracy: 36481/50000
