tensor(26155., device='cuda:0', dtype=torch.float64)
epoch [1/2000], loss:2.0429 Accuracy: 4976/50000
epoch [2/2000], loss:1.6499 Accuracy: 15089/50000
epoch [3/2000], loss:1.5233 Accuracy: 17563/50000
epoch [4/2000], loss:1.4392 Accuracy: 18590/50000
epoch [5/2000], loss:1.3762 Accuracy: 19676/50000
epoch [6/2000], loss:1.3293 Accuracy: 20160/50000
epoch [7/2000], loss:1.2859 Accuracy: 20588/50000
epoch [8/2000], loss:1.2605 Accuracy: 21199/50000
epoch [9/2000], loss:1.2262 Accuracy: 21611/50000
epoch [10/2000], loss:1.2105 Accuracy: 21887/50000
epoch [11/2000], loss:1.1931 Accuracy: 22312/50000
epoch [12/2000], loss:1.1620 Accuracy: 22648/50000
epoch [13/2000], loss:1.1386 Accuracy: 22765/50000
epoch [14/2000], loss:1.1397 Accuracy: 22900/50000
epoch [15/2000], loss:1.1325 Accuracy: 23296/50000
epoch [16/2000], loss:1.1091 Accuracy: 23532/50000
epoch [17/2000], loss:1.0953 Accuracy: 23445/50000
epoch [18/2000], loss:1.0884 Accuracy: 23925/50000
epoch [19/2000], loss:1.0801 Accuracy: 23756/50000
epoch [20/2000], loss:1.0673 Accuracy: 23997/50000
epoch [21/2000], loss:1.0560 Accuracy: 24343/50000
epoch [22/2000], loss:1.0535 Accuracy: 24458/50000
epoch [23/2000], loss:1.0434 Accuracy: 24626/50000
epoch [24/2000], loss:1.0319 Accuracy: 24644/50000
epoch [25/2000], loss:1.0327 Accuracy: 24688/50000
epoch [26/2000], loss:1.0276 Accuracy: 24646/50000
epoch [27/2000], loss:1.0187 Accuracy: 25038/50000
epoch [28/2000], loss:1.0191 Accuracy: 25052/50000
epoch [29/2000], loss:1.0014 Accuracy: 25327/50000
epoch [30/2000], loss:1.0001 Accuracy: 25318/50000
epoch [31/2000], loss:0.9945 Accuracy: 25491/50000
epoch [32/2000], loss:0.9981 Accuracy: 25267/50000
epoch [33/2000], loss:0.9870 Accuracy: 25405/50000
epoch [34/2000], loss:0.9855 Accuracy: 25459/50000
epoch [35/2000], loss:0.9766 Accuracy: 25616/50000
epoch [36/2000], loss:0.9795 Accuracy: 25527/50000
epoch [37/2000], loss:0.9695 Accuracy: 25467/50000
epoch [38/2000], loss:0.9648 Accuracy: 25877/50000
epoch [39/2000], loss:0.9660 Accuracy: 25825/50000
epoch [40/2000], loss:0.9603 Accuracy: 25896/50000
epoch [41/2000], loss:0.9607 Accuracy: 26035/50000
epoch [42/2000], loss:0.9637 Accuracy: 25928/50000
epoch [43/2000], loss:0.9504 Accuracy: 25871/50000
epoch [44/2000], loss:0.9384 Accuracy: 26195/50000
epoch [45/2000], loss:0.9377 Accuracy: 26256/50000
epoch [46/2000], loss:0.9472 Accuracy: 26242/50000
epoch [47/2000], loss:0.9387 Accuracy: 26347/50000
epoch [48/2000], loss:0.9366 Accuracy: 26438/50000
epoch [49/2000], loss:0.9382 Accuracy: 26578/50000
epoch [50/2000], loss:0.9285 Accuracy: 26485/50000
epoch [51/2000], loss:0.9343 Accuracy: 26605/50000
epoch [52/2000], loss:0.9219 Accuracy: 26421/50000
epoch [53/2000], loss:0.9177 Accuracy: 26750/50000
epoch [54/2000], loss:0.9228 Accuracy: 26656/50000
epoch [55/2000], loss:0.9173 Accuracy: 26718/50000
epoch [56/2000], loss:0.9197 Accuracy: 27029/50000
epoch [57/2000], loss:0.9091 Accuracy: 26862/50000
epoch [58/2000], loss:0.9100 Accuracy: 26951/50000
epoch [59/2000], loss:0.9142 Accuracy: 26781/50000
epoch [60/2000], loss:0.9082 Accuracy: 26820/50000
epoch [61/2000], loss:0.9113 Accuracy: 26970/50000
epoch [62/2000], loss:0.8967 Accuracy: 26967/50000
epoch [63/2000], loss:0.8950 Accuracy: 27084/50000
epoch [64/2000], loss:0.8986 Accuracy: 27089/50000
epoch [65/2000], loss:0.8805 Accuracy: 26909/50000
epoch [66/2000], loss:0.8952 Accuracy: 26958/50000
epoch [67/2000], loss:0.8976 Accuracy: 27147/50000
epoch [68/2000], loss:0.8817 Accuracy: 27130/50000
epoch [69/2000], loss:0.8840 Accuracy: 27384/50000
