tensor(45756., dtype=torch.float64)
epoch [1/200], loss:0.5712 Accuracy: 37619/50000
epoch [2/200], loss:0.5711 Accuracy: 37408/50000
epoch [3/200], loss:0.5589 Accuracy: 37468/50000
epoch [4/200], loss:0.5578 Accuracy: 37519/50000
epoch [5/200], loss:0.5533 Accuracy: 37448/50000
epoch [6/200], loss:0.5640 Accuracy: 37506/50000
epoch [7/200], loss:0.5608 Accuracy: 37471/50000
epoch [8/200], loss:0.5623 Accuracy: 37598/50000
epoch [9/200], loss:0.5641 Accuracy: 37575/50000
epoch [10/200], loss:0.5611 Accuracy: 37540/50000
epoch [11/200], loss:0.5666 Accuracy: 37501/50000
epoch [12/200], loss:0.5564 Accuracy: 37549/50000
epoch [13/200], loss:0.5589 Accuracy: 37494/50000
epoch [14/200], loss:0.5598 Accuracy: 37549/50000
epoch [15/200], loss:0.5740 Accuracy: 37584/50000
epoch [16/200], loss:0.5562 Accuracy: 37535/50000
epoch [17/200], loss:0.5546 Accuracy: 37601/50000
epoch [18/200], loss:0.5530 Accuracy: 37555/50000
epoch [19/200], loss:0.5675 Accuracy: 37611/50000
epoch [20/200], loss:0.5500 Accuracy: 37471/50000
epoch [21/200], loss:0.5567 Accuracy: 37474/50000
epoch [22/200], loss:0.5520 Accuracy: 37507/50000
epoch [23/200], loss:0.5621 Accuracy: 37614/50000
epoch [24/200], loss:0.5599 Accuracy: 37512/50000
epoch [25/200], loss:0.5601 Accuracy: 37606/50000
epoch [26/200], loss:0.5537 Accuracy: 37600/50000
epoch [27/200], loss:0.5511 Accuracy: 37440/50000
epoch [28/200], loss:0.5533 Accuracy: 37557/50000
epoch [29/200], loss:0.5508 Accuracy: 37568/50000
epoch [30/200], loss:0.5577 Accuracy: 37495/50000
epoch [31/200], loss:0.5538 Accuracy: 37588/50000
epoch [32/200], loss:0.5614 Accuracy: 37617/50000
epoch [33/200], loss:0.5616 Accuracy: 37565/50000
epoch [34/200], loss:0.5524 Accuracy: 37564/50000
epoch [35/200], loss:0.5619 Accuracy: 37520/50000
epoch [36/200], loss:0.5518 Accuracy: 37534/50000
epoch [37/200], loss:0.5552 Accuracy: 37620/50000
epoch [38/200], loss:0.5554 Accuracy: 37624/50000
epoch [39/200], loss:0.5557 Accuracy: 37555/50000
epoch [40/200], loss:0.5503 Accuracy: 37582/50000
epoch [41/200], loss:0.5552 Accuracy: 37587/50000
epoch [42/200], loss:0.5527 Accuracy: 37600/50000
epoch [43/200], loss:0.5525 Accuracy: 37636/50000
epoch [44/200], loss:0.5529 Accuracy: 37646/50000
epoch [45/200], loss:0.5517 Accuracy: 37622/50000
epoch [46/200], loss:0.5589 Accuracy: 37564/50000
epoch [47/200], loss:0.5538 Accuracy: 37450/50000
epoch [48/200], loss:0.5483 Accuracy: 37549/50000
epoch [49/200], loss:0.5550 Accuracy: 37667/50000
epoch [50/200], loss:0.5537 Accuracy: 37553/50000
epoch [51/200], loss:0.5559 Accuracy: 37538/50000
epoch [52/200], loss:0.5510 Accuracy: 37692/50000
epoch [53/200], loss:0.5536 Accuracy: 37531/50000
epoch [54/200], loss:0.5531 Accuracy: 37655/50000
epoch [55/200], loss:0.5540 Accuracy: 37470/50000
epoch [56/200], loss:0.5533 Accuracy: 37637/50000
epoch [57/200], loss:0.5526 Accuracy: 37476/50000
epoch [58/200], loss:0.5501 Accuracy: 37546/50000
epoch [59/200], loss:0.5452 Accuracy: 37635/50000
epoch [60/200], loss:0.5545 Accuracy: 37654/50000
epoch [61/200], loss:0.5492 Accuracy: 37701/50000
epoch [62/200], loss:0.5488 Accuracy: 37718/50000
epoch [63/200], loss:0.5482 Accuracy: 37583/50000
epoch [64/200], loss:0.5477 Accuracy: 37636/50000
epoch [65/200], loss:0.5492 Accuracy: 37629/50000
epoch [66/200], loss:0.5594 Accuracy: 37716/50000
epoch [67/200], loss:0.5521 Accuracy: 37496/50000
epoch [68/200], loss:0.5537 Accuracy: 37546/50000
epoch [69/200], loss:0.5555 Accuracy: 37748/50000
epoch [70/200], loss:0.5499 Accuracy: 37563/50000
epoch [71/200], loss:0.5565 Accuracy: 37655/50000
epoch [72/200], loss:0.5543 Accuracy: 37609/50000
epoch [73/200], loss:0.5514 Accuracy: 37613/50000
