tensor(48896., device='cuda:0', dtype=torch.float64)
epoch [1/200], loss:0.6527 Accuracy: 37622/50000
epoch [2/200], loss:0.6468 Accuracy: 37490/50000
epoch [3/200], loss:0.6429 Accuracy: 37511/50000
epoch [4/200], loss:0.6537 Accuracy: 37603/50000
epoch [5/200], loss:0.6502 Accuracy: 37531/50000
epoch [6/200], loss:0.6465 Accuracy: 37587/50000
epoch [7/200], loss:0.6489 Accuracy: 37587/50000
epoch [8/200], loss:0.6489 Accuracy: 37598/50000
epoch [9/200], loss:0.6512 Accuracy: 37509/50000
epoch [10/200], loss:0.6472 Accuracy: 37514/50000
epoch [11/200], loss:0.6527 Accuracy: 37557/50000
epoch [12/200], loss:0.6540 Accuracy: 37552/50000
epoch [13/200], loss:0.6465 Accuracy: 37524/50000
epoch [14/200], loss:0.6455 Accuracy: 37550/50000
epoch [15/200], loss:0.6488 Accuracy: 37533/50000
epoch [16/200], loss:0.6404 Accuracy: 37427/50000
epoch [17/200], loss:0.6466 Accuracy: 37647/50000
epoch [18/200], loss:0.6488 Accuracy: 37563/50000
epoch [19/200], loss:0.6463 Accuracy: 37630/50000
epoch [20/200], loss:0.6511 Accuracy: 37575/50000
epoch [21/200], loss:0.6406 Accuracy: 37602/50000
epoch [22/200], loss:0.6462 Accuracy: 37741/50000
epoch [23/200], loss:0.6442 Accuracy: 37572/50000
epoch [24/200], loss:0.6467 Accuracy: 37471/50000
epoch [25/200], loss:0.6392 Accuracy: 37617/50000
epoch [26/200], loss:0.6481 Accuracy: 37617/50000
epoch [27/200], loss:0.6441 Accuracy: 37639/50000
epoch [28/200], loss:0.6429 Accuracy: 37607/50000
epoch [29/200], loss:0.6504 Accuracy: 37557/50000
epoch [30/200], loss:0.6448 Accuracy: 37592/50000
epoch [31/200], loss:0.6473 Accuracy: 37666/50000
epoch [32/200], loss:0.6423 Accuracy: 37477/50000
epoch [33/200], loss:0.6497 Accuracy: 37547/50000
epoch [34/200], loss:0.6442 Accuracy: 37596/50000
epoch [35/200], loss:0.6526 Accuracy: 37499/50000
epoch [36/200], loss:0.6412 Accuracy: 37623/50000
epoch [37/200], loss:0.6429 Accuracy: 37552/50000
epoch [38/200], loss:0.6478 Accuracy: 37604/50000
epoch [39/200], loss:0.6451 Accuracy: 37666/50000
epoch [40/200], loss:0.6460 Accuracy: 37580/50000
epoch [41/200], loss:0.6385 Accuracy: 37594/50000
epoch [42/200], loss:0.6445 Accuracy: 37556/50000
epoch [43/200], loss:0.6451 Accuracy: 37496/50000
epoch [44/200], loss:0.6382 Accuracy: 37604/50000
epoch [45/200], loss:0.6474 Accuracy: 37542/50000
epoch [46/200], loss:0.6425 Accuracy: 37566/50000
epoch [47/200], loss:0.6487 Accuracy: 37672/50000
epoch [48/200], loss:0.6460 Accuracy: 37651/50000
epoch [49/200], loss:0.6480 Accuracy: 37563/50000
epoch [50/200], loss:0.6451 Accuracy: 37657/50000
epoch [51/200], loss:0.6423 Accuracy: 37432/50000
epoch [52/200], loss:0.6425 Accuracy: 37639/50000
epoch [53/200], loss:0.6430 Accuracy: 37611/50000
epoch [54/200], loss:0.6464 Accuracy: 37648/50000
epoch [55/200], loss:0.6452 Accuracy: 37410/50000
epoch [56/200], loss:0.6409 Accuracy: 37634/50000
epoch [57/200], loss:0.6409 Accuracy: 37495/50000
epoch [58/200], loss:0.6481 Accuracy: 37542/50000
epoch [59/200], loss:0.6498 Accuracy: 37632/50000
epoch [60/200], loss:0.6445 Accuracy: 37563/50000
epoch [61/200], loss:0.6476 Accuracy: 37600/50000
epoch [62/200], loss:0.6432 Accuracy: 37541/50000
epoch [63/200], loss:0.6448 Accuracy: 37524/50000
epoch [64/200], loss:0.6472 Accuracy: 37601/50000
epoch [65/200], loss:0.6511 Accuracy: 37564/50000
epoch [66/200], loss:0.6470 Accuracy: 37561/50000
epoch [67/200], loss:0.6367 Accuracy: 37609/50000
epoch [68/200], loss:0.6344 Accuracy: 37654/50000
epoch [69/200], loss:0.6462 Accuracy: 37619/50000
epoch [70/200], loss:0.6364 Accuracy: 37646/50000
epoch [71/200], loss:0.6461 Accuracy: 37555/50000
epoch [72/200], loss:0.6406 Accuracy: 37456/50000
epoch [73/200], loss:0.6464 Accuracy: 37591/50000
epoch [74/200], loss:0.6486 Accuracy: 37589/50000
epoch [75/200], loss:0.6423 Accuracy: 37530/50000
epoch [76/200], loss:0.6418 Accuracy: 37572/50000
epoch [77/200], loss:0.6446 Accuracy: 37710/50000
epoch [78/200], loss:0.6454 Accuracy: 37642/50000
epoch [79/200], loss:0.6381 Accuracy: 37643/50000
epoch [80/200], loss:0.6470 Accuracy: 37542/50000
epoch [81/200], loss:0.6425 Accuracy: 37578/50000
epoch [82/200], loss:0.6479 Accuracy: 37709/50000
epoch [83/200], loss:0.6445 Accuracy: 37570/50000
epoch [84/200], loss:0.6427 Accuracy: 37676/50000
epoch [85/200], loss:0.6470 Accuracy: 37628/50000
epoch [86/200], loss:0.6394 Accuracy: 37623/50000
epoch [87/200], loss:0.6401 Accuracy: 37686/50000
epoch [88/200], loss:0.6462 Accuracy: 37604/50000
epoch [89/200], loss:0.6374 Accuracy: 37624/50000
epoch [90/200], loss:0.6405 Accuracy: 37530/50000
epoch [91/200], loss:0.6419 Accuracy: 37671/50000
epoch [92/200], loss:0.6446 Accuracy: 37660/50000
epoch [93/200], loss:0.6463 Accuracy: 37653/50000
epoch [94/200], loss:0.6448 Accuracy: 37569/50000
epoch [95/200], loss:0.6439 Accuracy: 37564/50000
epoch [96/200], loss:0.6449 Accuracy: 37608/50000
epoch [97/200], loss:0.6420 Accuracy: 37640/50000
epoch [98/200], loss:0.6464 Accuracy: 37624/50000
epoch [99/200], loss:0.6416 Accuracy: 37671/50000
epoch [100/200], loss:0.6447 Accuracy: 37518/50000
epoch [101/200], loss:0.6485 Accuracy: 37619/50000
epoch [102/200], loss:0.6400 Accuracy: 37620/50000
epoch [103/200], loss:0.6398 Accuracy: 37668/50000
epoch [104/200], loss:0.6483 Accuracy: 37575/50000
epoch [105/200], loss:0.6410 Accuracy: 37696/50000
epoch [106/200], loss:0.6433 Accuracy: 37697/50000
epoch [107/200], loss:0.6413 Accuracy: 37679/50000
epoch [108/200], loss:0.6525 Accuracy: 37722/50000
epoch [109/200], loss:0.6453 Accuracy: 37597/50000
epoch [110/200], loss:0.6471 Accuracy: 37647/50000
epoch [111/200], loss:0.6373 Accuracy: 37578/50000
epoch [112/200], loss:0.6383 Accuracy: 37634/50000
epoch [113/200], loss:0.6393 Accuracy: 37613/50000
epoch [114/200], loss:0.6420 Accuracy: 37577/50000
epoch [115/200], loss:0.6401 Accuracy: 37680/50000
epoch [116/200], loss:0.6406 Accuracy: 37573/50000
epoch [117/200], loss:0.6483 Accuracy: 37701/50000
epoch [118/200], loss:0.6407 Accuracy: 37687/50000
epoch [119/200], loss:0.6387 Accuracy: 37578/50000
epoch [120/200], loss:0.6451 Accuracy: 37740/50000
epoch [121/200], loss:0.6421 Accuracy: 37675/50000
epoch [122/200], loss:0.6466 Accuracy: 37570/50000
epoch [123/200], loss:0.6460 Accuracy: 37683/50000
epoch [124/200], loss:0.6426 Accuracy: 37702/50000
epoch [125/200], loss:0.6425 Accuracy: 37672/50000
epoch [126/200], loss:0.6449 Accuracy: 37609/50000
epoch [127/200], loss:0.6458 Accuracy: 37615/50000
epoch [128/200], loss:0.6425 Accuracy: 37617/50000
epoch [129/200], loss:0.6419 Accuracy: 37687/50000
epoch [130/200], loss:0.6462 Accuracy: 37684/50000
epoch [131/200], loss:0.6397 Accuracy: 37692/50000
epoch [132/200], loss:0.6440 Accuracy: 37684/50000
epoch [133/200], loss:0.6482 Accuracy: 37677/50000
epoch [134/200], loss:0.6519 Accuracy: 37685/50000
epoch [135/200], loss:0.6343 Accuracy: 37659/50000
epoch [136/200], loss:0.6423 Accuracy: 37704/50000
epoch [137/200], loss:0.6460 Accuracy: 37640/50000
epoch [138/200], loss:0.6468 Accuracy: 37620/50000
epoch [139/200], loss:0.6455 Accuracy: 37650/50000
epoch [140/200], loss:0.6372 Accuracy: 37788/50000
epoch [141/200], loss:0.6521 Accuracy: 37676/50000
