tensor(41903., device='cuda:0', dtype=torch.float64)
epoch [1/200], loss:0.4087 Accuracy: 37619/50000
epoch [2/200], loss:0.3908 Accuracy: 37410/50000
epoch [3/200], loss:0.3842 Accuracy: 37399/50000
epoch [4/200], loss:0.3815 Accuracy: 37399/50000
epoch [5/200], loss:0.3781 Accuracy: 37422/50000
epoch [6/200], loss:0.3685 Accuracy: 37448/50000
epoch [7/200], loss:0.3705 Accuracy: 37250/50000
epoch [8/200], loss:0.3610 Accuracy: 37373/50000
epoch [9/200], loss:0.3657 Accuracy: 37326/50000
epoch [10/200], loss:0.3661 Accuracy: 37436/50000
epoch [11/200], loss:0.3664 Accuracy: 37371/50000
epoch [12/200], loss:0.3627 Accuracy: 37427/50000
epoch [13/200], loss:0.3619 Accuracy: 37411/50000
epoch [14/200], loss:0.3583 Accuracy: 37342/50000
epoch [15/200], loss:0.3590 Accuracy: 37296/50000
epoch [16/200], loss:0.3545 Accuracy: 37414/50000
epoch [17/200], loss:0.3612 Accuracy: 37426/50000
epoch [18/200], loss:0.3503 Accuracy: 37416/50000
epoch [19/200], loss:0.3537 Accuracy: 37356/50000
epoch [20/200], loss:0.3611 Accuracy: 37491/50000
epoch [21/200], loss:0.3558 Accuracy: 37426/50000
epoch [22/200], loss:0.3486 Accuracy: 37415/50000
epoch [23/200], loss:0.3559 Accuracy: 37415/50000
epoch [24/200], loss:0.3555 Accuracy: 37389/50000
epoch [25/200], loss:0.3565 Accuracy: 37470/50000
epoch [26/200], loss:0.3475 Accuracy: 37585/50000
epoch [27/200], loss:0.3517 Accuracy: 37548/50000
epoch [28/200], loss:0.3537 Accuracy: 37418/50000
epoch [29/200], loss:0.3508 Accuracy: 37537/50000
epoch [30/200], loss:0.3464 Accuracy: 37342/50000
epoch [31/200], loss:0.3459 Accuracy: 37590/50000
epoch [32/200], loss:0.3493 Accuracy: 37413/50000
epoch [33/200], loss:0.3494 Accuracy: 37432/50000
epoch [34/200], loss:0.3509 Accuracy: 37526/50000
epoch [35/200], loss:0.3471 Accuracy: 37545/50000
epoch [36/200], loss:0.3596 Accuracy: 37557/50000
epoch [37/200], loss:0.3500 Accuracy: 37590/50000
epoch [38/200], loss:0.3503 Accuracy: 37392/50000
epoch [39/200], loss:0.3445 Accuracy: 37614/50000
epoch [40/200], loss:0.3468 Accuracy: 37485/50000
epoch [41/200], loss:0.3490 Accuracy: 37489/50000
epoch [42/200], loss:0.3493 Accuracy: 37476/50000
epoch [43/200], loss:0.3477 Accuracy: 37570/50000
epoch [44/200], loss:0.3423 Accuracy: 37557/50000
epoch [45/200], loss:0.3418 Accuracy: 37490/50000
epoch [46/200], loss:0.3534 Accuracy: 37605/50000
epoch [47/200], loss:0.3387 Accuracy: 37504/50000
epoch [48/200], loss:0.3435 Accuracy: 37543/50000
epoch [49/200], loss:0.3415 Accuracy: 37518/50000
epoch [50/200], loss:0.3471 Accuracy: 37454/50000
epoch [51/200], loss:0.3464 Accuracy: 37619/50000
epoch [52/200], loss:0.3400 Accuracy: 37465/50000
epoch [53/200], loss:0.3411 Accuracy: 37501/50000
epoch [54/200], loss:0.3394 Accuracy: 37577/50000
epoch [55/200], loss:0.3377 Accuracy: 37648/50000
epoch [56/200], loss:0.3413 Accuracy: 37615/50000
epoch [57/200], loss:0.3398 Accuracy: 37586/50000
epoch [58/200], loss:0.3393 Accuracy: 37574/50000
epoch [59/200], loss:0.3447 Accuracy: 37591/50000
epoch [60/200], loss:0.3403 Accuracy: 37618/50000
epoch [61/200], loss:0.3420 Accuracy: 37620/50000
epoch [62/200], loss:0.3408 Accuracy: 37586/50000
epoch [63/200], loss:0.3425 Accuracy: 37680/50000
epoch [64/200], loss:0.3407 Accuracy: 37649/50000
epoch [65/200], loss:0.3345 Accuracy: 37667/50000
epoch [66/200], loss:0.3368 Accuracy: 37468/50000
epoch [67/200], loss:0.3411 Accuracy: 37714/50000
epoch [68/200], loss:0.3382 Accuracy: 37593/50000
epoch [69/200], loss:0.3304 Accuracy: 37626/50000
epoch [70/200], loss:0.3372 Accuracy: 37624/50000
epoch [71/200], loss:0.3387 Accuracy: 37662/50000
epoch [72/200], loss:0.3330 Accuracy: 37579/50000
epoch [73/200], loss:0.3396 Accuracy: 37572/50000
epoch [74/200], loss:0.3374 Accuracy: 37582/50000
epoch [75/200], loss:0.3401 Accuracy: 37629/50000
epoch [76/200], loss:0.3366 Accuracy: 37731/50000
epoch [77/200], loss:0.3328 Accuracy: 37640/50000
epoch [78/200], loss:0.3366 Accuracy: 37632/50000
epoch [79/200], loss:0.3328 Accuracy: 37683/50000
epoch [80/200], loss:0.3388 Accuracy: 37605/50000
epoch [81/200], loss:0.3434 Accuracy: 37481/50000
epoch [82/200], loss:0.3352 Accuracy: 37644/50000
epoch [83/200], loss:0.3356 Accuracy: 37679/50000
epoch [84/200], loss:0.3365 Accuracy: 37570/50000
epoch [85/200], loss:0.3376 Accuracy: 37717/50000
epoch [86/200], loss:0.3388 Accuracy: 37624/50000
epoch [87/200], loss:0.3355 Accuracy: 37692/50000
epoch [88/200], loss:0.3357 Accuracy: 37738/50000
epoch [89/200], loss:0.3333 Accuracy: 37629/50000
epoch [90/200], loss:0.3293 Accuracy: 37770/50000
epoch [91/200], loss:0.3373 Accuracy: 37750/50000
epoch [92/200], loss:0.3390 Accuracy: 37679/50000
epoch [93/200], loss:0.3336 Accuracy: 37688/50000
epoch [94/200], loss:0.3371 Accuracy: 37653/50000
epoch [95/200], loss:0.3307 Accuracy: 37653/50000
epoch [96/200], loss:0.3392 Accuracy: 37756/50000
epoch [97/200], loss:0.3397 Accuracy: 37702/50000
epoch [98/200], loss:0.3363 Accuracy: 37591/50000
epoch [99/200], loss:0.3396 Accuracy: 37610/50000
epoch [100/200], loss:0.3291 Accuracy: 37698/50000
epoch [101/200], loss:0.3333 Accuracy: 37687/50000
epoch [102/200], loss:0.3288 Accuracy: 37703/50000
epoch [103/200], loss:0.3354 Accuracy: 37741/50000
epoch [104/200], loss:0.3341 Accuracy: 37769/50000
epoch [105/200], loss:0.3406 Accuracy: 37732/50000
epoch [106/200], loss:0.3338 Accuracy: 37710/50000
epoch [107/200], loss:0.3326 Accuracy: 37559/50000
epoch [108/200], loss:0.3291 Accuracy: 37636/50000
epoch [109/200], loss:0.3352 Accuracy: 37704/50000
epoch [110/200], loss:0.3272 Accuracy: 37723/50000
epoch [111/200], loss:0.3283 Accuracy: 37744/50000
epoch [112/200], loss:0.3291 Accuracy: 37708/50000
epoch [113/200], loss:0.3303 Accuracy: 37684/50000
epoch [114/200], loss:0.3305 Accuracy: 37737/50000
epoch [115/200], loss:0.3296 Accuracy: 37660/50000
epoch [116/200], loss:0.3324 Accuracy: 37725/50000
epoch [117/200], loss:0.3347 Accuracy: 37703/50000
epoch [118/200], loss:0.3293 Accuracy: 37809/50000
epoch [119/200], loss:0.3293 Accuracy: 37793/50000
epoch [120/200], loss:0.3288 Accuracy: 37699/50000
epoch [121/200], loss:0.3344 Accuracy: 37780/50000
epoch [122/200], loss:0.3292 Accuracy: 37732/50000
epoch [123/200], loss:0.3328 Accuracy: 37793/50000
epoch [124/200], loss:0.3303 Accuracy: 37623/50000
epoch [125/200], loss:0.3353 Accuracy: 37757/50000
epoch [126/200], loss:0.3239 Accuracy: 37796/50000
epoch [127/200], loss:0.3299 Accuracy: 37695/50000
epoch [128/200], loss:0.3304 Accuracy: 37702/50000
epoch [129/200], loss:0.3321 Accuracy: 37808/50000
epoch [130/200], loss:0.3277 Accuracy: 37698/50000
epoch [131/200], loss:0.3273 Accuracy: 37810/50000
epoch [132/200], loss:0.3316 Accuracy: 37756/50000
epoch [133/200], loss:0.3241 Accuracy: 37669/50000
