True,True,,,
0.964403,0.968812,0.934669,-1,
0.950322,0.974001,0.990704,-1,
0.836917,0.822348,0.957152,-1,
0.942178,0.950533,0.970687,-1,
0.953866,0.955745,0.966793,-1,
0.948507,0.944746,0.975896,-1,
0.978311,0.825550,0.913238,-1,
0.941341,0.875392,0.810525,-1,
0.961888,0.948259,0.976960,-1,
0.963021,0.989944,0.994263,-1,
0.943408,0.913740,0.855944,-1,
0.954554,0.949074,0.987926,-1,
0.926770,0.928601,0.948600,-1,
0.971485,0.939346,0.994617,-1,
0.950211,0.963306,0.992674,-1,
0.981497,0.968758,0.953499,-1,
0.952067,0.952888,0.980709,-1,
0.967859,0.992939,0.967652,-1,
0.949176,0.708618,0.918519,-1,
0.948564,0.984895,0.979274,-1,
0.953234,0.898178,0.941329,-1,
0.960843,0.845263,0.969315,-1,
0.845312,0.923596,0.888722,-1,
0.968970,0.965482,0.977904,-1,
0.961005,0.876323,0.931344,-1,
0.912149,0.926570,0.951968,-1,
0.964912,0.990413,0.988926,-1,
0.938348,0.965950,0.957387,-1,
0.974998,0.972526,0.990619,-1,
0.935668,0.724296,0.939122,-1,
0.962579,0.971111,0.978471,-1,
0.927713,0.951512,0.983129,-1,
0.894174,0.978130,0.983247,-1,
0.956777,0.993581,0.993437,-1,
0.918240,0.845189,0.896850,-1,
0.917505,0.887790,0.912446,-1,
0.973110,0.867472,0.863971,-1,
0.985187,0.978012,0.993939,-1,
0.982737,0.948688,0.967280,-1,
0.973305,0.915945,0.971397,-1,
0.957183,0.948930,0.960895,-1,
0.968042,0.789400,0.916876,-1,
0.926858,0.953939,0.985000,-1,
0.944217,0.845105,0.934747,-1,
0.933111,0.972615,0.941753,-1,
0.958507,0.861338,0.871893,-1,
0.936520,0.925062,0.930928,-1,
0.959951,0.971858,0.983212,-1,
0.964783,0.984380,0.989396,-1,
0.875594,0.934595,0.962296,-1,
0.747970,0.967503,0.987195,-1,
0.972590,0.826556,0.877628,-1,
0.969703,0.970428,0.976015,-1,
0.955995,0.964474,0.953169,-1,
0.855080,0.734379,0.904101,-1,
0.956810,0.967858,0.980188,-1,
0.976725,0.967750,0.969307,-1,
0.809655,0.868334,0.967066,-1,
0.970505,0.978190,0.986906,-1,
0.959929,0.955650,0.942363,-1,
0.976485,0.926877,0.943523,-1,
0.966831,0.726187,0.959362,-1,
0.960511,0.896630,0.955543,-1,
0.902858,0.835595,0.933536,-1,
0.975487,0.910346,0.967103,-1,
0.921002,0.938170,0.995810,-1,
0.974894,0.988792,0.994108,-1,
0.971103,0.921583,0.945608,-1,
0.980861,0.915409,0.974035,-1,
0.936467,0.893045,0.910839,-1,
0.973852,0.929538,0.973691,-1,
0.857896,0.933163,0.965210,-1,
0.925439,0.995094,0.947817,-1,
0.936027,0.965893,0.985815,-1,
0.967071,0.991951,0.989711,-1,
0.962170,0.942972,0.994391,-1,
0.961395,0.921538,0.967458,-1,
0.963389,0.964147,0.963273,-1,
0.735962,0.934747,0.975599,-1,
0.954700,0.778706,0.746491,-1,
0.970453,0.992306,0.982297,-1,
0.918790,0.730041,0.948688,-1,
0.972558,0.757287,0.900251,-1,
0.901554,0.968448,0.987838,-1,
0.959709,0.972190,0.982387,-1,
0.909430,0.892096,0.971451,-1,
0.829758,0.970854,0.969992,-1,
0.806696,0.912250,0.946354,-1,
0.959619,0.992182,0.982033,-1,
0.935831,0.968263,0.977190,-1,
0.942374,0.959404,0.988326,-1,
0.965647,0.893295,0.870520,-1,
0.963392,0.987485,0.992342,-1,
0.984679,0.869229,0.912138,-1,
0.894914,0.831431,0.911912,-1,
0.939776,0.893008,0.954450,-1,
0.950454,0.944004,0.982338,-1,
0.961423,0.964902,0.869151,-1,
0.975421,0.955083,0.980465,-1,
0.968994,0.888214,0.973185,-1,
0.955328,0.808582,0.950597,-1,
0.945779,0.937221,0.967955,-1,
0.922723,0.980390,0.994384,-1,
0.796717,0.861535,0.947646,-1,
0.940865,0.978886,0.983729,-1,
0.883431,0.990187,0.993924,-1,
0.883724,0.608717,0.844390,-1,
0.921947,0.920041,0.971956,-1,
0.968046,0.951249,0.983206,-1,
0.985743,0.860566,0.939242,-1,
0.918335,0.912529,0.967718,-1,
0.939295,0.940479,0.975704,-1,
0.966784,0.985367,0.992987,-1,
0.878659,0.967618,0.985663,-1,
0.954875,0.938775,0.944140,-1,
0.937511,0.936774,0.956369,-1,
0.961105,0.936967,0.943211,-1,
0.930704,0.664199,0.929994,-1,
0.927814,0.909060,0.992692,-1,
0.931854,0.847566,0.909702,-1,
0.904201,0.890510,0.938556,-1,
0.975510,0.985956,0.989202,-1,
0.952716,0.908213,0.981544,-1,
0.920274,0.939887,0.995599,-1,
0.965952,0.939348,0.946090,-1,
0.961029,0.920609,0.974779,-1,
0.932578,0.784100,0.967380,-1,
0.931862,0.979499,0.988757,-1,
0.954584,0.989336,0.994797,-1,
0.958981,0.941243,0.992744,-1,
0.955482,0.843455,0.930506,-1,
0.986768,0.776215,0.840048,-1,
0.933829,0.789187,0.882630,-1,
0.962474,0.906316,0.977952,-1,
0.950350,0.912584,0.955955,-1,
0.919485,0.905336,0.963380,-1,
0.924059,0.919306,0.949318,-1,
0.935713,0.876084,0.965334,-1,
0.883034,0.879502,0.954099,-1,
0.972754,0.982339,0.996126,-1,
0.964509,0.940316,0.988568,-1,
0.921082,0.967834,0.995805,-1,
0.887018,0.970800,0.983914,-1,
0.764949,0.676009,0.870546,-1,
0.913659,0.929953,0.960442,-1,
0.908031,0.895977,0.912814,-1,
0.958132,0.865507,0.944331,-1,
0.947656,0.797173,0.893116,-1,
0.806889,0.788749,0.860542,-1,
0.928061,0.969488,0.984046,-1,
0.967688,0.874600,0.926566,-1,
0.984471,0.755021,0.946428,-1,
0.982597,0.136939,0.864556,-1,
0.939900,0.971754,0.982390,-1,
0.860215,0.850975,0.958383,-1,
0.934802,0.939994,0.952184,-1,
0.935638,0.899004,0.970421,-1,
0.844711,0.902328,0.735299,-1,
0.907168,0.989485,0.988765,-1,
0.950390,0.866822,0.961815,-1,
0.962615,0.736852,0.886346,-1,
0.944712,0.969701,0.991177,-1,
0.951082,0.769885,0.873244,-1,
0.910553,0.984761,0.981179,-1,
0.898932,0.993641,0.989051,-1,
0.923674,0.809580,0.982891,-1,
0.948713,0.969673,0.990835,-1,
0.940821,0.979535,0.989684,-1,
0.934894,0.972491,0.984116,-1,
0.782578,0.938798,0.911150,-1,
0.956102,0.973206,0.984695,-1,
0.965697,0.734698,0.941087,-1,
0.962063,0.978618,0.968752,-1,
0.976389,0.992730,0.982920,-1,
0.923636,0.885758,0.909161,-1,
0.925211,0.947811,0.969456,-1,
0.919626,0.849426,0.963031,-1,
0.953870,0.946338,0.971432,-1,
0.957888,0.915166,0.944261,-1,
0.886474,0.969983,0.923232,-1,
0.963676,0.988406,0.991177,-1,
0.957126,0.954152,0.975747,-1,
0.940857,0.958581,0.973386,-1,
0.961798,0.926726,0.897022,-1,
0.955443,0.937065,0.973585,-1,
0.938396,0.962612,0.970142,-1,
0.978691,0.873485,0.972740,-1,
0.191579,0.826732,0.895368,-1,
0.958969,0.947032,0.963336,-1,
0.959599,0.982557,0.947909,-1,
0.961049,0.948701,0.892705,-1,
0.948443,0.940086,0.951641,-1,
0.964447,0.994258,0.979581,-1,
0.970238,0.781389,0.930797,-1,
0.927924,0.937272,0.970031,-1,
0.958746,0.979957,0.977742,-1,
0.977487,0.959220,0.967781,-1,
0.982872,0.956412,0.964549,-1,
0.974779,0.910423,0.938481,-1,
0.960930,0.969630,0.959907,-1,
0.959856,0.961263,0.970622,-1,
0.927972,0.943490,0.969670,-1,
0.968347,0.826274,0.888533,-1,
0.918006,0.958535,0.952899,-1,
0.975396,0.949986,0.977116,-1,
0.985133,0.891421,0.906096,-1,
0.983794,0.878386,0.956448,-1,
0.917276,0.957928,0.934190,-1,
0.968311,0.932980,0.974237,-1,
0.968263,0.965158,0.985623,-1,
0.836575,0.883587,0.877062,-1,
0.962916,0.967601,0.978913,-1,
0.944469,0.893003,0.823110,-1,
0.941487,0.935605,0.949620,-1,
0.886363,0.904972,0.922197,-1,
0.904031,0.942715,0.942030,-1,
0.973778,0.853196,0.908163,-1,
0.916196,0.830094,0.893838,-1,
0.936654,0.938596,0.966807,-1,
0.787758,0.865658,0.942891,-1,
0.956409,0.985758,0.990869,-1,
0.950142,0.978180,0.964858,-1,
0.884405,0.662383,0.862451,-1,
0.897652,0.896149,0.904721,-1,
0.955257,0.969301,0.944335,-1,
0.889145,0.631113,0.950678,-1,
0.905206,0.945850,0.925191,-1,
0.931191,0.709678,0.916123,-1,
0.956277,0.950094,0.947021,-1,
0.958191,0.972739,0.990617,-1,
0.999296,0.916020,0.856074,-1,
0.947096,0.856864,0.952933,-1,
0.960529,0.968300,0.951304,-1,
0.952032,0.939330,0.965098,-1,
0.967157,0.933442,0.979675,-1,
0.935990,0.966054,0.986162,-1,
0.980351,0.862777,0.955078,-1,
0.841927,0.953270,0.951377,-1,
0.960268,0.992178,0.981979,-1,
0.935621,0.954592,0.985453,-1,
0.863497,0.768484,0.846173,-1,
0.949708,0.916409,0.976883,-1,
0.964847,0.884392,0.939816,-1,
0.942568,0.828398,0.914844,-1,
0.870852,0.934261,0.886327,-1,
0.970353,0.987255,0.984066,-1,
0.975559,0.995085,0.994002,-1,
0.962358,0.862778,0.981804,-1,
0.927521,0.975736,0.978031,-1,
0.964461,0.956012,0.969054,-1,
0.872530,0.867367,0.928452,-1,
0.902821,0.728089,0.881628,-1,
0.968813,0.926238,0.980065,-1,
0.985083,0.955053,0.982751,-1,
0.855056,0.912727,0.744396,-1,
0.976154,0.834527,0.845501,-1,
0.972247,0.946736,0.989774,-1,
0.954725,0.822659,0.941398,-1,
0.760365,0.905336,0.905574,-1,
0.958998,0.909292,0.975850,-1,
0.981067,0.776205,0.934266,-1,
0.963230,0.966968,0.964070,-1,
0.953801,0.795525,0.947571,-1,
0.798260,0.945230,0.934161,-1,
0.964925,0.879420,0.920208,-1,
0.976839,0.948469,0.973673,-1,
0.971594,0.907984,0.939331,-1,
0.963448,0.925512,0.961907,-1,
0.917179,0.890311,0.927545,-1,
0.900633,0.545702,0.944899,-1,
0.933495,0.951155,0.973345,-1,
0.934319,0.930018,0.899156,-1,
0.948756,0.936353,0.972199,-1,
0.958586,0.780642,0.936097,-1,
0.926651,0.916633,0.978585,-1,
0.982029,0.944350,0.989604,-1,
0.979857,0.986467,0.986504,-1,
0.974515,0.868723,0.642963,-1,
0.984063,0.984479,0.992800,-1,
1.000000,0.716689,0.801113,-1,
0.940817,0.921004,0.992214,-1,
0.888428,0.870831,0.962618,-1,
0.901008,0.950166,0.984955,-1,
0.940347,0.984095,0.985710,-1,
0.951125,0.964877,0.951720,-1,
0.930908,0.974875,0.906643,-1,
0.941415,0.990966,0.996494,-1,
0.967991,0.997851,0.990090,-1,
0.968013,0.990288,0.994800,-1,
0.990957,0.970593,0.978788,-1,
0.894476,0.912537,0.944288,-1,
0.970140,0.979172,0.994192,-1,
0.956339,0.931889,0.963723,-1,
0.974695,0.966073,0.975095,-1,
0.878659,0.977347,0.990226,-1,
0.948711,0.967222,0.975402,-1,
0.901568,0.907376,0.943680,-1,
0.938147,0.835983,0.944711,-1,
0.919427,0.955374,0.988784,-1,
0.961617,0.978491,0.969145,-1,
0.964775,0.981378,0.983684,-1,
0.945174,0.964771,0.990649,-1,
0.973323,0.891707,0.927539,-1,
0.855628,0.961814,0.947164,-1,
0.954244,0.860528,0.918050,-1,
0.585569,0.609040,0.799642,-1,
0.909142,0.986222,0.949797,-1,
0.947124,0.954745,0.962882,-1,
0.977613,0.980125,0.992695,-1,
0.885420,0.987284,0.984965,-1,
0.940738,0.817196,0.809489,-1,
0.880624,0.897655,0.956848,-1,
0.978168,0.973760,0.956379,-1,
0.960623,0.941645,0.979007,-1,
0.983522,0.710114,0.939925,-1,
0.982005,0.906866,0.976041,-1,
0.948523,0.960907,0.989390,-1,
0.972473,0.957131,0.974153,-1,
0.960382,0.864065,0.984096,-1,
0.946260,0.923243,0.971937,-1,
0.912261,0.876148,0.960669,-1,
0.951563,0.958216,0.983822,-1,
0.882992,0.951451,0.985330,-1,
0.953293,0.979516,0.981748,-1,
0.920306,0.936876,0.972085,-1,
0.979842,0.974504,0.987386,-1,
0.915781,0.993439,0.982653,-1,
0.949048,0.846734,0.974884,-1,
0.963818,0.989249,0.974821,-1,
0.973378,0.974812,0.982663,-1,
0.987821,0.886268,0.905618,-1,
0.970795,0.933342,0.969122,-1,
0.983790,0.937801,0.922133,-1,
0.975460,0.988272,0.990872,-1,
0.964929,0.926394,0.983607,-1,
0.973977,0.957244,0.995962,-1,
0.951669,0.976974,0.980993,-1,
0.928515,0.977570,0.994161,-1,
0.938515,0.973686,0.984532,-1,
0.846260,0.948249,0.930466,-1,
0.942626,0.951902,0.991580,-1,
0.959954,0.952646,0.956367,-1,
0.970117,0.972578,0.987748,-1,
0.946011,0.988964,0.957453,-1,
0.897563,0.893957,0.953104,-1,
0.922390,0.899771,0.971377,-1,
0.879508,0.881728,0.913954,-1,
0.908569,0.921009,0.986678,-1,
0.932218,0.998659,0.993818,-1,
0.948462,0.976315,0.984596,-1,
0.934116,0.890708,0.919751,-1,
0.937016,0.936736,0.971196,-1,
0.964115,0.935033,0.914676,-1,
0.875040,0.970137,0.965038,-1,
0.929110,0.976747,0.981710,-1,
