True,True,,,
0.974920,0.982490,0.988667,-1,
0.973971,0.989086,0.996949,-1,
0.926861,0.994013,0.997830,-1,
0.910341,0.957123,0.981812,-1,
0.955221,0.975873,0.986590,-1,
0.958868,0.983438,0.995776,-1,
0.985376,0.978833,0.983112,-1,
0.988193,0.987122,0.992650,-1,
0.978266,0.983516,0.992926,-1,
0.972118,0.990716,0.992126,-1,
0.980711,0.972998,0.981626,-1,
0.939462,0.953374,0.985345,-1,
0.951651,0.994696,0.997997,-1,
0.975411,0.975238,0.996486,-1,
0.981032,0.978698,0.995976,-1,
0.986385,0.993890,0.997750,-1,
0.949319,0.973030,0.996343,-1,
0.948104,0.971002,0.987666,-1,
0.969660,0.991558,0.992916,-1,
0.960797,0.972709,0.984484,-1,
0.944480,0.986267,0.996043,-1,
0.977561,0.987841,0.996643,-1,
0.945011,0.947245,0.974535,-1,
0.941117,0.961150,0.990604,-1,
0.965134,0.978482,0.970857,-1,
0.958945,0.965170,0.990931,-1,
0.952335,0.993034,0.993110,-1,
0.952408,0.984064,0.990112,-1,
0.955149,0.974041,0.989110,-1,
0.962138,0.960378,0.974163,-1,
0.978408,0.993378,0.997307,-1,
0.970959,0.991857,0.997585,-1,
0.964298,0.988885,0.996611,-1,
0.939309,0.991175,0.990270,-1,
0.938852,0.950920,0.988124,-1,
0.904540,0.989659,0.998226,-1,
0.954496,0.970439,0.985437,-1,
0.960951,0.983244,0.987823,-1,
0.910500,0.988973,0.990502,-1,
0.971030,0.984855,0.988174,-1,
0.979728,0.987221,0.985275,-1,
0.959178,0.971333,0.949353,-1,
0.985174,0.988427,0.998345,-1,
0.963423,0.994575,0.997268,-1,
0.949099,0.982256,0.995982,-1,
0.946558,0.973812,0.980471,-1,
0.962395,0.984746,0.989947,-1,
0.954246,0.926881,0.936009,-1,
0.937023,0.977332,0.989714,-1,
0.952677,0.987444,0.996195,-1,
0.941317,0.985595,0.995075,-1,
0.966031,0.977961,0.986461,-1,
0.945269,0.954313,0.920273,-1,
0.952993,0.992341,0.996877,-1,
0.973984,0.981619,0.997129,-1,
0.988369,0.990347,0.998304,-1,
0.940109,0.982178,0.996281,-1,
0.854206,0.992433,0.997845,-1,
0.953045,0.961677,0.987188,-1,
0.978876,0.973689,0.990504,-1,
0.974227,0.986375,0.997893,-1,
0.950555,0.976568,0.996771,-1,
0.944819,0.992108,0.995090,-1,
0.982408,0.992991,0.996113,-1,
0.883134,0.975315,0.987707,-1,
0.963468,0.991656,0.997332,-1,
0.975168,0.991410,0.997276,-1,
0.943218,0.963253,0.970261,-1,
0.975641,0.985283,0.989254,-1,
0.974820,0.983638,0.992660,-1,
0.973702,0.983744,0.997464,-1,
0.886851,0.952906,0.969550,-1,
0.953449,0.978761,0.990057,-1,
0.969845,0.972387,0.985159,-1,
0.915444,0.979535,0.989948,-1,
0.954959,0.984240,0.994747,-1,
0.963973,0.992567,0.998733,-1,
0.889107,0.980056,0.996077,-1,
0.975703,0.992122,0.979724,-1,
0.982668,0.995152,0.998211,-1,
0.982845,0.970741,0.992432,-1,
0.934861,0.992788,0.993276,-1,
0.958153,0.990573,0.998224,-1,
0.976311,0.968198,0.956739,-1,
0.894627,0.942300,0.980543,-1,
0.942334,0.979996,0.980829,-1,
0.953782,0.989992,0.992054,-1,
0.977745,0.977767,0.992256,-1,
0.948063,0.977549,0.997597,-1,
0.963003,0.995852,0.999021,-1,
0.960625,0.991602,0.990544,-1,
0.951581,0.975150,0.992104,-1,
0.972878,0.995436,0.997604,-1,
0.949404,0.960797,0.986607,-1,
0.964314,0.990797,0.991252,-1,
0.988920,0.996703,0.997026,-1,
0.947017,0.988579,0.994057,-1,
0.974898,0.992618,0.997666,-1,
0.935841,0.986626,0.995288,-1,
0.926746,0.984637,0.997283,-1,
0.889384,0.970260,0.975153,-1,
0.953630,0.990427,0.996580,-1,
0.945098,0.963336,0.992181,-1,
0.977605,0.971668,0.993518,-1,
0.985629,0.983848,0.989508,-1,
0.977901,0.989597,0.998307,-1,
0.989786,0.987410,0.993006,-1,
0.927402,0.980732,0.992464,-1,
0.966681,0.986660,0.981727,-1,
0.966959,0.984017,0.995020,-1,
0.941616,0.979468,0.977225,-1,
0.919352,0.978540,0.990514,-1,
0.945497,0.979875,0.995228,-1,
0.976514,0.971630,0.996486,-1,
0.970575,0.976887,0.984102,-1,
0.969588,0.988436,0.997672,-1,
0.962326,0.978219,0.992142,-1,
0.877703,0.943138,0.949415,-1,
0.965462,0.987653,0.994685,-1,
0.897111,0.968025,0.991106,-1,
0.911475,0.992315,0.994060,-1,
0.946243,0.987420,0.996919,-1,
0.959142,0.977125,0.997957,-1,
0.894796,0.951547,0.993759,-1,
0.979111,0.988714,0.995907,-1,
0.984166,0.988348,0.994445,-1,
0.985561,0.971614,0.992005,-1,
0.934849,0.957934,0.976760,-1,
0.916742,0.989650,0.993021,-1,
0.970116,0.993403,0.996938,-1,
0.970254,0.990929,0.998308,-1,
0.956533,0.995959,0.995030,-1,
0.979262,0.987752,0.998400,-1,
0.890327,0.945609,0.961459,-1,
0.971399,0.990543,0.996480,-1,
0.966925,0.985259,0.993185,-1,
0.965640,0.984666,0.998757,-1,
0.958157,0.986211,0.989271,-1,
0.946584,0.995216,0.998051,-1,
0.974072,0.984221,0.989036,-1,
0.980354,0.993011,0.997530,-1,
0.977382,0.994212,0.995918,-1,
0.964255,0.990518,0.996111,-1,
0.926678,0.961454,0.970526,-1,
0.972040,0.990282,0.991883,-1,
0.984505,0.979034,0.997475,-1,
0.975090,0.994587,0.995165,-1,
0.969284,0.988626,0.995338,-1,
0.975340,0.994258,0.996253,-1,
0.982276,0.988134,0.996126,-1,
0.937314,0.955439,0.996873,-1,
0.969092,0.980705,0.993862,-1,
0.912917,0.979848,0.962936,-1,
0.986189,0.989529,0.997458,-1,
0.974125,0.982886,0.989208,-1,
0.971137,0.965798,0.989133,-1,
0.959078,0.987528,0.995370,-1,
0.975524,0.980673,0.995043,-1,
0.935497,0.965584,0.994672,-1,
0.942049,0.996680,0.998188,-1,
0.967340,0.976846,0.983123,-1,
0.986001,0.984786,0.990417,-1,
0.964607,0.984202,0.987350,-1,
0.745217,0.904511,0.919100,-1,
0.942093,0.982630,0.992599,-1,
0.969913,0.990177,0.996583,-1,
0.959826,0.994092,0.998408,-1,
0.893849,0.935823,0.964211,-1,
0.967700,0.981811,0.991927,-1,
0.960885,0.989375,0.995262,-1,
0.945981,0.989059,0.996287,-1,
0.971923,0.984096,0.990543,-1,
0.951703,0.993607,0.998596,-1,
0.940512,0.980127,0.985729,-1,
0.977844,0.964012,0.989701,-1,
0.968492,0.989786,0.997256,-1,
0.962485,0.974017,0.992466,-1,
0.980328,0.996134,0.992558,-1,
0.990447,0.985020,0.988670,-1,
0.951827,0.984788,0.994958,-1,
0.959891,0.994901,0.995695,-1,
0.965983,0.984293,0.988946,-1,
0.921911,0.961263,0.995908,-1,
0.953283,0.965631,0.983671,-1,
0.958484,0.957576,0.957886,-1,
0.935564,0.993535,0.991430,-1,
0.983330,0.994808,0.996060,-1,
0.895453,0.986101,0.995018,-1,
0.974127,0.993530,0.995289,-1,
0.984076,0.988666,0.996334,-1,
0.945691,0.992454,0.998641,-1,
0.935558,0.959705,0.991431,-1,
0.953412,0.873379,0.961975,-1,
0.970269,0.989013,0.993774,-1,
0.968508,0.991820,0.994012,-1,
0.979363,0.983115,0.993673,-1,
0.718669,0.985199,0.978953,-1,
0.975673,0.995536,0.997596,-1,
0.945608,0.973472,0.983749,-1,
0.984519,0.993626,0.997834,-1,
0.965697,0.970454,0.991327,-1,
0.974506,0.977468,0.985222,-1,
0.966071,0.971591,0.993919,-1,
0.964930,0.991103,0.995732,-1,
0.957964,0.993570,0.993525,-1,
0.943687,0.984587,0.998129,-1,
0.966234,0.986572,0.996512,-1,
0.925989,0.943641,0.979251,-1,
0.976489,0.996214,0.999092,-1,
0.966835,0.997049,0.998213,-1,
0.973994,0.987185,0.991666,-1,
0.942451,0.976249,0.982703,-1,
0.948648,0.990416,0.988882,-1,
0.959752,0.983696,0.988215,-1,
0.970505,0.989569,0.998422,-1,
0.889468,0.968288,0.983203,-1,
0.952459,0.969323,0.982293,-1,
0.968447,0.983712,0.964017,-1,
0.977499,0.976179,0.992235,-1,
0.949541,0.993347,0.996257,-1,
0.982263,0.995973,0.996169,-1,
0.973364,0.993021,0.988044,-1,
0.981767,0.994057,0.996147,-1,
0.952267,0.983605,0.987590,-1,
0.942334,0.979579,0.988751,-1,
0.911059,0.985583,0.997583,-1,
0.989102,0.990661,0.986859,-1,
0.964102,0.933799,0.936801,-1,
0.973435,0.969949,0.981148,-1,
0.973709,0.990904,0.982134,-1,
0.962997,0.991909,0.996328,-1,
0.983303,0.984634,0.992648,-1,
0.981025,0.987788,0.984371,-1,
0.970305,0.990136,0.990472,-1,
0.987269,0.994326,0.997647,-1,
0.946148,0.992411,0.997381,-1,
0.987488,0.979308,0.988484,-1,
0.944163,0.990368,0.985820,-1,
0.972060,0.988586,0.999172,-1,
0.621880,0.942295,0.972832,-1,
0.983898,0.994881,0.996865,-1,
0.840544,0.960788,0.952549,-1,
0.979138,0.984716,0.994723,-1,
0.948553,0.965595,0.949718,-1,
0.924295,0.978401,0.977029,-1,
0.886993,0.958803,0.990876,-1,
0.952835,0.968617,0.970672,-1,
0.981271,0.989929,0.996208,-1,
0.955944,0.977940,0.996758,-1,
0.921347,0.980443,0.987960,-1,
0.962913,0.977620,0.991116,-1,
0.945903,0.987220,0.994592,-1,
0.955444,0.983337,0.997239,-1,
0.954023,0.984220,0.999102,-1,
0.949926,0.989714,0.996851,-1,
0.965939,0.982288,0.994614,-1,
0.987309,0.989617,0.994579,-1,
0.961329,0.995050,0.998732,-1,
0.960527,0.993058,0.994451,-1,
0.918372,0.960587,0.982153,-1,
0.906617,0.970700,0.978691,-1,
0.969537,0.993981,0.997829,-1,
0.973944,0.988358,0.996894,-1,
0.968933,0.989739,0.997981,-1,
0.995348,0.988909,0.978084,-1,
0.963518,0.984656,0.995247,-1,
0.974460,0.977718,0.986614,-1,
0.843096,0.947838,0.966993,-1,
0.979220,0.983667,0.996054,-1,
0.954929,0.995505,0.998728,-1,
0.983712,0.983009,0.994259,-1,
0.902543,0.975834,0.991046,-1,
0.983751,0.984730,0.994638,-1,
0.976282,0.992774,0.997320,-1,
0.970780,0.988097,0.997599,-1,
0.979147,0.950070,0.985921,-1,
0.955264,0.989836,0.995098,-1,
0.966031,0.991963,0.998108,-1,
0.974008,0.994265,0.998417,-1,
0.910649,0.965056,0.972156,-1,
0.913743,0.976082,0.974577,-1,
0.980415,0.993613,0.997649,-1,
0.984274,0.998250,0.998502,-1,
0.977078,0.991135,0.997694,-1,
0.947417,0.980433,0.992785,-1,
0.969244,0.978526,0.974903,-1,
0.934625,0.990309,0.998105,-1,
0.963960,0.939990,0.968090,-1,
0.983096,0.993009,0.996869,-1,
0.972478,0.987188,0.992639,-1,
0.983263,0.990348,0.987042,-1,
0.955270,0.968878,0.942006,-1,
0.995313,0.982939,0.975791,-1,
0.975820,0.992220,0.997731,-1,
0.936031,0.975706,0.987415,-1,
0.959519,0.983828,0.991265,-1,
0.945765,0.990595,0.994240,-1,
0.871546,0.972840,0.968789,-1,
0.936916,0.992559,0.994741,-1,
0.974134,0.984200,0.984094,-1,
0.959583,0.986838,0.992392,-1,
0.946136,0.989587,0.996615,-1,
0.932448,0.991389,0.990842,-1,
0.956989,0.979874,0.993585,-1,
0.986200,0.989116,0.997343,-1,
0.967851,0.992441,0.998405,-1,
0.912355,0.993682,0.998783,-1,
0.955554,0.992580,0.993167,-1,
0.976721,0.991249,0.998753,-1,
0.889903,0.943507,0.973251,-1,
0.957349,0.966014,0.990621,-1,
0.969941,0.983194,0.998101,-1,
0.896945,0.891987,0.964040,-1,
0.948009,0.986839,0.996011,-1,
0.950217,0.994939,0.995877,-1,
0.981867,0.983992,0.994616,-1,
0.945771,0.984625,0.987046,-1,
0.982811,0.977773,0.995304,-1,
0.941481,0.939282,0.969368,-1,
0.974611,0.968202,0.993767,-1,
0.970913,0.969986,0.968297,-1,
0.985831,0.993706,0.998259,-1,
0.843933,0.961710,0.970797,-1,
0.951647,0.961864,0.995134,-1,
0.897213,0.965700,0.966416,-1,
0.948655,0.983288,0.996262,-1,
0.972318,0.974676,0.993077,-1,
0.976471,0.972530,0.995368,-1,
0.968645,0.951904,0.941643,-1,
0.949437,0.992040,0.997231,-1,
0.972506,0.991741,0.997810,-1,
0.970982,0.988114,0.994476,-1,
0.970760,0.994518,0.998331,-1,
0.986084,0.989448,0.998248,-1,
0.946276,0.989776,0.995576,-1,
0.890985,0.936822,0.965726,-1,
0.982120,0.990994,0.998175,-1,
0.965264,0.966675,0.980147,-1,
0.980669,0.980473,0.993219,-1,
0.951685,0.990211,0.992233,-1,
0.969403,0.992810,0.997539,-1,
0.934922,0.985928,0.993510,-1,
0.961100,0.978710,0.998113,-1,
0.919899,0.996462,0.997110,-1,
0.965248,0.992499,0.990280,-1,
0.966698,0.985399,0.996593,-1,
0.918015,0.978711,0.991867,-1,
0.943283,0.992731,0.995093,-1,
0.968004,0.992294,0.991376,-1,
0.903864,0.970022,0.983042,-1,
0.979002,0.984328,0.995717,-1,
0.933800,0.925431,0.963790,-1,
0.915495,0.969725,0.979199,-1,
0.956453,0.982716,0.997738,-1,
0.983901,0.992602,0.997291,-1,
0.909563,0.971751,0.997235,-1,
0.967233,0.987390,0.998834,-1,
0.985032,0.984804,0.991487,-1,
0.912179,0.978179,0.994685,-1,
0.978802,0.990604,0.989331,-1,
